step,reward
0,17.8
1,22.28
2,28.52
3,32.84
4,33.8
5,32.12
6,33.16
7,31.08
8,28.48
9,31.72
10,34.6
11,30.76
12,30.48
13,29.92
14,24.12
15,21.68
16,24.32
17,18.48
18,22.64
19,26.16
20,27.6
21,28.24
22,31.12
23,23.12
24,22.28
25,25.56
26,28.8
27,30.44
28,29.16
29,31.96
30,28.12
31,24.76
32,24.76
33,28.12
34,25.88
35,29.8
36,29.88
37,30.72
38,33.04
39,32.28
40,27.88
41,32.4
42,34.12
43,28.52
44,28.84
45,33.0
46,33.0
47,27.92
48,29.48
49,34.56
50,32.36
51,35.56
52,33.64
53,32.2
54,33.2
55,26.92
56,33.64
57,33.36
58,36.2
59,31.8
60,32.28
61,35.72
62,35.88
63,37.8
64,34.6
65,35.32
66,36.12
67,30.12
68,28.4
69,26.44
70,35.2
71,36.4
72,33.0
73,36.64
74,42.56
75,39.8
76,35.96
77,30.6
78,37.24
79,33.2
80,35.36
81,32.84
82,31.64
83,33.96
84,36.8
85,30.16
86,33.56
87,21.28
88,25.04
89,36.28
90,33.76
91,34.28
92,32.0
93,25.48
94,26.0
95,30.24
96,32.6
97,32.76
98,18.6
99,27.8
100,32.68
101,33.24
102,37.8
103,23.6
104,31.8
105,31.16
106,39.36
107,35.16
108,36.48
109,34.16
110,38.16
111,43.16
112,40.4
113,39.0
114,35.8
115,30.12
116,32.08
117,31.84
118,28.96
119,23.24
120,27.32
121,28.04
122,22.12
123,21.8
124,21.2
125,25.48
126,30.04
127,33.96
128,34.92
129,29.48
130,30.96
131,29.92
132,31.68
133,36.0
134,35.68
135,33.84
136,31.04
137,24.64
138,26.12
139,30.48
140,29.52
141,24.2
142,30.16
143,29.6
144,26.96
145,25.84
146,32.16
147,26.04
148,29.0
149,30.52
150,31.0
151,27.24
152,24.2
153,28.44
154,24.84
155,26.6
156,22.0
157,30.92
158,38.0
159,39.8
160,36.92
161,37.28
162,34.16
163,37.6
164,36.6
165,35.24
166,36.64
167,36.36
168,38.28
169,38.6
170,38.92
171,37.4
172,34.36
173,32.68
174,36.2
175,32.6
176,31.24
177,28.6
178,27.0
179,31.84
180,28.76
181,28.52
182,28.48
183,24.2
184,23.28
185,23.04
186,22.56
187,26.36
188,32.36
189,39.08
190,35.72
191,35.72
192,27.4
193,36.24
194,39.56
195,34.0
196,37.28
197,34.6
198,31.6
199,38.36
200,35.12
201,30.6
202,26.76
203,32.72
204,27.8
205,31.48
206,30.64
207,33.16
208,33.08
209,32.6
210,33.72
211,29.4
212,27.2
213,22.2
214,23.96
215,26.32
216,17.32
217,24.04
218,34.16
219,32.28
220,29.28
221,23.28
222,29.6
223,30.12
224,34.88
225,22.8
226,27.96
227,28.76
228,30.72
229,34.04
230,32.88
231,33.92
232,31.28
233,33.8
234,30.68
235,23.96
236,34.8
237,43.2
238,46.52
239,41.4
240,38.6
241,28.44
242,34.24
243,39.28
244,36.32
245,41.28
246,39.36
247,43.28
248,46.0
249,43.68
250,34.4
251,29.44
252,31.8
253,37.8
254,35.72
255,31.24
256,32.64
257,32.88
258,29.6
259,26.64
260,28.76
261,37.48
262,38.4
263,38.68
264,34.32
265,34.6
266,30.0
267,24.2
268,30.76
269,34.56
270,37.16
271,36.36
272,36.04
273,36.76
274,40.44
275,39.24
276,34.04
277,32.04
278,34.28
279,38.12
280,36.68
281,34.28
282,36.6
283,36.52
284,32.6
285,29.2
286,32.68
287,38.6
288,40.4
289,35.0
290,32.12
291,27.64
292,28.52
293,27.48
294,29.92
295,30.36
296,26.36
297,28.04
298,29.2
299,32.72
300,34.88
301,30.44
302,26.76
303,18.52
304,24.08
305,25.68
306,28.24
307,31.2
308,31.92
309,30.36
310,32.44
311,33.2
312,35.6
313,32.04
314,35.24
315,32.04
316,31.4
317,31.4
318,25.04
319,31.2
320,33.12
321,37.24
322,37.24
323,25.88
324,33.56
325,37.8
326,39.04
327,38.92
328,30.48
329,30.4
330,34.28
331,34.36
332,30.76
333,31.32
334,29.96
335,30.2
336,35.12
337,34.08
338,32.92
339,29.44
340,27.12
341,28.32
342,29.2
343,35.56
344,30.68
345,22.44
346,22.64
347,24.56
348,31.36
349,33.2
350,33.04
351,35.8
352,27.6
353,26.36
354,29.6
355,32.36
356,35.72
357,29.12
358,35.24
359,41.8
360,32.08
361,32.36
362,38.6
363,38.08
364,35.2
365,38.2
366,36.4
367,38.0
368,39.8
369,42.56
370,33.56
371,30.08
372,28.96
373,27.16
374,22.48
375,21.36
376,23.36
377,22.64
378,23.48
379,26.28
380,21.56
381,13.16
382,22.76
383,31.08
384,32.88
385,34.84
386,35.96
387,28.12
388,32.12
389,32.24
390,37.88
391,43.64
392,40.16
393,43.4
394,39.56
395,37.76
396,40.36
397,37.56
398,39.8
399,38.12
400,38.12
401,33.12
402,34.12
403,38.24
404,38.8
405,42.76
406,41.0
407,39.68
408,27.44
409,26.36
410,27.28
411,29.72
412,37.56
413,34.68
414,31.92
415,33.6
416,33.48
417,29.6
418,34.2
419,33.0
420,33.4
421,33.4
422,31.4
423,34.2
424,37.0
425,36.2
426,35.0
427,30.48
428,34.76
429,35.28
430,35.0
431,37.76
432,29.68
433,30.12
434,26.64
435,30.32
436,28.52
437,31.88
438,35.6
439,42.84
440,41.8
441,42.76
442,44.2
443,41.8
444,40.44
