step,reward
0,19.0
1,19.0
2,17.0
3,17.0
4,23.0
5,27.0
6,27.0
7,27.0
8,27.0
9,27.0
10,23.0
11,22.0
12,22.0
13,22.0
14,22.0
15,22.0
16,30.0
17,28.3
18,34.0
19,34.0
20,34.0
21,34.0
22,34.0
23,30.0
24,18.0
25,19.0
26,19.0
27,19.0
28,19.0
29,23.0
30,23.0
31,23.0
32,27.0
33,27.0
34,27.0
35,27.0
36,22.0
37,22.0
38,22.0
39,23.0
40,29.0
41,29.0
42,29.0
43,29.0
44,29.0
45,29.0
46,29.0
47,29.0
48,25.5
49,20.0
50,21.0
51,21.0
52,19.0
53,19.0
54,17.0
55,18.0
56,18.0
57,18.0
58,18.0
59,17.0
60,17.0
61,17.0
62,17.0
63,17.0
64,17.0
65,17.0
66,17.0
67,17.0
68,17.0
69,23.0
70,21.0
71,21.0
72,21.0
73,18.0
74,17.0
75,19.0
76,19.0
77,19.0
78,19.0
79,19.0
80,21.0
81,18.0
82,17.0
83,17.0
84,17.0
85,17.0
86,18.0
87,18.0
88,19.0
89,23.0
90,23.0
91,23.0
92,23.0
93,23.0
94,23.0
95,27.0
96,27.0
97,23.0
98,23.0
99,23.0
100,25.0
101,23.4
102,21.5
103,23.0
104,23.0
105,23.0
106,23.0
107,29.0
108,27.0
109,27.0
110,22.0
111,22.0
112,22.0
113,22.0
114,22.0
115,19.0
116,22.0
117,22.0
118,22.0
119,23.0
120,23.0
121,21.0
122,21.0
123,21.0
124,19.0
125,17.0
126,17.0
127,17.0
128,17.0
129,18.0
130,18.0
131,18.0
132,18.0
133,22.0
134,22.0
135,22.0
136,22.0
137,22.0
138,22.0
139,22.0
140,22.0
141,22.0
142,22.0
143,22.0
144,19.0
145,19.0
146,19.0
147,19.0
148,17.0
149,18.0
150,18.0
151,18.0
152,18.0
153,16.0
154,13.6
155,16.0
156,16.8
157,17.0
158,23.5
159,26.3
160,27.0
161,27.0
162,27.0
163,27.0
164,27.0
165,27.0
166,27.0
167,27.0
168,27.0
169,27.0
170,27.0
171,27.0
172,27.0
173,27.0
174,27.0
175,27.0
176,27.0
177,27.0
178,22.0
179,14.0
180,17.6
181,21.0
182,16.2
183,12.3
