step,reward
0,60.0
1,51.0
2,44.0
3,51.0
4,47.0
5,49.0
6,44.0
7,52.0
8,44.0
9,49.0
10,48.0
11,45.0
12,46.0
13,46.0
14,49.0
15,49.0
16,49.0
17,44.0
18,49.0
19,48.0
20,46.0
21,49.0
22,45.0
23,46.0
24,49.0
25,49.0
26,45.0
27,51.0
28,47.0
29,47.0
30,45.0
31,48.0
32,47.0
33,48.0
34,49.0
35,48.0
36,45.0
37,49.0
38,48.0
39,45.0
40,46.0
41,46.0
42,46.0
43,46.0
44,48.0
45,46.0
46,45.0
47,45.0
48,45.0
49,51.0
50,45.0
51,48.0
52,48.0
53,49.0
54,48.0
55,51.0
56,48.0
57,51.0
58,50.0
59,50.0
60,43.0
61,48.0
62,48.0
63,47.0
64,52.0
65,46.0
66,48.0
67,48.0
68,49.0
69,48.0
70,52.0
71,51.0
72,44.0
73,49.0
74,47.0
75,45.0
76,55.0
77,47.0
78,43.0
79,48.0
80,45.0
81,44.0
82,51.0
83,47.0
84,50.0
85,47.0
86,49.0
87,44.0
88,46.0
89,52.0
90,48.0
91,45.0
92,49.0
93,49.0
94,48.0
95,51.0
96,45.0
97,45.0
98,45.0
99,48.0
100,48.0
101,46.0
102,49.0
103,45.0
104,48.0
105,45.0
106,45.0
107,51.0
108,43.0
109,48.0
110,44.0
111,48.0
112,51.0
113,48.0
114,47.0
115,45.0
116,51.0
117,48.0
118,45.0
119,46.0
120,44.0
121,49.0
122,46.0
123,45.0
124,51.0
125,51.0
126,48.0
127,45.0
128,52.0
129,48.0
130,48.0
131,49.0
132,45.0
133,46.0
134,49.0
135,45.0
136,49.0
137,48.0
138,48.0
139,51.0
140,47.0
141,49.0
142,48.0
143,45.0
144,46.0
145,49.0
146,48.0
147,45.0
148,46.0
149,48.0
150,48.0
151,49.0
152,48.0
153,47.0
154,44.0
155,46.0
156,44.0
157,48.0
158,51.0
159,47.0
160,45.0
161,48.0
162,51.0
163,44.0
164,46.0
165,48.0
166,46.0
167,45.0
168,46.0
169,48.0
170,46.0
171,45.0
172,51.0
173,47.0
174,44.0
175,51.0
176,43.0
177,45.0
178,48.0
179,48.0
180,51.0
181,47.0
182,48.0
183,45.0
184,48.0
185,45.0
186,44.0
187,48.0
188,47.0
189,47.0
190,48.0
191,45.0
192,51.0
193,44.0
194,46.0
195,52.0
196,43.0
197,46.0
198,46.0
199,46.0
200,45.0
201,45.0
202,52.0
203,47.0
204,45.0
205,52.0
206,47.0
207,47.0
208,47.0
209,44.0
210,45.0
211,48.0
212,45.0
213,46.0
214,50.0
215,44.0
216,48.0
217,45.0
218,49.0
219,51.0
220,44.0
221,49.0
222,48.0
223,51.0
224,48.0
225,45.0
226,52.0
227,47.0
228,48.0
229,51.0
230,52.0
231,44.0
232,49.0
233,49.0
234,52.0
235,44.0
236,52.0
237,44.0
238,49.0
239,45.0
240,52.0
241,47.0
242,49.0
243,45.0
244,46.0
245,46.0
246,49.0
247,48.0
248,48.0
249,52.0
250,49.0
251,48.0
252,48.0
253,48.0
254,45.0
255,46.0
256,49.0
257,52.0
258,46.0
259,48.0
