step,policy_loss
4000,-0.10421960055828094
4001,-0.17211763560771942
4002,-0.24014467000961304
4003,-0.30675846338272095
4004,-0.3790842890739441
4005,-0.4575623869895935
4006,-0.5389044284820557
4007,-0.6338516473770142
4008,-0.7389968037605286
4009,-0.8523917198181152
4010,-0.9821712970733643
4011,-1.124122142791748
4012,-1.27931547164917
4013,-1.462392807006836
4014,-1.6546084880828857
4015,-1.871900200843811
4016,-2.1053578853607178
4017,-2.3700551986694336
4018,-2.6684648990631104
4019,-2.959947109222412
4020,-3.325777769088745
4021,-3.7090587615966797
4022,-4.09073543548584
4023,-4.564784049987793
4024,-5.044796943664551
4025,-5.562251567840576
4026,-6.149167060852051
4027,-6.760371685028076
4028,-7.4212751388549805
4029,-8.165882110595703
4030,-8.935014724731445
4031,-9.765579223632812
4032,-10.657182693481445
4033,-11.646554946899414
4034,-12.74751091003418
4035,-13.826988220214844
4036,-15.057390213012695
4037,-16.325437545776367
4038,-17.71671485900879
4039,-19.222551345825195
4040,-20.679462432861328
4041,-22.480920791625977
4042,-24.29100227355957
4043,-26.224729537963867
4044,-28.222379684448242
4045,-30.30072021484375
4046,-32.517608642578125
4047,-34.99944305419922
4048,-37.757659912109375
4049,-40.10045623779297
4050,-43.15611267089844
4051,-46.103729248046875
4052,-49.25001525878906
4053,-52.50086975097656
4054,-55.48921203613281
4055,-59.13982391357422
4056,-62.94835662841797
4057,-66.47395324707031
4058,-70.77021026611328
4059,-74.63365173339844
4060,-78.52838134765625
4061,-82.64481353759766
4062,-86.1832275390625
4063,-90.15376281738281
4064,-94.12522888183594
4065,-97.77739715576172
4066,-102.04077911376953
4067,-105.38763427734375
4068,-108.4246597290039
4069,-111.82720947265625
4070,-114.79169464111328
4071,-117.43254852294922
4072,-120.15176391601562
4073,-122.30158996582031
4074,-125.26721954345703
4075,-128.046875
4076,-130.56494140625
4077,-132.79843139648438
4078,-135.60464477539062
4079,-137.8083038330078
4080,-141.70809936523438
4081,-143.87216186523438
4082,-148.25140380859375
4083,-152.41461181640625
4084,-155.43618774414062
4085,-158.98574829101562
4086,-161.57391357421875
4087,-165.2838592529297
4088,-167.1680450439453
4089,-170.94097900390625
4090,-174.27076721191406
4091,-176.7079315185547
4092,-180.05023193359375
4093,-181.43362426757812
4094,-183.83444213867188
4095,-188.053466796875
4096,-190.1781463623047
4097,-193.4110107421875
4098,-195.8262939453125
4099,-199.79299926757812
4100,-204.63558959960938
4101,-206.21298217773438
4102,-208.2987518310547
4103,-210.4114227294922
4104,-212.2638397216797
4105,-214.904541015625
4106,-217.29672241210938
4107,-220.30416870117188
4108,-222.96353149414062
4109,-225.58349609375
4110,-228.04208374023438
4111,-232.53594970703125
4112,-234.9125213623047
4113,-238.31240844726562
4114,-240.4979705810547
4115,-240.98556518554688
4116,-242.8044891357422
4117,-243.85943603515625
4118,-246.47406005859375
4119,-250.13177490234375
4120,-253.54974365234375
4121,-255.7965087890625
4122,-259.109375
4123,-261.6701354980469
4124,-261.55108642578125
4125,-263.06842041015625
4126,-263.3314514160156
4127,-264.8505554199219
4128,-267.93817138671875
4129,-269.8963623046875
4130,-273.1147155761719
4131,-277.0156555175781
4132,-277.1716613769531
4133,-279.2255859375
4134,-281.8380126953125
4135,-282.1781921386719
4136,-282.7110290527344
4137,-284.56683349609375
4138,-286.0187683105469
4139,-287.4116516113281
4140,-291.186279296875
4141,-292.5267028808594
4142,-294.6399841308594
4143,-296.988525390625
4144,-300.476318359375
4145,-301.7008361816406
4146,-302.315673828125
4147,-302.52972412109375
4148,-301.71588134765625
4149,-301.69866943359375
4150,-304.6457214355469
4151,-310.30670166015625
4152,-311.6236572265625
4153,-317.35235595703125
4154,-319.08721923828125
4155,-321.3872375488281
4156,-320.656005859375
4157,-321.0497741699219
4158,-319.67950439453125
4159,-320.7955017089844
4160,-323.1843566894531
4161,-323.7475280761719
4162,-327.42889404296875
4163,-330.4010925292969
4164,-332.90362548828125
4165,-331.5846862792969
4166,-335.8529052734375
4167,-337.5333557128906
4168,-341.0296936035156
4169,-340.6327819824219
4170,-337.7538757324219
4171,-339.96820068359375
