step,reward
0,60.0
1,35.0
2,30.0
3,49.0
4,51.0
5,47.0
6,50.0
7,41.0
8,49.0
9,44.0
10,64.0
11,54.0
12,35.0
13,56.0
14,38.0
15,50.0
16,62.0
17,51.0
18,37.0
19,38.0
20,25.0
21,47.0
22,30.0
23,36.0
24,40.0
25,43.0
26,42.0
27,35.0
28,31.0
29,14.0
30,44.0
31,32.0
32,30.0
33,64.0
34,50.0
35,39.0
36,32.0
37,39.0
38,29.0
39,31.0
40,41.0
41,53.0
42,51.0
43,43.0
44,32.0
45,42.0
46,49.0
47,46.0
48,32.0
49,31.0
50,30.0
51,64.0
52,43.0
53,35.0
54,45.0
55,48.0
56,41.0
57,53.0
58,56.0
59,47.0
60,30.0
61,40.0
62,44.0
63,30.0
64,58.0
65,56.0
66,52.0
67,37.0
68,15.0
69,46.0
70,48.0
71,44.0
72,25.0
73,51.0
74,36.0
75,40.0
76,40.0
77,41.0
78,39.0
79,49.0
80,43.0
81,39.0
82,46.0
83,42.0
84,48.0
85,43.0
86,35.0
87,35.0
88,44.0
89,33.0
90,39.0
91,33.0
92,40.0
93,34.0
94,33.0
95,41.0
96,41.0
97,39.0
98,29.0
99,35.0
100,41.0
101,30.0
102,69.0
103,46.0
104,47.0
105,53.0
106,63.0
107,38.0
108,46.0
109,41.0
110,35.0
111,58.0
112,53.0
113,30.0
114,36.0
115,35.0
116,44.0
117,39.0
118,31.0
119,45.0
120,42.0
121,39.0
122,35.0
123,53.0
124,41.0
125,56.0
126,50.0
127,39.0
128,47.0
129,43.0
130,47.0
131,41.0
132,48.0
133,40.0
134,39.0
135,45.0
136,53.0
137,39.0
138,36.0
139,40.0
140,42.0
141,39.0
142,39.0
143,31.0
144,35.0
145,49.0
146,33.0
147,35.0
148,41.0
149,38.0
150,29.0
151,35.0
152,40.0
153,47.0
154,34.0
155,32.0
156,36.0
157,29.0
158,55.0
159,41.0
160,39.0
161,48.0
162,36.0
163,46.0
164,36.0
165,36.0
166,57.0
167,55.0
168,43.0
169,46.0
170,67.0
171,52.0
172,41.0
173,40.0
174,52.0
175,50.0
176,47.0
177,67.0
178,68.0
179,46.0
180,40.0
181,37.0
182,44.0
183,50.0
184,50.0
185,39.0
186,53.0
187,48.0
188,31.0
189,15.0
190,51.0
191,59.0
192,43.0
193,54.0
194,34.0
195,36.0
196,40.0
197,46.0
198,32.0
199,32.0
200,37.0
201,34.0
202,41.0
203,29.0
204,50.0
205,41.0
206,46.0
207,25.0
208,49.0
209,48.0
210,43.0
211,48.0
212,35.0
213,44.0
214,45.0
215,50.0
216,70.0
217,54.0
218,37.0
219,34.0
220,44.0
221,61.0
222,63.0
223,44.0
224,29.0
225,34.0
226,48.0
227,43.0
228,43.0
229,38.0
230,38.0
231,40.0
232,41.0
233,45.0
234,38.0
235,34.0
236,38.0
237,48.0
238,47.0
239,37.0
240,39.0
241,56.0
242,50.0
243,31.0
244,37.0
245,30.0
246,39.0
247,40.0
248,41.0
249,35.0
250,35.0
251,29.0
252,62.0
253,54.0
254,53.0
255,45.0
256,45.0
257,36.0
258,40.0
259,29.0
260,20.0
261,43.0
262,50.0
263,37.0
264,35.0
265,39.0
266,24.0
267,46.0
268,35.0
269,20.0
270,43.0
271,48.0
272,53.0
273,42.0
274,30.0
275,42.0
276,35.0
277,32.0
278,37.0
279,30.0
280,55.0
281,50.0
282,42.0
283,36.0
284,38.0
285,17.0
286,38.0
287,35.0
288,29.0
289,43.0
290,39.0
291,45.0
292,40.0
293,47.0
294,48.0
295,51.0
296,37.0
297,38.0
298,34.0
299,47.0
300,53.0
301,54.0
302,38.0
303,34.0
304,46.0
305,46.0
306,49.0
307,32.0
308,25.0
309,40.0
310,52.0
311,43.0
312,46.0
313,40.0
314,61.0
315,35.0
316,39.0
317,35.0
318,47.0
319,35.0
320,26.0
321,39.0
322,44.0
323,41.0
324,37.0
325,29.0
326,15.0
327,45.0
328,40.0
329,55.0
330,36.0
331,50.0
332,55.0
333,40.0
334,48.0
335,56.0
336,29.0
337,35.0
338,35.0
339,24.0
340,55.0
341,42.0
342,31.0
343,33.0
344,20.0
345,50.0
346,47.0
347,46.0
348,40.0
349,56.0
350,43.0
351,54.0
352,45.0
353,41.0
354,47.0
355,35.0
356,44.0
357,40.0
358,45.0
359,29.0
360,49.0
361,35.0
362,62.0
363,62.0
364,48.0
365,50.0
366,43.0
367,62.0
368,36.0
369,41.0
370,34.0
371,45.0
372,50.0
373,46.0
374,29.0
375,63.0
376,50.0
377,55.0
378,57.0
379,49.0
380,34.0
381,30.0
382,39.0
383,31.0
384,37.0
385,30.0
386,47.0
387,60.0
388,60.0
389,54.0
390,47.0
391,45.0
392,55.0
393,46.0
394,50.0
395,38.0
396,26.0
397,63.0
398,70.0
399,53.0
400,38.0
401,35.0
402,22.0
403,49.0
404,47.0
405,38.0
406,30.0
407,45.0
408,45.0
409,27.0
410,51.0
411,30.0
412,39.0
413,45.0
414,40.0
415,39.0
416,45.0
417,48.0
418,57.0
419,63.0
420,48.0
421,48.0
422,39.0
423,33.0
424,29.0
425,50.0
426,49.0
427,51.0
428,36.0
429,39.0
430,39.0
431,31.0
432,32.0
433,41.0
434,52.0
435,49.0
436,40.0
437,28.0
438,48.0
439,55.0
440,63.0
441,50.0
442,43.0
443,35.0
444,56.0
445,37.0
446,54.0
447,43.0
448,41.0
449,50.0
450,40.0
451,71.0
452,61.0
453,43.0
454,47.0
455,39.0
456,32.0
457,44.0
458,41.0
459,67.0
460,53.0
461,39.0
462,43.0
463,33.0
464,38.0
465,32.0
466,25.0
467,67.0
468,43.0
469,35.0
470,30.0
471,44.0
472,39.0
473,38.0
474,42.0
475,36.0
476,39.0
477,25.0
478,46.0
479,50.0
480,46.0
481,45.0
482,40.0
483,41.0
484,30.0
485,52.0
486,39.0
487,41.0
488,55.0
489,47.0
490,49.0
491,41.0
492,24.0
493,47.0
494,35.0
495,54.0
496,43.0
497,38.0
498,30.0
499,30.0
500,32.0
501,38.0
502,42.0
503,43.0
504,40.0
505,69.0
506,49.0
507,41.0
508,40.0
509,44.0
510,37.0
511,34.0
512,58.0
513,41.0
514,42.0
515,49.0
516,36.0
517,28.0
518,38.0
519,20.0
520,49.0
521,58.0
522,32.0
523,39.0
524,40.0
525,37.0
526,29.0
527,27.0
528,34.0
529,37.0
530,37.0
531,34.0
532,30.0
533,22.0
534,19.0
535,36.0
536,33.0
537,35.0
538,14.0
539,53.0
540,44.0
541,51.0
542,54.0
543,58.0
544,44.0
545,53.0
546,49.0
547,39.0
548,27.0
549,43.0
550,58.0
551,41.0
552,28.0
553,46.0
554,43.0
555,42.0
556,33.0
557,35.0
558,57.0
559,57.0
560,44.0
561,31.0
562,37.0
563,37.0
564,23.0
565,50.0
566,50.0
567,43.0
568,32.0
569,50.0
570,52.0
571,45.0
572,35.0
573,42.0
574,47.0
575,39.0
576,50.0
577,45.0
578,60.0
579,38.0
580,30.0
581,45.0
582,44.0
583,52.0
584,39.0
585,38.0
586,23.0
587,52.0
588,51.0
589,44.0
590,31.0
591,33.0
592,39.0
593,50.0
594,41.0
595,44.0
596,39.0
597,30.0
598,42.0
599,31.0
600,30.0
601,25.0
602,50.0
603,36.0
604,38.0
605,36.0
606,35.0
607,40.0
608,27.0
609,48.0
610,37.0
611,38.0
612,25.0
613,62.0
614,61.0
615,55.0
616,45.0
617,57.0
618,53.0
619,45.0
620,48.0
621,49.0
622,49.0
623,43.0
624,50.0
625,45.0
626,44.0
627,35.0
628,31.0
629,28.0
630,39.0
631,22.0
632,35.0
633,41.0
634,48.0
635,28.0
636,54.0
637,42.0
638,31.0
639,44.0
640,45.0
641,41.0
642,49.0
643,51.0
644,72.0
645,71.0
646,46.0
647,37.0
648,25.0
649,53.0
650,31.0
651,52.0
652,52.0
653,32.0
654,54.0
655,46.0
656,41.0
657,32.0
658,38.0
659,49.0
660,45.0
661,38.0
662,49.0
663,36.0
664,32.0
665,41.0
666,32.0
667,38.0
668,32.0
669,37.0
670,35.0
671,48.0
672,37.0
673,30.0
674,44.0
675,30.0
676,20.0
677,55.0
678,40.0
679,45.0
680,62.0
681,40.0
682,38.0
683,44.0
684,42.0
685,29.0
686,42.0
687,35.0
688,27.0
689,48.0
690,40.0
691,33.0
692,29.0
693,34.0
694,38.0
695,47.0
696,39.0
697,56.0
698,47.0
699,37.0
700,45.0
701,39.0
702,44.0
703,46.0
704,39.0
705,50.0
706,43.0
707,36.0
708,41.0
709,44.0
710,31.0
711,36.0
712,39.0
713,48.0
714,46.0
715,36.0
716,32.0
717,36.0
718,49.0
719,36.0
720,52.0
721,57.0
722,43.0
723,36.0
724,50.0
725,50.0
726,51.0
727,27.0
728,30.0
729,57.0
730,48.0
731,50.0
732,55.0
733,57.0
734,35.0
735,40.0
736,50.0
737,63.0
738,41.0
739,30.0
740,48.0
741,54.0
742,57.0
743,45.0
744,36.0
745,29.0
746,38.0
747,55.0
748,22.0
749,39.0
750,48.0
751,51.0
