step,policy_loss
4000,-0.04141645133495331
4001,-0.10729807615280151
4002,-0.1698380559682846
4003,-0.23423194885253906
4004,-0.2980138063430786
4005,-0.3709026277065277
4006,-0.449115127325058
4007,-0.5351523160934448
4008,-0.6291377544403076
4009,-0.7379727363586426
4010,-0.856910228729248
4011,-0.9949034452438354
4012,-1.1427558660507202
4013,-1.3120450973510742
4014,-1.5006250143051147
4015,-1.7024006843566895
4016,-1.945054292678833
4017,-2.207462787628174
4018,-2.463650703430176
4019,-2.787367820739746
4020,-3.136324405670166
4021,-3.5064704418182373
4022,-3.9214911460876465
4023,-4.3736443519592285
4024,-4.874560356140137
4025,-5.381335258483887
4026,-5.98331880569458
4027,-6.635098457336426
4028,-7.308620452880859
4029,-8.105916023254395
4030,-8.850530624389648
4031,-9.684349060058594
4032,-10.622076988220215
4033,-11.730342864990234
4034,-12.733695983886719
4035,-13.903324127197266
4036,-15.130084991455078
4037,-16.49787712097168
4038,-17.802936553955078
4039,-19.517024993896484
4040,-21.028215408325195
4041,-22.87588882446289
4042,-24.63809585571289
4043,-26.54678726196289
4044,-28.83349609375
4045,-30.936973571777344
4046,-33.43302917480469
4047,-35.9876594543457
4048,-38.629554748535156
4049,-41.394996643066406
4050,-44.35240173339844
4051,-47.51134490966797
4052,-50.7884521484375
4053,-54.794288635253906
4054,-58.13734436035156
4055,-61.99961853027344
4056,-66.33807373046875
4057,-70.31217193603516
4058,-74.47734069824219
4059,-79.19940185546875
4060,-83.63807678222656
4061,-88.96786499023438
4062,-93.58821868896484
4063,-98.63277435302734
4064,-104.23846435546875
4065,-109.66890716552734
4066,-114.5751953125
4067,-120.54649353027344
4068,-123.44937133789062
4069,-130.03237915039062
4070,-135.30999755859375
4071,-139.6011962890625
4072,-144.9005889892578
4073,-150.05239868164062
4074,-154.46942138671875
4075,-159.58535766601562
4076,-163.0298614501953
4077,-167.6773681640625
4078,-171.81036376953125
4079,-174.8526611328125
4080,-179.61834716796875
4081,-182.75172424316406
4082,-187.24317932128906
4083,-190.10671997070312
4084,-193.00064086914062
4085,-195.811767578125
4086,-201.22242736816406
4087,-203.79196166992188
4088,-210.26931762695312
4089,-212.0654754638672
4090,-218.009521484375
4091,-222.0098419189453
4092,-225.23741149902344
4093,-231.63552856445312
4094,-232.52346801757812
4095,-237.2091827392578
4096,-240.58489990234375
4097,-242.1658172607422
4098,-246.83981323242188
4099,-251.19581604003906
4100,-254.36920166015625
4101,-259.3165283203125
4102,-263.0121154785156
4103,-267.11346435546875
4104,-271.2581481933594
4105,-274.2743835449219
4106,-278.52532958984375
4107,-280.7032165527344
4108,-285.76611328125
4109,-288.6181640625
4110,-291.2698974609375
4111,-293.1792297363281
4112,-298.76287841796875
4113,-301.6082763671875
4114,-305.36456298828125
4115,-311.5084228515625
4116,-312.7001037597656
4117,-315.079345703125
4118,-318.23541259765625
4119,-319.7691955566406
4120,-323.40313720703125
4121,-327.5706481933594
4122,-332.0102233886719
4123,-337.24761962890625
4124,-340.8210754394531
4125,-345.73486328125
4126,-350.0274963378906
4127,-351.0664978027344
4128,-357.4510498046875
4129,-357.56707763671875
4130,-361.408447265625
4131,-358.7196044921875
4132,-362.65093994140625
4133,-364.42724609375
4134,-367.8418273925781
4135,-369.9255065917969
4136,-373.9462585449219
4137,-376.407958984375
4138,-382.3520202636719
4139,-384.627685546875
4140,-387.1630859375
4141,-385.86566162109375
4142,-393.4306640625
4143,-393.2486267089844
4144,-398.7315979003906
4145,-403.8172302246094
4146,-401.0231018066406
4147,-404.18768310546875
4148,-404.69085693359375
4149,-404.20721435546875
4150,-411.63702392578125
4151,-415.8880615234375
4152,-419.8652038574219
4153,-426.66943359375
4154,-426.0372314453125
4155,-428.5566711425781
4156,-430.1138610839844
4157,-428.4743347167969
4158,-426.1371154785156
4159,-428.58294677734375
4160,-426.00262451171875
4161,-427.7360534667969
4162,-431.6781311035156
4163,-438.17388916015625
4164,-445.00921630859375
4165,-447.5389099121094
4166,-447.29913330078125
4167,-447.06292724609375
4168,-448.2320556640625
4169,-451.7236022949219
4170,-453.6503601074219
4171,-457.30462646484375
4172,-456.87884521484375
4173,-457.0128479003906
4174,-455.917724609375
4175,-462.74005126953125
4176,-460.9908752441406
4177,-463.6271667480469
4178,-467.59869384765625
4179,-469.3000793457031
4180,-470.5303649902344
4181,-474.50128173828125
4182,-473.7967529296875
4183,-475.6873779296875
4184,-474.7623291015625
4185,-476.71112060546875
4186,-474.89617919921875
4187,-477.20867919921875
4188,-482.3045654296875
4189,-482.85125732421875
4190,-489.7721862792969
4191,-489.81634521484375
4192,-490.6142578125
4193,-490.35980224609375
4194,-488.532470703125
4195,-488.65008544921875
4196,-487.84393310546875
4197,-494.37890625
4198,-498.86090087890625
4199,-497.4195251464844
4200,-501.176513671875
4201,-496.3802795410156
4202,-499.88714599609375
4203,-498.23358154296875
4204,-503.7904357910156
4205,-504.63311767578125
4206,-507.1515197753906
4207,-509.9144287109375
4208,-506.4759521484375
4209,-511.31402587890625
4210,-511.2958984375
4211,-516.9236450195312
4212,-513.4649658203125
4213,-514.584228515625
4214,-510.1185607910156
4215,-506.82525634765625
4216,-512.1368408203125
4217,-511.6629638671875
4218,-520.880126953125
4219,-525.4239501953125
4220,-524.6702270507812
4221,-520.1695556640625
4222,-518.18017578125
4223,-519.0150146484375
4224,-520.17822265625
4225,-519.569091796875
4226,-522.2839965820312
4227,-521.208251953125
4228,-521.575439453125
4229,-529.1620483398438
4230,-526.9039306640625
4231,-529.8621826171875
4232,-529.9641723632812
4233,-531.962890625
4234,-532.139892578125
4235,-527.0823364257812
4236,-525.4398193359375
4237,-527.016357421875
4238,-530.3702392578125
4239,-531.05126953125
4240,-533.8275146484375
4241,-536.2559814453125
4242,-535.2940063476562
4243,-530.4735107421875
4244,-533.074951171875
4245,-528.9161376953125
4246,-526.7664794921875
4247,-527.663330078125
4248,-531.4830932617188
4249,-538.65283203125
4250,-541.873046875
4251,-541.278564453125
4252,-537.0067138671875
4253,-537.9108276367188
4254,-534.8365478515625
4255,-530.6685180664062
4256,-535.68212890625
4257,-538.0963134765625
4258,-538.367431640625
4259,-547.5635375976562
4260,-542.26806640625
4261,-544.2801513671875
4262,-539.9061279296875
4263,-535.8635864257812
4264,-535.489013671875
4265,-536.0447998046875
4266,-533.0092163085938
4267,-539.5338134765625
4268,-541.3671875
4269,-540.2886962890625
4270,-538.564453125
4271,-538.5142822265625
4272,-535.6136474609375
4273,-538.697998046875
4274,-537.9508056640625
4275,-538.3511962890625
4276,-544.3233642578125
4277,-547.4595947265625
4278,-547.5962524414062
4279,-547.3805541992188
4280,-543.423095703125
4281,-533.9487915039062
4282,-541.1685791015625
4283,-544.6331787109375
4284,-545.8023681640625
4285,-541.2921752929688
4286,-547.0345458984375
4287,-548.43017578125
4288,-542.2220458984375
4289,-545.4109497070312
4290,-541.5667724609375
4291,-540.5469360351562
4292,-547.3876953125
4293,-546.82421875
4294,-548.5104370117188
4295,-550.9432983398438
4296,-549.8944091796875
4297,-543.134033203125
4298,-542.7523193359375
4299,-536.6917724609375
4300,-541.9290771484375
4301,-544.2539672851562
4302,-543.7340087890625
4303,-549.294921875
4304,-547.7693481445312
4305,-545.0021362304688
4306,-546.580078125
4307,-543.033447265625
4308,-542.765380859375
4309,-541.307861328125
4310,-541.063720703125
4311,-543.204345703125
4312,-543.2547607421875
4313,-542.0764770507812
4314,-542.7054443359375
4315,-542.3668212890625
4316,-541.538330078125
4317,-543.70166015625
4318,-550.0233154296875
4319,-546.147705078125
4320,-546.6525268554688
4321,-543.9876708984375
4322,-539.8944091796875
4323,-540.6084594726562
4324,-546.2591552734375
4325,-543.2296142578125
4326,-545.239501953125
4327,-545.9388427734375
4328,-541.3463745117188
4329,-547.0135498046875
4330,-543.971435546875
4331,-546.7073974609375
4332,-545.7459106445312
4333,-541.9984130859375
4334,-538.9368286132812
4335,-541.2793579101562
4336,-539.5713500976562
4337,-543.295654296875
4338,-542.3711547851562
4339,-542.7033081054688
4340,-541.7127075195312
4341,-541.9866943359375
4342,-540.7246704101562
4343,-540.1595458984375
4344,-542.9013671875
4345,-542.3400268554688
4346,-539.4216918945312
4347,-538.4120483398438
4348,-535.78369140625
4349,-538.6680908203125
4350,-534.375244140625
4351,-531.2784423828125
4352,-531.0977783203125
4353,-530.776611328125
4354,-528.8611450195312
4355,-533.74951171875
4356,-532.1768188476562
4357,-534.0806884765625
4358,-529.7268676757812
4359,-531.8485107421875
4360,-527.6107177734375
4361,-531.31005859375
4362,-531.1710815429688
4363,-534.2293701171875
4364,-533.7830810546875
4365,-536.27392578125
4366,-534.0038452148438
4367,-528.45166015625
4368,-524.4752807617188
4369,-531.27001953125
4370,-528.580078125
4371,-528.380126953125
4372,-530.8802490234375
4373,-527.5712890625
4374,-524.9218139648438
4375,-526.2807006835938
4376,-521.4000244140625
4377,-521.0946044921875
4378,-519.0250854492188
4379,-519.6529541015625
4380,-521.7109985351562
4381,-528.0121459960938
4382,-526.9776611328125
4383,-521.9727783203125
4384,-525.952880859375
4385,-526.4749145507812
4386,-524.48486328125
4387,-523.3599243164062
4388,-517.9041748046875
4389,-517.8557739257812
4390,-519.757568359375
4391,-520.19482421875
4392,-523.102783203125
4393,-517.0347900390625
4394,-516.4959716796875
4395,-515.3595581054688
4396,-513.4445190429688
4397,-511.0787353515625
4398,-509.9505920410156
4399,-513.0137939453125
4400,-516.4945068359375
4401,-516.491455078125
4402,-516.9318237304688
4403,-516.9000854492188
4404,-515.0106811523438
4405,-511.35565185546875
4406,-506.263427734375
4407,-507.66680908203125
4408,-503.34808349609375
4409,-510.02850341796875
4410,-513.6661987304688
4411,-516.658935546875
4412,-512.0781860351562
4413,-509.9109191894531
4414,-506.2512512207031
4415,-505.1484680175781
4416,-503.0714111328125
