step,reward
0,60.0
1,37.0
2,35.0
3,27.0
4,26.0
5,61.0
6,48.0
7,32.0
8,44.0
9,40.0
10,49.0
11,45.0
12,54.0
13,45.0
14,48.0
15,33.0
16,35.0
17,57.0
18,54.0
19,33.0
20,39.0
21,48.0
22,39.0
23,28.0
24,36.0
25,38.0
26,34.0
27,39.0
28,56.0
29,60.0
30,52.0
31,44.0
32,43.0
33,54.0
34,64.0
35,58.0
36,48.0
37,35.0
38,60.0
39,52.0
40,50.0
41,48.0
42,57.0
43,60.0
44,37.0
45,40.0
46,32.0
47,41.0
48,50.0
49,57.0
50,47.0
51,46.0
52,37.0
53,59.0
54,57.0
55,42.0
56,35.0
57,52.0
58,48.0
59,43.0
60,37.0
61,34.0
62,40.0
63,33.0
64,34.0
65,20.0
66,43.0
67,50.0
68,55.0
69,72.0
70,49.0
71,44.0
72,37.0
73,35.0
74,33.0
75,35.0
76,40.0
77,53.0
78,46.0
79,40.0
80,35.0
81,40.0
82,34.0
83,40.0
84,50.0
85,32.0
86,39.0
87,41.0
88,49.0
89,51.0
90,43.0
91,15.0
92,54.0
93,65.0
94,63.0
95,43.0
96,53.0
97,55.0
98,47.0
99,36.0
100,35.0
101,34.0
102,68.0
103,72.0
104,50.0
105,45.0
106,54.0
107,37.0
108,37.0
109,43.0
110,30.0
111,43.0
112,38.0
113,24.0
114,44.0
115,38.0
116,42.0
117,37.0
118,68.0
119,65.0
120,62.0
121,55.0
122,50.0
123,50.0
124,39.0
125,40.0
126,35.0
127,59.0
128,45.0
129,44.0
130,45.0
131,36.0
132,25.0
133,57.0
134,50.0
135,37.0
136,44.0
137,36.0
138,33.0
139,28.0
140,50.0
141,68.0
142,50.0
143,48.0
144,48.0
145,28.0
146,31.0
147,49.0
148,50.0
149,54.0
150,33.0
151,50.0
152,59.0
153,43.0
154,47.0
155,48.0
156,57.0
157,57.0
158,40.0
159,40.0
160,41.0
161,37.0
162,35.0
163,33.0
164,44.0
165,63.0
166,42.0
167,45.0
168,38.0
169,40.0
170,37.0
171,25.0
172,34.0
173,56.0
174,38.0
175,30.0
176,40.0
177,46.0
178,26.0
179,41.0
180,25.0
181,45.0
182,39.0
183,40.0
184,34.0
185,20.0
186,47.0
187,60.0
188,49.0
189,47.0
190,52.0
191,49.0
192,36.0
193,35.0
194,44.0
195,30.0
196,57.0
197,63.0
198,51.0
199,53.0
200,50.0
201,37.0
202,58.0
203,62.0
204,46.0
205,37.0
206,35.0
207,37.0
208,36.0
209,40.0
210,41.0
211,35.0
212,38.0
213,39.0
214,44.0
215,31.0
216,30.0
217,26.0
218,23.0
219,29.0
220,34.0
221,43.0
222,39.0
223,44.0
224,25.0
225,43.0
226,38.0
227,28.0
228,29.0
229,33.0
230,30.0
231,45.0
232,38.0
233,36.0
234,30.0
235,46.0
236,41.0
237,35.0
238,30.0
239,68.0
240,67.0
241,61.0
242,43.0
243,34.0
244,40.0
245,53.0
246,45.0
247,35.0
248,34.0
249,29.0
250,38.0
251,44.0
252,41.0
253,38.0
254,60.0
255,55.0
256,39.0
257,40.0
258,42.0
259,30.0
260,47.0
261,40.0
262,41.0
263,43.0
264,30.0
265,42.0
266,36.0
267,72.0
268,50.0
269,35.0
270,37.0
271,40.0
272,38.0
273,29.0
274,49.0
275,47.0
276,54.0
277,56.0
278,38.0
279,30.0
280,59.0
281,42.0
282,45.0
283,45.0
284,32.0
285,50.0
286,56.0
287,59.0
288,46.0
289,54.0
290,34.0
291,37.0
292,36.0
293,40.0
294,32.0
295,35.0
296,26.0
297,40.0
298,31.0
299,43.0
300,49.0
301,42.0
302,30.0
303,63.0
304,69.0
305,51.0
306,34.0
307,48.0
308,40.0
309,49.0
310,31.0
311,38.0
312,42.0
313,38.0
314,35.0
315,59.0
316,54.0
317,34.0
318,28.0
319,48.0
320,60.0
321,62.0
322,47.0
323,41.0
324,28.0
325,40.0
326,38.0
327,40.0
328,50.0
329,44.0
330,36.0
331,35.0
332,68.0
333,64.0
334,54.0
335,35.0
336,32.0
337,29.0
338,48.0
339,58.0
340,52.0
341,52.0
342,55.0
343,43.0
344,23.0
345,46.0
346,35.0
347,70.0
348,45.0
349,29.0
350,36.0
351,33.0
352,49.0
353,45.0
354,43.0
355,49.0
356,71.0
357,56.0
358,45.0
359,41.0
360,27.0
361,46.0
362,38.0
363,29.0
364,35.0
365,47.0
366,30.0
367,40.0
368,48.0
369,50.0
370,44.0
371,47.0
372,43.0
373,44.0
374,35.0
375,42.0
376,31.0
377,26.0
378,33.0
379,43.0
380,46.0
381,43.0
382,45.0
383,40.0
384,34.0
385,29.0
386,46.0
387,45.0
388,58.0
389,43.0
390,43.0
391,43.0
392,25.0
393,38.0
394,29.0
395,40.0
396,31.0
397,42.0
398,30.0
399,46.0
400,35.0
401,44.0
402,36.0
403,44.0
404,58.0
405,45.0
406,39.0
407,40.0
408,44.0
409,40.0
410,73.0
411,64.0
412,44.0
413,37.0
414,34.0
415,39.0
416,39.0
417,50.0
418,52.0
419,31.0
420,40.0
421,36.0
422,32.0
423,71.0
424,75.0
425,52.0
426,53.0
427,44.0
428,55.0
429,51.0
430,40.0
431,35.0
432,27.0
433,42.0
434,41.0
435,31.0
436,39.0
437,58.0
438,48.0
439,39.0
440,35.0
441,30.0
442,43.0
443,40.0
444,47.0
445,50.0
446,39.0
447,43.0
448,60.0
449,41.0
450,38.0
451,43.0
452,41.0
453,31.0
454,59.0
455,42.0
456,43.0
457,44.0
458,40.0
459,51.0
460,51.0
461,37.0
462,45.0
463,30.0
464,48.0
465,46.0
466,37.0
467,41.0
468,26.0
469,48.0
470,30.0
471,28.0
472,29.0
473,46.0
474,49.0
475,40.0
476,41.0
477,30.0
478,49.0
479,38.0
480,38.0
481,30.0
482,31.0
483,47.0
484,44.0
485,37.0
486,29.0
487,43.0
488,44.0
489,49.0
490,39.0
491,57.0
492,47.0
493,34.0
494,53.0
495,31.0
496,35.0
497,47.0
498,44.0
499,42.0
500,36.0
501,30.0
502,38.0
503,53.0
504,34.0
505,20.0
506,57.0
507,64.0
508,64.0
509,62.0
510,57.0
511,38.0
512,57.0
513,43.0
514,39.0
515,35.0
516,39.0
517,30.0
518,32.0
519,25.0
520,60.0
521,55.0
522,48.0
523,56.0
524,51.0
525,41.0
526,71.0
527,55.0
528,50.0
529,44.0
530,43.0
531,38.0
532,51.0
533,50.0
534,32.0
535,29.0
536,55.0
537,50.0
538,35.0
539,53.0
540,32.0
541,15.0
542,48.0
543,46.0
544,37.0
545,41.0
546,48.0
547,50.0
548,70.0
549,47.0
550,45.0
551,42.0
552,30.0
553,25.0
554,55.0
555,43.0
556,36.0
557,50.0
558,34.0
559,44.0
560,45.0
561,31.0
562,47.0
563,41.0
564,31.0
565,20.0
566,47.0
567,52.0
568,42.0
569,34.0
570,67.0
571,59.0
572,49.0
573,56.0
574,43.0
575,37.0
576,30.0
577,35.0
578,28.0
579,29.0
580,40.0
581,54.0
582,66.0
583,46.0
584,37.0
585,51.0
586,52.0
587,39.0
588,41.0
589,70.0
590,60.0
591,46.0
592,41.0
593,32.0
594,40.0
595,48.0
596,40.0
597,63.0
598,62.0
599,54.0
600,48.0
601,57.0
602,51.0
603,45.0
604,41.0
605,40.0
606,43.0
607,34.0
608,34.0
609,60.0
610,34.0
611,43.0
612,42.0
613,50.0
614,43.0
615,36.0
616,32.0
617,39.0
618,48.0
619,55.0
620,46.0
621,48.0
622,37.0
623,31.0
624,35.0
625,59.0
626,53.0
627,46.0
628,49.0
629,58.0
630,57.0
631,51.0
632,37.0
633,29.0
634,48.0
635,31.0
636,28.0
637,28.0
638,24.0
639,31.0
640,36.0
641,29.0
642,43.0
643,38.0
644,38.0
645,49.0
646,48.0
647,37.0
648,51.0
649,47.0
650,54.0
651,42.0
652,27.0
653,40.0
654,22.0
655,52.0
656,39.0
657,41.0
658,29.0
659,40.0
660,32.0
661,22.0
662,50.0
663,45.0
664,35.0
665,18.0
666,47.0
667,44.0
668,40.0
669,39.0
670,45.0
671,46.0
672,42.0
673,35.0
674,50.0
675,48.0
676,53.0
677,30.0
678,48.0
679,38.0
680,36.0
681,53.0
682,35.0
683,35.0
684,34.0
685,42.0
686,35.0
687,44.0
688,35.0
689,43.0
690,40.0
691,38.0
692,35.0
693,29.0
694,44.0
695,40.0
696,36.0
697,36.0
698,39.0
699,55.0
700,51.0
701,40.0
702,43.0
703,28.0
704,42.0
705,38.0
706,30.0
707,20.0
708,40.0
709,36.0
710,37.0
711,43.0
712,21.0
713,39.0
714,32.0
715,35.0
716,35.0
717,49.0
718,40.0
719,25.0
720,69.0
721,43.0
722,29.0
723,49.0
724,42.0
725,41.0
726,40.0
727,40.0
728,39.0
729,54.0
730,54.0
731,55.0
732,50.0
733,47.0
734,41.0
735,39.0
736,39.0
737,34.0
738,40.0
