step,policy_loss
4000,-0.10028862953186035
4001,-0.17036482691764832
4002,-0.23831845819950104
4003,-0.3071752190589905
4004,-0.3780216574668884
4005,-0.45782384276390076
4006,-0.542837381362915
4007,-0.6354802846908569
4008,-0.7351633310317993
4009,-0.8528745174407959
4010,-0.9791904091835022
4011,-1.1184394359588623
4012,-1.2761826515197754
4013,-1.4528254270553589
4014,-1.6464227437973022
4015,-1.8591454029083252
4016,-2.099137306213379
4017,-2.364849328994751
4018,-2.645866870880127
4019,-2.9605746269226074
4020,-3.295100688934326
4021,-3.675008773803711
4022,-4.092774391174316
4023,-4.556241989135742
4024,-5.043119430541992
4025,-5.578711032867432
4026,-6.159107208251953
4027,-6.737449645996094
4028,-7.434375762939453
4029,-8.12755298614502
4030,-8.92676830291748
4031,-9.718929290771484
4032,-10.628203392028809
4033,-11.54423713684082
4034,-12.567520141601562
4035,-13.648458480834961
4036,-14.80241870880127
4037,-16.073867797851562
4038,-17.351938247680664
4039,-18.744258880615234
4040,-20.307477951049805
4041,-21.839935302734375
4042,-23.55500030517578
4043,-25.430034637451172
4044,-27.48307991027832
4045,-29.358980178833008
4046,-31.586551666259766
4047,-33.677799224853516
4048,-35.96669006347656
4049,-38.39955139160156
4050,-41.216087341308594
4051,-43.729095458984375
4052,-46.639549255371094
4053,-49.80714416503906
4054,-52.680023193359375
4055,-55.756614685058594
4056,-58.953163146972656
4057,-62.335670471191406
4058,-65.6456298828125
4059,-69.16194152832031
4060,-72.24612426757812
4061,-75.64852905273438
4062,-78.2789535522461
4063,-81.7730712890625
4064,-84.5570068359375
4065,-87.47053527832031
4066,-89.88404846191406
4067,-91.71343994140625
4068,-94.53804016113281
4069,-95.7574462890625
4070,-98.45909881591797
4071,-100.28018188476562
4072,-102.37540435791016
4073,-103.82025146484375
4074,-106.30586242675781
4075,-108.61656951904297
4076,-110.95884704589844
4077,-113.71882629394531
4078,-116.77718353271484
4079,-119.21529388427734
4080,-122.09503173828125
4081,-124.53007507324219
4082,-127.94239807128906
4083,-130.1207275390625
4084,-133.67730712890625
4085,-136.69744873046875
4086,-139.14297485351562
4087,-141.08033752441406
4088,-143.364013671875
4089,-145.40081787109375
4090,-147.4029541015625
4091,-148.59027099609375
4092,-149.7359619140625
4093,-151.76004028320312
4094,-154.27102661132812
4095,-156.8902587890625
4096,-160.19749450683594
4097,-162.24832153320312
4098,-165.06051635742188
4099,-168.069091796875
4100,-171.93466186523438
4101,-173.2840118408203
4102,-175.97927856445312
4103,-175.89608764648438
4104,-177.89569091796875
4105,-179.73196411132812
4106,-179.96017456054688
4107,-181.76800537109375
4108,-183.8895721435547
4109,-187.03436279296875
4110,-191.38516235351562
4111,-193.55532836914062
4112,-196.32440185546875
4113,-198.9461669921875
4114,-200.28347778320312
4115,-202.33511352539062
4116,-202.95721435546875
4117,-205.54098510742188
4118,-207.7374725341797
4119,-209.1369171142578
4120,-211.74745178222656
4121,-212.1891326904297
4122,-213.70907592773438
4123,-214.58029174804688
4124,-217.43280029296875
4125,-219.9556121826172
4126,-222.31483459472656
4127,-224.51974487304688
4128,-227.1761016845703
4129,-228.36734008789062
4130,-230.90164184570312
4131,-231.5485076904297
4132,-232.510009765625
4133,-232.13528442382812
4134,-232.94622802734375
4135,-233.08758544921875
4136,-237.88015747070312
4137,-240.192626953125
4138,-243.94287109375
4139,-247.56912231445312
4140,-247.8623046875
4141,-248.73297119140625
4142,-248.50820922851562
4143,-247.8984375
4144,-250.633056640625
4145,-252.24603271484375
4146,-255.822021484375
4147,-257.15521240234375
4148,-259.50750732421875
4149,-259.46343994140625
4150,-259.3349914550781
4151,-260.077392578125
4152,-261.1012268066406
4153,-263.86181640625
4154,-267.37200927734375
4155,-270.254638671875
4156,-270.31854248046875
4157,-269.86376953125
4158,-271.1534423828125
4159,-272.5404052734375
4160,-271.7054748535156
4161,-273.708984375
4162,-275.678955078125
4163,-276.17596435546875
4164,-278.2972717285156
4165,-281.2882995605469
4166,-283.46929931640625
4167,-285.09136962890625
4168,-285.14349365234375
4169,-282.66546630859375
4170,-284.3489990234375
4171,-283.6724853515625
4172,-284.1199951171875
4173,-287.5776062011719
4174,-290.8275451660156
4175,-293.2259826660156
4176,-292.986328125
4177,-292.4329528808594
4178,-292.76434326171875
4179,-291.614501953125
4180,-293.43475341796875
4181,-293.985595703125
4182,-298.9201965332031
4183,-299.44134521484375
4184,-301.2745361328125
4185,-303.8240966796875
4186,-302.50738525390625
4187,-301.62664794921875
4188,-303.86895751953125
4189,-302.97296142578125
4190,-304.4259033203125
4191,-306.63641357421875
4192,-307.3359069824219
4193,-308.4576416015625
4194,-308.89007568359375
4195,-309.6078796386719
4196,-308.94537353515625
4197,-310.77203369140625
4198,-310.0840148925781
4199,-310.8353271484375
4200,-314.67169189453125
4201,-314.76373291015625
4202,-313.231201171875
4203,-314.43206787109375
4204,-313.90057373046875
4205,-314.4374694824219
4206,-315.6303405761719
4207,-318.705810546875
4208,-318.0387878417969
4209,-319.1634216308594
4210,-319.7903137207031
4211,-321.05859375
4212,-320.6346435546875
4213,-320.94287109375
4214,-320.0633544921875
4215,-320.27734375
4216,-319.8433837890625
4217,-323.8636169433594
4218,-323.2503967285156
4219,-324.2823791503906
4220,-323.66534423828125
4221,-324.1102294921875
4222,-325.0091552734375
4223,-324.845458984375
4224,-326.4359130859375
4225,-326.2445068359375
4226,-328.49249267578125
4227,-329.17938232421875
4228,-329.65380859375
4229,-328.28594970703125
4230,-328.3798828125
4231,-329.59246826171875
4232,-330.7821044921875
4233,-332.463623046875
4234,-331.4510803222656
4235,-330.8197937011719
4236,-330.01251220703125
4237,-329.2423095703125
4238,-332.59649658203125
4239,-335.2266845703125
4240,-335.641845703125
4241,-337.2026672363281
4242,-335.71466064453125
4243,-333.8466796875
4244,-333.981201171875
4245,-334.2703552246094
4246,-335.92230224609375
4247,-334.86041259765625
4248,-334.9131164550781
4249,-336.65240478515625
4250,-337.03106689453125
4251,-336.61749267578125
4252,-337.2256774902344
4253,-337.950927734375
4254,-337.7264709472656
4255,-335.6617126464844
4256,-336.6325378417969
4257,-336.0188903808594
4258,-335.74603271484375
4259,-335.0743408203125
4260,-336.0969543457031
4261,-334.982177734375
4262,-335.5381774902344
4263,-336.79058837890625
4264,-339.2408447265625
4265,-337.1961364746094
4266,-336.9779052734375
4267,-337.6352233886719
4268,-338.5476989746094
4269,-337.5052795410156
4270,-337.83306884765625
4271,-335.79571533203125
4272,-335.64715576171875
4273,-333.3101806640625
4274,-335.092529296875
4275,-337.1549072265625
4276,-337.4285888671875
4277,-339.239990234375
4278,-340.20672607421875
4279,-337.68963623046875
4280,-335.355712890625
4281,-331.6081237792969
4282,-333.46868896484375
4283,-335.25360107421875
4284,-338.5887451171875
4285,-337.49798583984375
4286,-337.7542419433594
4287,-335.03729248046875
4288,-335.41729736328125
4289,-335.7056579589844
4290,-336.5013122558594
4291,-337.0705261230469
4292,-338.07275390625
4293,-335.9690246582031
4294,-338.02874755859375
4295,-337.0887756347656
4296,-334.9696044921875
4297,-333.9114685058594
4298,-335.86773681640625
4299,-336.3388977050781
4300,-332.91094970703125
4301,-332.740234375
4302,-333.7292785644531
4303,-335.62451171875
4304,-335.381591796875
4305,-332.9501647949219
4306,-332.38140869140625
4307,-332.00433349609375
4308,-330.2347717285156
4309,-329.597412109375
4310,-329.46923828125
4311,-331.76666259765625
4312,-334.24188232421875
4313,-335.05950927734375
4314,-333.637939453125
4315,-333.06756591796875
4316,-332.0773010253906
4317,-330.3431396484375
4318,-329.78106689453125
4319,-329.5045471191406
4320,-330.9049987792969
4321,-331.6429443359375
4322,-329.66796875
4323,-328.4024353027344
4324,-328.9000549316406
4325,-328.86065673828125
4326,-329.70477294921875
4327,-329.5240478515625
4328,-331.63226318359375
4329,-329.332763671875
4330,-328.925048828125
4331,-327.95001220703125
4332,-324.5449523925781
4333,-326.1925048828125
4334,-324.4294128417969
4335,-328.1643981933594
4336,-329.99761962890625
4337,-328.97979736328125
4338,-327.28369140625
4339,-327.35040283203125
4340,-326.7379150390625
4341,-326.336181640625
4342,-328.5284729003906
4343,-327.4189453125
4344,-324.2806701660156
4345,-322.13665771484375
4346,-323.0824890136719
4347,-323.5994567871094
4348,-324.5125732421875
4349,-321.8704833984375
4350,-320.0288391113281
4351,-320.22412109375
4352,-318.6538391113281
4353,-320.5279541015625
4354,-320.6435546875
4355,-321.98193359375
4356,-321.4986572265625
4357,-321.6085510253906
4358,-322.05548095703125
4359,-318.81878662109375
4360,-316.1448974609375
4361,-316.4332580566406
4362,-317.6206359863281
4363,-314.623291015625
4364,-315.119384765625
4365,-315.4640808105469
4366,-314.6375427246094
4367,-313.273681640625
4368,-314.8616943359375
4369,-315.67767333984375
4370,-316.05224609375
4371,-314.70556640625
4372,-314.6754150390625
4373,-314.4742736816406
4374,-313.15228271484375
4375,-312.4100646972656
4376,-311.3621826171875
4377,-310.5747375488281
4378,-309.56695556640625
4379,-311.767822265625
4380,-309.84234619140625
4381,-309.228271484375
4382,-306.99591064453125
4383,-308.50701904296875
4384,-309.51104736328125
4385,-309.454833984375
4386,-308.9364013671875
4387,-308.4849853515625
4388,-308.43853759765625
4389,-306.8436584472656
4390,-307.566650390625
4391,-306.169677734375
4392,-304.647705078125
4393,-303.09771728515625
4394,-302.9493408203125
4395,-303.6600341796875
4396,-302.32220458984375
4397,-302.9170227050781
4398,-304.5718994140625
4399,-305.14617919921875
4400,-303.83856201171875
4401,-302.32257080078125
4402,-301.32513427734375
4403,-300.4805908203125
4404,-299.72705078125
4405,-299.6825256347656
4406,-299.1370849609375
4407,-298.8117980957031
4408,-298.74761962890625
4409,-299.4516296386719
4410,-297.9640808105469
4411,-298.4810791015625
4412,-297.7975769042969
4413,-293.7904968261719
4414,-294.3561706542969
4415,-295.29058837890625
4416,-296.2669372558594
4417,-297.85675048828125
4418,-297.1275634765625
4419,-294.2368469238281
4420,-292.6783447265625
4421,-289.62408447265625
4422,-289.5457763671875
4423,-289.7177734375
4424,-290.7171325683594
4425,-291.7933654785156
4426,-290.54736328125
4427,-290.63909912109375
4428,-289.5084228515625
4429,-288.550048828125
4430,-287.86083984375
4431,-285.60028076171875
4432,-283.572509765625
4433,-285.58795166015625
4434,-284.7126770019531
4435,-284.1737060546875
4436,-285.72216796875
