step,policy_loss
267,-0.45511519970993203
268,-2.294222076733907
269,-7.550577402114868
270,-19.75211771329244
271,-29.8011794090271
272,-24.86536105473836
273,-25.822983423868816
274,-27.165859699249268
275,-27.457165877024334
276,-28.51897319157918
277,-30.75177590052287
278,-31.706376552581787
279,-32.91924397150675
280,-34.21347141265869
281,-35.43620332082113
282,-36.89465300242106
283,-37.8986603418986
284,-39.870832443237305
285,-39.67215315500895
286,-42.226051330566406
287,-43.597330729166664
288,-45.14283561706543
289,-47.23664379119873
290,-47.984340031941734
291,-49.67609532674154
292,-49.867238998413086
293,-52.741775830586754
294,-51.56945323944092
295,-54.50980122884115
296,-55.842722256978355
297,-56.265298207600914
298,-59.83829720815023
299,-60.48570950826009
300,-59.42975648244222
301,-60.697113037109375
302,-64.03110535939534
303,-64.34776592254639
304,-66.71583302815755
305,-67.83862527211507
306,-67.25129381815593
307,-67.51463381449382
308,-70.42561467488606
309,-71.06918144226074
310,-70.71639188130696
311,-73.22074762980144
312,-73.9105281829834
313,-75.25277519226074
314,-76.92681248982747
315,-77.06797281901042
316,-77.0418020884196
317,-78.42534573872884
318,-78.89517402648926
319,-77.81973711649577
320,-80.81473159790039
321,-84.58505884806316
322,-87.18762715657552
323,-90.85280481974284
324,-90.08041000366211
325,-92.26919428507487
326,-94.43543688456218
327,-95.52907689412434
328,-98.35582415262859
329,-99.09018071492513
330,-101.23381360371907
331,-103.01366424560547
332,-102.15019798278809
333,-102.58982340494792
334,-107.17822901407878
335,-106.69643465677898
336,-108.24953142801921
337,-108.58874893188477
338,-112.00649642944336
339,-112.10455004374187
340,-112.90493392944336
341,-112.81664530436198
342,-113.90237299601237
343,-115.5171324412028
344,-116.17134857177734
345,-116.36503028869629
346,-117.92993291219075
347,-119.60363705952962
348,-120.20350329081218
349,-119.79063733418782
350,-120.99530410766602
351,-119.77097256978352
352,-120.05921872456868
353,-118.33201217651367
354,-120.69005521138509
355,-120.60837809244792
356,-121.7879581451416
357,-124.40016873677571
358,-121.33326530456543
359,-123.24942143758138
360,-123.47526359558105
361,-123.5106201171875
362,-121.96399752298991
363,-123.57376480102539
364,-123.45040893554688
365,-123.36354509989421
366,-123.69008700052898
367,-122.32779057820638
368,-121.37899843851726
369,-120.92784563700359
370,-125.35564613342285
371,-129.1585324605306
372,-130.08168601989746
373,-130.37665939331055
374,-133.5161336263021
375,-131.3589210510254
376,-132.36706479390463
377,-133.88530985514322
378,-133.5353749593099
379,-131.2182477315267
380,-134.28219858805338
381,-135.5965951283773
382,-137.20417658487955
383,-136.9569829305013
384,-135.69636344909668
385,-138.39920616149902
386,-138.63073857625326
387,-140.19163513183594
388,-141.0279337565104
389,-142.39966328938803
390,-140.94500478108725
391,-144.64642715454102
392,-144.38785298665366
393,-146.31144587198892
394,-145.07483037312826
395,-145.5169906616211
396,-147.80212275187174
397,-147.3517837524414
398,-149.320192972819
399,-151.3190155029297
400,-148.55265172322592
401,-151.88938522338867
402,-151.9400177001953
403,-152.40514373779297
404,-155.3645502726237
405,-151.84858194986978
406,-155.57120641072592
407,-155.41401036580405
408,-155.72696431477866
409,-157.75877253214517
410,-158.49789683024088
411,-159.66928100585938
412,-159.42030080159506
413,-160.2970987955729
414,-162.48805236816406
415,-162.7007738749186
416,-164.59740447998047
417,-163.65787633260092
418,-164.86834716796875
419,-168.32182693481445
420,-168.09019088745117
421,-165.10796864827475
422,-167.33244705200195
423,-165.4342498779297
424,-167.1822624206543
425,-170.20159149169922
426,-168.78440856933594
427,-169.03618876139322
428,-169.86413065592447
429,-170.79872512817383
430,-172.61445236206055
431,-171.43193435668945
432,-172.71623738606772
433,-174.12195841471353
434,-174.58379491170248
435,-175.47407913208008
436,-175.06841786702475
437,-177.15509541829428
438,-175.7360382080078
439,-177.23554102579752
440,-177.93488184611002
441,-178.04293314615884
442,-180.47263209025064
443,-178.54925282796225
444,-179.23303604125977
445,-180.52569580078125
446,-182.3838971455892
447,-182.58946736653647
448,-182.64226913452148
449,-183.44409306844076
450,-183.75500996907553
451,-185.60759353637695
452,-184.72891998291016
453,-186.92321268717447
454,-188.63994598388672
455,-189.45358912150064
456,-186.05037689208984
457,-190.00348281860352
458,-189.50015004475912
459,-188.56523259480795
460,-189.35956064860025
