step,policy_loss
160,-0.5107768885791302
161,-2.4255226155122123
162,-8.13580310344696
163,-21.167441606521606
164,-31.848707516988117
165,-26.02942927678426
166,-27.223060448964436
167,-29.851600805918377
168,-30.07571204503377
169,-30.617268880208332
170,-31.69547398885091
171,-33.543790340423584
172,-33.36265436808268
173,-34.04491901397705
174,-35.591064453125
175,-38.814120292663574
176,-38.87505849202474
177,-39.17875703175863
178,-41.81715393066406
179,-42.549972216288246
180,-44.45221551259359
181,-44.5064001083374
182,-45.568601290384926
183,-47.69433466593424
184,-48.34329795837402
185,-50.102226893107094
186,-51.0451447168986
187,-51.806722005208336
188,-52.74787902832031
189,-53.868838946024574
190,-53.63822873433431
191,-55.74392223358154
192,-58.27614180246989
193,-57.74839496612549
194,-58.70409615834554
195,-66.79916350046794
196,-67.9386723836263
197,-69.99235916137695
198,-72.30979919433594
199,-72.41441408793132
200,-75.57973416646321
201,-80.90806579589844
202,-81.23629442850749
203,-83.17838350931804
204,-86.63243166605632
205,-85.78384081522624
206,-87.37986183166504
207,-87.82033856709798
208,-90.59023666381836
209,-91.24486668904622
210,-91.571044921875
211,-95.19426155090332
212,-94.45607630411784
213,-97.33155632019043
214,-100.59466044108073
215,-98.55335426330566
216,-99.2882588704427
217,-99.61840057373047
218,-102.8437557220459
219,-100.70275942484538
220,-102.12724049886067
221,-101.8756669362386
222,-102.78467750549316
223,-102.50854810078938
224,-103.52051417032878
225,-105.48508008321126
226,-107.80673853556316
227,-104.75641059875488
228,-106.18371454874675
229,-104.73893610636394
230,-104.8269583384196
231,-105.86231104532878
232,-106.04042307535808
233,-107.51650937398274
234,-106.05507278442383
235,-104.94134012858073
236,-106.3374474843343
237,-106.31310844421387
238,-104.98470497131348
239,-106.07283465067546
240,-105.16085306803386
241,-106.11206944783528
242,-117.97995694478352
243,-117.54374122619629
244,-117.30850537618001
245,-116.27319081624348
246,-117.42058563232422
247,-122.51336034138997
248,-122.67338434855144
249,-122.97127978006999
250,-124.60773468017578
251,-128.3663787841797
252,-131.7059580485026
253,-131.7616170247396
254,-131.41613260904947
255,-133.56658935546875
256,-134.409548441569
257,-134.36238606770834
258,-134.87188339233398
259,-136.58355840047201
260,-137.25010426839194
261,-134.50198109944662
262,-138.58484903971353
263,-142.35616302490234
264,-140.47594451904297
265,-144.8688507080078
266,-143.7494010925293
267,-146.7040252685547
268,-147.08804321289062
269,-145.8597640991211
270,-148.01535161336264
271,-147.6846466064453
272,-148.8692169189453
273,-149.95372263590494
274,-150.32024765014648
275,-149.83092753092447
276,-153.07115427652994
277,-150.99127451578775
278,-155.47719065348306
279,-154.148806254069
280,-157.17711130777994
281,-157.76260884602866
282,-156.3358408610026
283,-159.2593994140625
284,-161.71136347452799
285,-160.86323420206705
286,-161.36358388264975
287,-165.86236063639322
288,-165.50404485066733
289,-165.4423828125
290,-164.2293930053711
291,-165.81714884440103
292,-167.4870351155599
293,-169.22926712036133
294,-171.64140701293945
295,-172.26892725626627
296,-174.04720052083334
297,-172.3156255086263
298,-174.49898529052734
299,-174.68599955240884
300,-176.30436070760092
301,-178.0872014363607
302,-177.37293116251627
303,-177.7804412841797
304,-179.15356063842773
305,-176.74967193603516
306,-179.49678675333658
307,-178.9161465962728
308,-179.42726262410483
309,-183.0528818766276
310,-182.29820760091147
311,-184.03429794311523
312,-185.28686650594076
313,-186.84249369303384
314,-186.39801279703775
315,-186.08208084106445
316,-184.642578125
317,-188.78746032714844
318,-189.70867538452148
319,-188.50554911295572
320,-191.44091033935547
321,-189.59576034545898
322,-190.74151102701822
323,-195.06664276123047
324,-195.95372009277344
325,-197.04203414916992
326,-196.96930694580078
327,-200.814697265625
328,-198.58935674031576
329,-199.36536407470703
330,-198.79083251953125
331,-198.89153162638345
332,-199.68158976236978
333,-199.21826553344727
334,-201.9132423400879
335,-198.82718785603842
336,-198.83615493774414
337,-199.28383127848306
338,-199.7566375732422
339,-201.58826700846353
340,-200.99254862467447
341,-203.83082071940103
342,-203.34912618001303
343,-203.0729522705078
344,-203.67014439900717
345,-203.46511586507162
346,-204.23133341471353
347,-205.2414805094401
348,-206.32726033528647
349,-206.23362986246744
350,-208.09652709960938
351,-205.83474477132162
352,-210.3649991353353
353,-209.23671086629233
354,-210.88538869222006
355,-210.1963653564453
356,-212.4384396870931
357,-212.77483367919922
358,-212.8753178914388
359,-212.19379425048828
360,-213.9856414794922
361,-213.68873596191406
362,-214.46364212036133
363,-214.59589513142905
364,-214.83557510375977
365,-213.68746948242188
366,-215.4957593282064
367,-213.97667821248373
368,-214.7667490641276
369,-215.67800521850586
370,-221.29272588094076
371,-217.6480941772461
372,-219.81140518188477
373,-222.27568562825522
374,-218.79450352986655
375,-219.32823181152344
376,-218.45484670003256
377,-219.23824183146158
378,-220.31946182250977
379,-223.46367645263672
380,-221.69372049967447
381,-222.44566090901694
382,-223.10866419474283
383,-221.09373346964517
384,-220.77582168579102
385,-221.3775494893392
386,-223.0698585510254
387,-224.71758651733398
388,-221.64073689778647
389,-223.03840001424155
390,-221.23828252156576
391,-224.90968704223633
