step,policy_loss
267,-0.45001260843127966
268,-2.6149379312992096
269,-9.285111824671427
270,-21.58750629425049
271,-20.92762851715088
272,-18.7130290667216
273,-21.177631219228108
274,-21.11522086461385
275,-21.758593877156574
276,-23.31818723678589
277,-24.056875069936115
278,-24.792148113250732
279,-25.300276279449463
280,-26.39874283472697
281,-28.30503749847412
282,-26.761619249979656
283,-30.25666030248006
284,-30.71420081456502
285,-31.7136549949646
286,-33.25007597605387
287,-33.56762011845907
288,-34.67940362294515
289,-33.86707623799642
290,-35.82707691192627
291,-36.79982725779215
292,-38.18134085337321
293,-37.94931443532308
294,-39.74278481801351
295,-39.95404084523519
296,-40.64642588297526
297,-41.74877675374349
298,-44.02381134033203
299,-43.56192175547282
300,-45.12031332651774
301,-46.61771297454834
302,-45.26944382985433
303,-47.14789708455404
304,-49.595170974731445
305,-49.05047734578451
306,-49.41885757446289
307,-50.00932089487711
308,-51.06481329600016
309,-49.88326327006022
310,-53.45432186126709
311,-53.01232465108236
312,-56.09376748402914
313,-54.64508819580078
314,-55.18042532602946
315,-62.87814585367838
316,-64.57157611846924
317,-64.15282917022705
318,-64.75308259328206
319,-66.26111221313477
320,-69.23856194814046
321,-68.42338148752849
322,-70.53477064768474
323,-72.27005513509114
324,-72.18327140808105
325,-72.65283521016438
326,-73.85992240905762
327,-75.67152150472005
328,-76.20514170328777
329,-76.92083803812663
330,-76.4623425801595
331,-79.46873919169109
332,-77.83441480000813
333,-78.83047930399577
334,-82.36101468404134
335,-81.87947336832683
336,-82.78656641642253
337,-83.77085558573405
338,-83.74872080485027
339,-82.98113441467285
340,-83.05388196309407
341,-84.03038024902344
342,-85.10577964782715
343,-83.48740005493164
344,-84.57064310709636
345,-85.22858174641927
346,-85.46199035644531
347,-84.547913869222
348,-86.57676060994466
349,-84.4266783396403
350,-85.96024258931477
351,-84.08658854166667
352,-86.30080095926921
353,-86.7896162668864
354,-86.07153828938802
355,-85.55040550231934
356,-85.80067698160808
357,-83.5085678100586
358,-83.55056254069011
359,-83.6544926961263
360,-83.22485987345378
361,-83.56261507670085
362,-86.14637756347656
363,-85.02342732747395
364,-83.13677597045898
365,-83.64182726542155
366,-84.85075441996257
367,-82.6298058827718
368,-84.63246091206868
369,-83.5541763305664
370,-81.29205004374187
371,-82.30805905659993
372,-83.52619616190593
373,-82.65014012654622
374,-80.9972718556722
375,-84.36474927266438
376,-93.81434949239095
377,-92.2331937154134
378,-91.96112569173177
379,-91.7895876566569
380,-90.25792058308919
381,-90.77547709147136
382,-95.2491060892741
383,-94.31752522786458
384,-97.1262264251709
385,-97.79086748758952
386,-97.4423885345459
387,-98.71084086100261
388,-99.69175402323405
389,-102.86537806193034
390,-103.07305526733398
391,-104.18043454488118
392,-104.64364051818848
393,-103.29135131835938
394,-105.57928085327148
395,-108.6785176595052
396,-108.78015836079915
397,-108.20475323994954
398,-110.42322858174641
399,-108.59828694661458
400,-111.59785397847493
401,-110.07058270772298
402,-111.08446756998698
403,-111.6137040456136
404,-112.21188608805339
405,-112.63425699869792
406,-112.74555905659993
407,-114.59560712178548
408,-114.37551816304524
409,-116.52858670552571
410,-117.60604349772136
411,-116.28527704874675
412,-115.65225028991699
413,-116.18738174438477
414,-115.82337443033855
415,-119.20048014322917
416,-116.96572812398274
417,-119.08127466837566
418,-119.12972577412923
419,-118.55332247416179
420,-116.13174565633138
421,-119.19786008199056
422,-118.75351206461589
423,-117.0007152557373
424,-117.17682393391927
425,-116.68720054626465
426,-116.22982406616211
427,-116.5422871907552
428,-116.91106859842937
429,-117.25714429219563
430,-114.19772402445476
431,-113.55872662862141
432,-114.13812637329102
433,-119.0729153951009
434,-122.74670282999675
435,-123.29393513997395
436,-121.48014005025227
437,-123.09141222635905
438,-123.54988479614258
439,-125.04013888041179
440,-126.37259483337402
441,-125.68721135457356
442,-127.55611356099446
443,-128.25404167175293
444,-127.73128445943196
445,-127.93295415242513
446,-129.34200795491537
447,-128.2099323272705
448,-128.24910481770834
449,-131.26141548156738
450,-130.16519482930502
451,-129.88198534647623
452,-130.519900004069
453,-128.26058197021484
454,-129.41468874613443
455,-130.75625864664713
456,-127.54923311869304
457,-128.2798639933268
458,-125.7958443959554
459,-129.4885279337565
460,-129.36480331420898
461,-128.1775334676107
462,-129.32081031799316
463,-129.24948183695474
464,-129.14908281962076
465,-130.02954864501953
466,-126.3049856821696
467,-127.14407221476237
468,-128.3681869506836
469,-125.83984184265137
470,-126.50270907084148
471,-126.14414596557617
472,-126.45190111796062
