step,policy_loss
160,-0.5015239976346493
161,-2.7027522126833596
162,-9.551756064097086
163,-19.326640129089355
164,-17.63942750295003
165,-17.10577853520711
166,-19.425237973531086
167,-19.818756103515625
168,-19.90213680267334
169,-20.066328366597492
170,-20.3076647122701
171,-21.411760648091633
172,-23.09950892130534
173,-23.09847895304362
174,-24.05988311767578
175,-25.52440595626831
176,-25.729535738627117
177,-25.42907985051473
178,-27.116466681162517
179,-27.666498343149822
180,-27.27131160100301
181,-29.24202251434326
182,-29.856478373209637
183,-30.58672110239665
184,-30.36517397562663
185,-30.24430576960246
186,-32.37152512868246
187,-33.23211987813314
188,-32.1560066541036
189,-34.41521422068278
190,-34.630943298339844
191,-34.9017136891683
192,-35.60333824157715
193,-34.58667039871216
194,-35.621829668680824
195,-36.15933132171631
196,-36.894923528035484
197,-37.33531634012858
198,-37.519662857055664
199,-39.722941398620605
200,-43.721126556396484
201,-47.100562731424965
202,-47.71590073903402
203,-49.31119696299235
204,-50.80070082346598
205,-54.538120905558266
206,-55.86086400349935
207,-56.8416748046875
208,-58.05974006652832
209,-57.462706883748375
210,-59.04951445261637
211,-60.100152015686035
212,-62.04688294728597
213,-61.62218729654948
214,-61.70441468556722
215,-63.24377155303955
216,-64.12523047129314
217,-63.7079226175944
218,-64.07549858093262
219,-65.66386985778809
220,-65.28055000305176
221,-64.52641042073567
222,-65.33377329508464
223,-64.02024459838867
224,-66.33617146809895
225,-65.32345835367839
226,-65.44756412506104
227,-65.9016621907552
228,-65.97019545237224
229,-65.59754753112793
230,-65.14752578735352
231,-65.82389895121257
232,-65.78735701243083
233,-65.33699321746826
234,-65.47214412689209
235,-64.3177220026652
236,-63.325218200683594
237,-66.61148738861084
238,-63.88064002990723
239,-65.05736351013184
240,-65.68738110860188
241,-65.48119640350342
242,-63.84000937143961
243,-63.10598913828532
244,-64.65269311269124
245,-64.12509409586589
246,-64.55515162150066
247,-63.53057416280111
248,-64.43667475382487
249,-65.28393459320068
250,-72.63725725809734
251,-72.58694712320964
252,-71.52895482381184
253,-72.69116846720378
254,-72.5603822072347
255,-72.57036781311035
256,-74.98534456888835
257,-76.29502360026042
258,-80.02426274617513
259,-80.41826883951823
260,-82.22754859924316
261,-82.50399716695149
262,-82.92672665913899
263,-83.2161210378011
264,-82.44575182596843
265,-83.32240740458171
266,-83.1039555867513
267,-83.0660006205241
268,-83.2038345336914
269,-84.65082995096843
270,-83.34974352518718
271,-83.42104466756184
272,-84.55173810323079
273,-85.53802235921223
274,-86.13390795389812
275,-87.64096641540527
276,-89.31729825337727
277,-87.51728057861328
278,-90.99517186482747
279,-91.09225908915202
280,-92.06505711873372
281,-93.09516016642253
282,-92.88254419962566
283,-95.56916936238606
284,-95.29326248168945
285,-96.01981544494629
286,-97.93108240763347
287,-98.5149351755778
288,-97.68727238972981
289,-98.33983039855957
290,-99.77735265096028
291,-99.51388867696126
292,-98.56812477111816
293,-99.61799494425456
294,-99.51614697774251
