step,reward
0,12.4
1,16.48
2,18.28
3,9.96
4,19.8
5,20.16
6,16.96
7,17.12
8,19.36
9,19.08
10,14.88
11,11.72
12,11.08
13,10.6
14,10.8
15,10.52
16,15.64
17,13.28
18,9.04
19,11.0
20,12.72
21,14.4
22,8.64
23,19.24
24,16.2
25,17.0
26,16.6
27,14.16
28,17.28
29,23.32
30,26.16
31,20.24
32,19.84
33,28.36
34,23.72
35,23.76
36,17.24
37,15.0
38,17.0
39,20.6
40,14.64
41,13.4
42,10.56
43,13.2
44,18.2
45,13.96
46,13.92
47,15.64
48,13.56
49,15.24
50,12.72
51,10.12
52,12.4
53,13.2
54,10.08
55,11.8
56,10.4
57,8.92
58,13.32
59,15.12
60,11.72
61,14.8
62,12.08
63,15.4
64,16.0
65,18.76
66,11.68
67,18.84
68,22.16
69,21.76
70,15.44
71,17.2
72,19.56
73,19.92
74,14.76
75,18.16
76,22.56
77,16.88
78,17.68
79,16.32
80,17.96
81,13.4
82,17.24
83,15.56
84,14.84
85,12.76
86,15.0
87,11.4
88,8.08
89,10.44
90,13.8
91,11.92
92,7.52
93,9.88
94,13.28
95,14.04
96,17.68
97,13.28
98,12.24
99,10.96
100,11.96
101,11.44
102,17.72
103,10.68
104,16.72
105,14.72
106,10.08
107,16.2
108,10.4
109,7.56
110,13.84
111,13.12
112,12.76
113,13.04
114,9.96
115,12.8
116,14.44
117,11.12
118,19.8
119,21.36
120,19.12
121,19.32
122,19.12
123,22.8
124,19.16
125,16.08
126,16.64
127,20.12
128,22.0
129,15.76
130,16.2
131,12.12
132,17.88
133,11.88
134,19.92
135,18.12
136,18.08
137,14.44
138,10.24
139,9.8
140,16.08
141,12.04
142,10.64
143,14.08
144,15.2
145,12.4
146,10.12
147,15.68
148,14.24
149,14.44
150,14.24
151,16.2
152,15.44
153,18.56
154,17.28
155,19.0
156,17.96
157,10.76
158,10.84
159,13.72
160,15.32
161,9.48
162,4.52
163,11.0
164,11.16
165,10.0
166,7.36
167,11.24
168,7.16
169,10.0
170,9.04
171,9.24
172,7.88
173,9.16
174,9.44
175,9.72
176,8.0
177,9.96
178,6.72
179,9.76
180,9.2
181,8.2
182,9.36
183,8.08
184,10.56
185,10.6
186,11.32
187,7.4
188,7.56
189,12.88
190,8.8
191,11.52
192,8.0
193,8.56
194,12.12
195,5.72
196,7.88
197,11.68
198,8.0
199,11.08
200,12.04
201,11.2
202,5.0
203,5.0
204,4.68
205,5.0
206,4.68
207,5.0
208,5.0
209,5.0
210,5.0
211,5.0
212,5.0
213,5.0
214,5.0
215,5.0
216,5.0
217,5.64
218,5.0
219,5.0
220,5.0
221,5.0
222,4.8
223,5.0
224,5.0
