step,policy_loss
160,-0.5160032914330562
161,-2.693709353605906
162,-9.35406744480133
163,-19.70879077911377
164,-18.516247431437176
165,-17.615341981252033
166,-19.116014003753662
167,-18.95030148824056
168,-19.261696974436443
169,-21.12430715560913
170,-21.145216941833496
171,-23.71269130706787
172,-22.325292110443115
173,-24.359407901763916
174,-24.841721375783283
175,-25.438960870107014
176,-26.672453085581463
177,-26.825193881988525
178,-27.494142214457195
179,-29.197166919708252
180,-30.165832837422688
181,-30.646263599395752
182,-31.864232063293457
183,-32.03382841746012
184,-32.047329902648926
185,-33.65882762273153
186,-34.33846346537272
187,-34.83570925394694
188,-35.56940110524496
189,-35.05901209513346
190,-36.62548287709554
191,-37.193271001180015
192,-37.68861230214437
193,-38.66627311706543
194,-37.82581488291422
195,-38.72681872049967
196,-40.668304125467934
197,-40.19007587432861
198,-40.039207458496094
199,-41.02917035420736
200,-41.38919576009115
201,-46.90893077850342
202,-50.66531149546305
203,-51.98512967427572
204,-51.00194867451986
205,-52.897936503092446
206,-53.75559743245443
207,-56.43861389160156
208,-58.84523137410482
209,-59.3920644124349
210,-59.75897979736328
211,-60.78005123138428
212,-62.12551720937093
213,-62.674991607666016
214,-62.83331616719564
215,-64.36828263600667
216,-64.25381565093994
217,-65.10971323649089
218,-65.99905713399251
219,-65.86627833048503
220,-65.79221979777019
221,-64.58365249633789
222,-66.17845439910889
223,-65.67444324493408
224,-65.93064880371094
225,-66.09502824147542
226,-65.29098415374756
227,-66.22477213541667
228,-65.52906608581543
229,-65.87825552622478
230,-67.3722464243571
231,-65.79904238382976
232,-65.88765144348145
233,-65.51223023732503
234,-66.31046708424886
235,-66.02057997385661
236,-66.38760979970296
237,-66.13481680552165
238,-64.6763916015625
239,-65.02453549702962
240,-66.13106727600098
241,-66.14102141062419
242,-64.84185536702473
243,-64.48263835906982
244,-65.43759632110596
245,-64.4305067062378
246,-63.44667371114095
247,-63.39278252919515
248,-63.03906218210856
249,-61.949841817220054
250,-63.5844472249349
251,-61.87468878428141
252,-61.69890308380127
253,-61.798407236735024
254,-62.781820933024086
255,-61.49476846059164
256,-60.63436635335287
257,-60.44717216491699
258,-60.7300755182902
259,-60.86792310078939
260,-65.87604904174805
261,-69.527161916097
262,-69.84332752227783
263,-72.51704788208008
264,-69.65628623962402
265,-69.9992561340332
266,-69.01162910461426
267,-69.84049860636394
268,-71.33986155192058
269,-73.01040967305501
270,-72.92238362630208
271,-75.12771670023601
272,-75.5618470509847
273,-76.38573964436848
274,-78.28865623474121
275,-79.16597112019856
276,-80.90084584554036
277,-80.26575152079265
278,-80.98135185241699
279,-83.2180830637614
280,-84.69564119974773
281,-86.31490262349446
282,-86.77602005004883
283,-88.04809761047363
284,-89.26061884562175
285,-90.28758430480957
286,-90.59084256490071
287,-91.46614646911621
288,-91.48617299397786
289,-91.886412302653
290,-93.19828605651855
291,-93.26907920837402
292,-94.633056640625
293,-93.69169171651204
294,-94.08268801371257
295,-96.68478520711263
296,-93.63996696472168
297,-95.67167409261067
298,-95.60648981730144
299,-96.97884686787923
300,-97.36355018615723
301,-93.75490633646648
302,-96.96531105041504
303,-97.56851069132487
304,-95.78809483846028
305,-96.17723337809245
306,-96.34720230102539
307,-97.45281982421875
308,-98.27784156799316
309,-96.11554272969563
310,-96.70628229777019
311,-97.52541033426921
312,-96.55273183186848
313,-98.41860071818034
314,-98.03097852071126
315,-96.15118726094563
316,-97.25172424316406
317,-97.98454030354817
318,-98.35018793741862
319,-101.62371444702148
320,-98.60075759887695
321,-98.6004155476888
322,-99.54584884643555
323,-100.48355547587077
324,-101.06890233357747
325,-100.5078239440918
326,-101.67111587524414
327,-101.85800679524739
328,-101.53982289632161
329,-102.98751258850098
330,-103.10666783650716
331,-104.36195500691731
332,-103.28122901916504
333,-104.69887479146321
334,-105.51737022399902
335,-105.90505091349284
336,-105.17920049031575
337,-106.33960723876953
338,-106.8472448984782
339,-104.86513010660808
340,-106.94094912211101
341,-106.43997001647949
342,-106.51715660095215
343,-106.8790168762207
344,-108.86057726542155
345,-108.43946838378906
346,-108.69480069478352
347,-109.81904284159343
348,-110.00544166564941
349,-110.76906776428223
350,-111.1250991821289
351,-110.70545768737793
352,-111.36147944132487
353,-111.83388455708821
354,-111.80433909098308
355,-111.64670753479004
356,-113.69844245910645
357,-112.46801884969075
358,-112.05612500508626
359,-113.12289110819499
360,-112.54302660624187
361,-112.07577768961589
362,-114.62708409627278
363,-115.52191670735677
364,-113.09389305114746
365,-115.51164118448894
366,-116.09398778279622
367,-115.67129325866699
368,-116.52914810180664
369,-115.80127588907878
370,-115.5927848815918
371,-117.48114776611328
372,-115.98657735188802
373,-117.91975212097168
374,-118.32863299051921
375,-117.61682065327962
376,-120.25150235493977
377,-118.37107340494792
378,-119.24223518371582
379,-119.02021916707356
380,-119.42874145507812
381,-119.67286364237468
382,-120.47623443603516
383,-119.84982363382976
384,-119.20615895589192
385,-119.79005877176921
386,-122.61950810750325
387,-120.09024810791016
388,-121.62730725606282
389,-119.59296290079753
390,-121.50249417622884
391,-123.6145617167155
392,-122.91104443868001
393,-124.04861831665039
394,-123.6111831665039
395,-123.73410352071126
396,-123.6449203491211
397,-125.22333653767903
398,-122.76944414774577
399,-125.30886586507161
400,-125.64666557312012
401,-125.79899915059407
402,-126.61174647013347
403,-127.65448315938313
404,-124.54177538553874
405,-125.02077611287434
406,-127.24712181091309
407,-126.14292462666829
408,-127.12752914428711
409,-129.50601514180502
410,-126.91332880655925
411,-127.82817776997884
412,-130.4398956298828
413,-131.45751571655273
414,-129.6082681020101
415,-130.20574887593588
416,-131.3561305999756
417,-129.55228487650552
418,-130.9933713277181
419,-131.7904427846273
420,-131.68967501322427
421,-131.1375592549642
422,-133.4150104522705
423,-133.08689498901367
424,-132.0749855041504
425,-133.9499880472819
426,-132.9439353942871
427,-134.79640579223633
428,-136.26004282633463
429,-134.3632672627767
430,-135.83657836914062
431,-136.72044626871744
432,-135.71797307332358
433,-136.40851084391275
434,-136.57931772867838
435,-138.86348342895508
436,-135.0201212565104
437,-137.24081802368164
438,-136.59312311808267
439,-137.59663009643555
440,-138.67174784342447
441,-139.38242212931314
442,-137.57462310791016
443,-139.86214955647787
444,-138.24047470092773
445,-138.59672164916992
446,-139.1037966410319
447,-140.6856486002604
448,-139.46893819173178
449,-139.2916030883789
450,-140.21741231282553
451,-139.01121393839517
452,-139.68838119506836
453,-140.57265981038412
454,-140.95525868733725
455,-140.0463752746582
456,-141.06160354614258
457,-140.7260767618815
458,-141.6592000325521
459,-142.3112004597982
460,-141.19904963175455
461,-142.4242960611979
