step,reward
0,15.8
1,20.52
2,17.12
3,12.68
4,14.08
5,15.04
6,15.48
7,19.0
8,15.68
9,16.96
10,12.8
11,9.04
12,10.16
13,10.08
14,10.84
15,9.08
16,15.24
17,12.48
18,19.2
19,13.36
20,15.52
21,12.04
22,12.2
23,16.92
24,16.28
25,20.12
26,12.6
27,19.16
28,20.84
29,22.68
30,19.52
31,17.44
32,8.6
33,15.72
34,9.48
35,10.24
36,9.96
37,13.96
38,11.72
39,15.84
40,10.48
41,7.8
42,8.52
43,7.4
44,8.48
45,13.2
46,13.32
47,13.12
48,14.6
49,21.4
50,11.08
51,23.64
52,11.2
53,23.08
54,21.96
55,23.12
56,13.36
57,18.6
58,19.72
59,21.4
60,14.56
61,18.92
62,15.6
63,15.56
64,7.52
65,10.84
66,15.0
67,8.0
68,16.12
69,12.64
70,8.08
71,14.44
72,11.72
73,11.48
74,9.0
75,16.12
76,11.56
77,12.48
78,9.52
79,16.04
80,14.4
81,19.6
82,12.4
83,14.0
84,16.0
85,19.8
86,13.92
87,11.2
88,8.88
89,11.04
90,17.4
91,13.72
92,10.12
93,9.2
94,13.64
95,19.68
96,14.0
97,10.6
98,14.84
99,13.16
100,11.48
101,11.4
102,17.24
103,16.8
104,20.0
105,18.92
106,21.8
107,19.28
108,19.28
109,14.72
110,20.28
111,16.92
112,21.88
113,25.32
114,21.6
115,21.24
116,18.8
117,19.28
118,15.56
119,9.4
120,14.96
121,18.64
122,6.76
123,9.16
124,7.6
125,10.92
126,15.92
127,12.92
128,9.0
129,12.12
130,11.04
131,15.76
132,15.0
133,14.12
134,15.8
135,15.88
136,17.12
137,12.16
138,13.2
139,16.6
140,13.72
141,13.56
142,18.12
143,16.6
144,16.92
145,21.04
146,15.32
147,16.92
148,23.2
149,14.8
150,12.4
151,20.68
152,15.08
153,22.88
154,15.76
155,15.8
156,12.04
157,14.0
158,22.28
159,15.84
160,16.36
161,25.08
162,15.4
163,8.36
164,5.0
165,10.56
166,7.72
167,9.48
168,9.6
169,12.2
170,10.8
171,9.6
172,9.28
173,7.72
174,8.24
175,7.92
176,9.04
177,9.56
178,9.24
179,10.0
180,10.0
181,9.28
182,8.08
183,10.68
184,9.72
185,8.24
186,11.8
187,9.12
188,9.56
189,9.44
190,9.4
191,9.6
192,8.72
193,6.12
194,12.16
195,1.0
196,6.0
197,5.0
198,4.8
199,5.0
200,5.0
201,5.0
202,5.0
203,5.0
204,5.0
205,5.0
206,5.0
207,5.0
208,5.0
209,5.0
210,5.0
211,5.0
212,5.0
213,4.52
214,5.0
215,6.8
216,5.0
217,5.6
218,5.0
219,5.0
220,5.0
221,5.0
222,5.0
223,5.0
224,5.0
225,5.0
226,5.0
227,5.0
228,5.0
229,5.0
230,5.0
231,6.0
232,6.28
233,5.8
234,5.0
235,5.0
236,5.0
237,5.0
238,5.0
239,5.0
240,5.0
241,5.0
242,7.08
243,5.0
244,5.0
245,5.0
246,5.0
247,5.0
248,5.0
249,5.0
250,5.0
251,5.0
252,5.0
253,5.0
254,5.0
255,5.0
256,5.0
257,5.0
258,5.0
259,5.0
260,5.0
261,5.0
262,5.0
263,5.0
264,4.48
265,5.0
266,6.68
267,13.24
