step,policy_loss
1334,-0.04899059236049652
1335,-0.10624496638774872
1336,-0.1564822793006897
1337,-0.2054453194141388
1338,-0.26695170998573303
1339,-0.32689711451530457
1340,-0.3718341588973999
1341,-0.4342462420463562
1342,-0.508541464805603
1343,-0.5835047960281372
1344,-0.6835203766822815
1345,-0.7514365911483765
1346,-0.8672490119934082
1347,-1.0043346881866455
1348,-1.1301864385604858
1349,-1.3172099590301514
1350,-1.4247398376464844
1351,-1.6662540435791016
1352,-1.8973150253295898
1353,-2.0628700256347656
1354,-2.21175479888916
1355,-2.4991860389709473
1356,-2.87625789642334
1357,-3.022696018218994
1358,-3.495328426361084
1359,-3.9062976837158203
1360,-4.251040935516357
1361,-4.722185134887695
1362,-5.144839286804199
1363,-5.627258777618408
1364,-6.333182334899902
1365,-6.942562103271484
1366,-7.778445720672607
1367,-8.208637237548828
1368,-8.779125213623047
1369,-9.523824691772461
1370,-10.318130493164062
1371,-11.425812721252441
1372,-12.97389030456543
1373,-13.863454818725586
1374,-15.544195175170898
1375,-15.772184371948242
1376,-16.554737091064453
1377,-18.572479248046875
1378,-21.109119415283203
1379,-20.999794006347656
1380,-24.034595489501953
1381,-25.708158493041992
1382,-27.63389778137207
1383,-30.403486251831055
1384,-30.66423988342285
1385,-33.495113372802734
1386,-35.91214370727539
1387,-39.17028045654297
1388,-41.9609260559082
1389,-44.56488800048828
1390,-46.66889572143555
1391,-49.70026397705078
1392,-52.490028381347656
1393,-54.32170867919922
1394,-56.77177429199219
1395,-59.231388092041016
1396,-61.258262634277344
1397,-62.042720794677734
1398,-62.53935241699219
1399,-64.04667663574219
1400,-66.26809692382812
1401,-64.12054443359375
1402,-69.40824127197266
1403,-70.08731079101562
1404,-71.47062683105469
1405,-72.84024810791016
1406,-73.77434539794922
1407,-77.7364501953125
1408,-78.62361907958984
1409,-83.5045394897461
1410,-81.76248168945312
1411,-84.75259399414062
1412,-83.71809387207031
1413,-86.58391571044922
1414,-87.84120178222656
1415,-90.94544982910156
1416,-92.2333755493164
1417,-92.56969451904297
1418,-93.17572021484375
1419,-98.78385925292969
1420,-97.81591796875
1421,-100.30140686035156
1422,-104.32991027832031
1423,-105.72883605957031
1424,-109.40287017822266
1425,-109.5210189819336
1426,-108.32882690429688
1427,-111.8004150390625
1428,-117.44981384277344
1429,-113.19815063476562
1430,-112.01800537109375
1431,-115.77345275878906
1432,-119.04361724853516
1433,-125.42327880859375
1434,-126.49100494384766
1435,-122.324951171875
1436,-127.62543487548828
1437,-127.02547454833984
1438,-128.18930053710938
1439,-131.04722595214844
1440,-131.9175262451172
1441,-134.2952880859375
1442,-133.46499633789062
1443,-136.17173767089844
1444,-137.65243530273438
1445,-140.2376708984375
1446,-138.4969482421875
1447,-144.7330322265625
1448,-144.3460693359375
1449,-150.6617889404297
1450,-153.00717163085938
1451,-144.26123046875
1452,-148.61239624023438
1453,-149.1388397216797
1454,-146.74513244628906
1455,-152.4952392578125
1456,-145.06686401367188
1457,-154.91061401367188
1458,-152.33523559570312
1459,-157.15692138671875
1460,-155.77618408203125
1461,-167.6339569091797
1462,-172.0217742919922
1463,-164.58273315429688
1464,-163.0579833984375
1465,-169.381591796875
1466,-163.9653778076172
1467,-164.51068115234375
1468,-162.01971435546875
1469,-169.85516357421875
