step,policy_loss
1334,-0.03790709003806114
1335,-0.08898817002773285
1336,-0.1401679813861847
1337,-0.18378134071826935
1338,-0.2391752302646637
1339,-0.29284337162971497
1340,-0.33982229232788086
1341,-0.41744035482406616
1342,-0.49244797229766846
1343,-0.5735011100769043
1344,-0.6365612745285034
1345,-0.7582829594612122
1346,-0.853955864906311
1347,-0.991402268409729
1348,-1.140723705291748
1349,-1.2854828834533691
1350,-1.4570839405059814
1351,-1.6624457836151123
1352,-1.8595802783966064
1353,-2.117659568786621
1354,-2.269624948501587
1355,-2.6362791061401367
1356,-2.8559622764587402
1357,-3.3702549934387207
1358,-3.5864429473876953
1359,-3.970675468444824
1360,-4.4647016525268555
1361,-4.89883279800415
1362,-5.39975118637085
1363,-5.8083109855651855
1364,-6.422079086303711
1365,-7.101260185241699
1366,-7.738924980163574
1367,-8.447763442993164
1368,-9.477991104125977
1369,-10.071914672851562
1370,-10.897649765014648
1371,-12.209490776062012
1372,-13.20251178741455
1373,-14.458261489868164
1374,-15.706856727600098
1375,-16.972522735595703
1376,-17.980770111083984
1377,-19.173969268798828
1378,-22.082000732421875
1379,-23.16412925720215
1380,-24.933509826660156
1381,-26.162025451660156
1382,-28.923267364501953
1383,-31.42275619506836
1384,-31.307090759277344
1385,-34.11744689941406
1386,-35.18023681640625
1387,-37.963775634765625
1388,-41.45025634765625
1389,-42.720306396484375
1390,-47.18032455444336
1391,-50.243141174316406
1392,-50.22943115234375
1393,-54.39691162109375
1394,-55.321556091308594
1395,-57.44935607910156
1396,-58.09869384765625
1397,-62.419219970703125
1398,-63.58074188232422
1399,-66.90023040771484
1400,-65.8058090209961
1401,-69.73048400878906
1402,-71.10684967041016
1403,-73.74787902832031
1404,-73.9427490234375
1405,-75.37598419189453
1406,-79.28993225097656
1407,-80.52181243896484
1408,-82.22095489501953
1409,-84.25050354003906
1410,-84.35012817382812
1411,-84.320068359375
1412,-88.76866912841797
1413,-89.10830688476562
1414,-96.39805603027344
1415,-92.79962158203125
1416,-96.39784240722656
1417,-100.0
1418,-98.93380737304688
1419,-98.64323425292969
1420,-102.83283233642578
1421,-103.27322387695312
1422,-104.72371673583984
1423,-109.37040710449219
1424,-109.07322692871094
1425,-112.69755554199219
1426,-114.33199310302734
1427,-114.83320617675781
1428,-117.5318603515625
1429,-117.93521118164062
1430,-115.954345703125
1431,-123.9524154663086
1432,-119.6881332397461
1433,-127.0521240234375
1434,-123.86611938476562
1435,-121.72911834716797
1436,-129.02694702148438
1437,-128.01065063476562
1438,-129.59136962890625
1439,-131.89015197753906
1440,-130.9039306640625
1441,-129.57498168945312
1442,-135.38760375976562
1443,-134.1715087890625
1444,-133.13624572753906
1445,-142.67295837402344
1446,-142.44729614257812
1447,-143.6029052734375
1448,-146.69183349609375
1449,-145.8373260498047
1450,-145.22055053710938
