step,policy_loss
1334,-0.06705157458782196
1335,-0.12861034274101257
1336,-0.18527653813362122
1337,-0.24188479781150818
1338,-0.29401516914367676
1339,-0.3651767373085022
1340,-0.4374750256538391
1341,-0.5098304152488708
1342,-0.5882937908172607
1343,-0.6732676029205322
1344,-0.8036243915557861
1345,-0.9245446920394897
1346,-1.054526686668396
1347,-1.2226630449295044
1348,-1.344637393951416
1349,-1.52150297164917
1350,-1.7038841247558594
1351,-1.9852025508880615
1352,-2.2638487815856934
1353,-2.475663185119629
1354,-2.7615649700164795
1355,-3.0166378021240234
1356,-3.434131622314453
1357,-3.708550453186035
1358,-4.295350551605225
1359,-4.716797828674316
1360,-5.271739482879639
1361,-5.697542190551758
1362,-6.392573356628418
1363,-7.212564468383789
1364,-7.657048225402832
1365,-8.728597640991211
1366,-9.421842575073242
1367,-10.457056045532227
1368,-11.132198333740234
1369,-12.073097229003906
1370,-13.197463989257812
1371,-14.208977699279785
1372,-15.979686737060547
1373,-17.253528594970703
1374,-18.097272872924805
1375,-19.787378311157227
1376,-21.477426528930664
1377,-23.108642578125
1378,-24.414030075073242
1379,-26.25699234008789
1380,-27.149307250976562
1381,-30.591114044189453
1382,-31.881471633911133
1383,-34.332969665527344
1384,-36.2641716003418
1385,-38.830345153808594
1386,-39.69835662841797
1387,-40.362937927246094
1388,-43.586002349853516
1389,-44.65260314941406
1390,-48.56743240356445
1391,-48.9708366394043
1392,-50.344703674316406
1393,-52.39341735839844
1394,-51.9024658203125
1395,-54.536285400390625
1396,-55.607261657714844
1397,-56.50817108154297
1398,-57.67143249511719
1399,-60.09381866455078
1400,-60.600196838378906
1401,-62.22492599487305
1402,-62.835201263427734
1403,-66.77737426757812
1404,-66.97389221191406
1405,-68.82279968261719
1406,-69.10649108886719
1407,-75.29255676269531
1408,-73.62554168701172
1409,-75.72347259521484
1410,-74.69994354248047
1411,-77.5269546508789
1412,-80.13322448730469
1413,-79.37259674072266
1414,-82.99957275390625
1415,-81.27432250976562
1416,-83.68775939941406
1417,-86.75074768066406
1418,-82.98619842529297
1419,-89.31632232666016
1420,-86.90943908691406
1421,-90.87512969970703
1422,-89.49642944335938
1423,-91.49903106689453
1424,-94.45874786376953
1425,-98.3734130859375
1426,-95.21118927001953
1427,-101.26782989501953
1428,-100.54572296142578
1429,-102.11053466796875
1430,-104.5296630859375
1431,-101.8491439819336
1432,-103.0327377319336
1433,-105.14041900634766
1434,-108.55111694335938
1435,-105.54341125488281
1436,-109.73236846923828
1437,-108.81832885742188
1438,-111.48075866699219
1439,-113.03744506835938
1440,-116.82009887695312
1441,-119.0823974609375
1442,-119.15324401855469
1443,-117.8829116821289
1444,-119.36347198486328
1445,-118.49221801757812
1446,-120.32096862792969
1447,-124.32910919189453
1448,-124.86256408691406
1449,-126.47657775878906
1450,-129.67587280273438
1451,-129.58514404296875
1452,-130.31405639648438
1453,-132.45953369140625
1454,-134.69952392578125
1455,-130.65725708007812
1456,-136.48504638671875
1457,-137.1153564453125
1458,-138.31295776367188
1459,-139.77670288085938
1460,-137.5249786376953
1461,-137.90379333496094
1462,-139.05075073242188
1463,-133.6006622314453
1464,-142.02218627929688
1465,-143.015625
1466,-145.6232452392578
1467,-138.44961547851562
1468,-156.90032958984375
1469,-149.4678955078125
1470,-151.45455932617188
1471,-152.95339965820312
1472,-148.75123596191406
1473,-156.59634399414062
1474,-152.50088500976562
1475,-151.81112670898438
1476,-149.59371948242188
1477,-151.55335998535156
1478,-158.70184326171875
1479,-154.27638244628906
1480,-152.53927612304688
1481,-155.82827758789062
1482,-156.218505859375
1483,-157.22947692871094
1484,-161.42355346679688
1485,-158.92926025390625
1486,-164.05654907226562
1487,-165.37008666992188
1488,-161.3376922607422
1489,-167.34153747558594
1490,-163.47735595703125
1491,-165.72113037109375
1492,-174.19300842285156
1493,-165.6319580078125
1494,-171.7725830078125
1495,-173.31314086914062
1496,-165.52615356445312
1497,-167.66781616210938
1498,-167.3897247314453
1499,-176.16554260253906
1500,-175.177978515625
1501,-167.6917266845703
1502,-172.04620361328125
1503,-176.2616424560547
1504,-175.34536743164062
1505,-175.47750854492188
1506,-171.95233154296875
1507,-175.68362426757812
1508,-175.43740844726562
1509,-182.18386840820312
1510,-178.55392456054688
1511,-180.4760284423828
1512,-190.23797607421875
1513,-182.2967987060547
1514,-177.7270050048828
1515,-178.44732666015625
1516,-182.71434020996094
