step,policy_loss
1335,-0.06767234206199646
1336,-0.1329309046268463
1337,-0.1911541372537613
1338,-0.24225524067878723
1339,-0.3119058609008789
1340,-0.3675135374069214
1341,-0.4274030923843384
1342,-0.509244978427887
1343,-0.5984100699424744
1344,-0.7109839916229248
1345,-0.7876070737838745
1346,-0.9013458490371704
1347,-1.0672054290771484
1348,-1.1975963115692139
1349,-1.3294237852096558
1350,-1.5599862337112427
1351,-1.7335171699523926
1352,-1.9275627136230469
1353,-2.2216782569885254
1354,-2.5236077308654785
1355,-2.8468310832977295
1356,-3.2365455627441406
1357,-3.496645927429199
1358,-3.9060428142547607
1359,-4.492375373840332
1360,-4.901093482971191
1361,-5.373994827270508
1362,-6.299403190612793
1363,-6.566823482513428
1364,-7.071044921875
1365,-8.023885726928711
1366,-8.996671676635742
1367,-9.464614868164062
1368,-10.69637680053711
1369,-11.594934463500977
1370,-12.547914505004883
1371,-13.594572067260742
1372,-15.03701400756836
1373,-16.10912322998047
1374,-17.57918357849121
1375,-19.084896087646484
1376,-20.438026428222656
1377,-21.64175033569336
1378,-22.50106430053711
1379,-25.481395721435547
1380,-26.717639923095703
1381,-29.509002685546875
1382,-29.97292137145996
1383,-31.575159072875977
1384,-35.69634246826172
1385,-36.710792541503906
1386,-39.08622741699219
1387,-40.78395462036133
1388,-42.33557891845703
1389,-44.27862548828125
1390,-46.35044860839844
1391,-48.25367736816406
1392,-49.125221252441406
1393,-49.9998779296875
1394,-52.58294677734375
1395,-51.7175178527832
1396,-52.4107551574707
1397,-52.588356018066406
1398,-53.273841857910156
1399,-56.29779052734375
1400,-59.06105041503906
1401,-58.49132537841797
1402,-59.99163818359375
1403,-62.835044860839844
1404,-63.406368255615234
1405,-66.67469787597656
1406,-70.85248565673828
1407,-69.98876190185547
1408,-74.79940795898438
1409,-72.56988525390625
1410,-75.16778564453125
1411,-75.89306640625
1412,-75.08340454101562
1413,-79.52313995361328
1414,-79.44490051269531
1415,-78.65409088134766
1416,-80.794921875
1417,-81.04768371582031
1418,-82.90969848632812
1419,-84.79087829589844
1420,-85.81741333007812
1421,-89.42333984375
1422,-88.38597106933594
1423,-92.68025207519531
1424,-94.39314270019531
1425,-91.98712158203125
1426,-98.76285552978516
1427,-97.37273406982422
1428,-97.89859008789062
1429,-99.05903625488281
1430,-100.10189819335938
1431,-103.8330307006836
1432,-103.33406066894531
1433,-103.22398376464844
1434,-103.20756530761719
1435,-105.37259674072266
1436,-110.51704406738281
1437,-109.10554504394531
1438,-111.62431335449219
1439,-111.32878875732422
1440,-114.3667221069336
1441,-114.44590759277344
1442,-116.71583557128906
1443,-115.99615478515625
1444,-114.35497283935547
1445,-120.89531707763672
1446,-119.68540954589844
1447,-119.44074249267578
1448,-118.3734359741211
1449,-120.85243225097656
1450,-132.31597900390625
1451,-129.42489624023438
1452,-131.49258422851562
1453,-128.09750366210938
1454,-133.34649658203125
1455,-128.52728271484375
1456,-132.20199584960938
