step,reward
0,55.0
1,44.0
2,44.0
3,50.0
4,47.0
5,49.0
6,52.0
7,52.0
8,56.0
9,53.0
10,55.0
11,53.0
12,52.0
13,55.0
14,52.0
15,56.0
16,61.0
17,60.0
18,52.0
19,52.0
20,52.0
21,58.0
22,61.0
23,57.0
24,61.0
25,60.0
26,60.0
27,56.0
28,61.0
29,53.0
30,58.0
31,63.0
32,59.0
33,58.0
34,57.0
35,54.0
36,53.0
37,56.0
38,56.0
39,54.0
40,55.0
41,57.0
42,54.0
43,54.0
44,61.0
45,64.0
46,62.0
47,61.0
48,60.0
49,65.0
50,69.0
51,69.0
52,69.0
53,70.0
54,70.0
55,69.0
56,70.0
57,70.0
58,70.0
59,70.0
60,60.0
61,65.0
62,65.0
63,60.0
64,59.0
65,67.0
66,65.0
67,65.0
68,63.0
69,64.0
70,63.0
71,61.0
72,60.0
73,65.0
74,59.0
75,60.0
76,60.0
77,65.0
78,64.0
79,70.0
80,65.0
81,68.0
82,65.0
83,60.0
84,60.0
85,61.0
86,65.0
87,70.0
88,70.0
89,67.0
90,63.0
91,65.0
92,64.0
93,59.0
94,60.0
95,64.0
96,56.0
97,52.0
98,54.0
99,53.0
100,57.0
101,52.0
102,55.0
103,58.0
104,53.0
105,51.0
106,52.0
107,57.0
108,57.0
109,60.0
110,53.0
111,55.0
112,52.0
113,49.0
114,55.0
115,57.0
116,53.0
117,52.0
118,54.0
119,53.0
120,53.0
121,54.0
122,50.0
123,57.0
124,57.0
125,54.0
126,55.0
127,53.0
128,54.0
129,56.0
130,61.0
131,57.0
132,61.0
133,59.0
134,56.0
135,56.0
136,58.0
137,55.0
138,53.0
139,50.0
140,51.0
141,53.0
142,55.0
143,55.0
144,54.0
145,55.0
146,55.0
147,55.0
148,54.0
149,59.0
150,54.0
151,56.0
152,60.0
153,59.0
154,58.0
155,55.0
156,55.0
157,61.0
158,60.0
159,61.0
160,58.0
161,61.0
162,59.0
163,62.0
164,58.0
165,55.0
166,56.0
167,58.0
168,57.0
169,53.0
170,56.0
171,55.0
172,57.0
173,55.0
174,55.0
175,52.0
176,55.0
177,50.0
178,50.0
179,47.0
180,46.0
181,56.0
182,59.0
183,53.0
184,51.0
185,51.0
186,61.0
187,60.0
188,59.0
189,57.0
190,53.0
191,52.0
192,56.0
193,56.0
194,60.0
195,52.0
196,56.0
197,57.0
198,57.0
199,59.0
200,62.0
201,63.0
202,62.0
203,62.0
204,61.0
205,59.0
206,60.0
207,61.0
208,53.0
209,57.0
210,54.0
211,52.0
212,51.0
213,56.0
214,56.0
215,55.0
216,58.0
217,56.0
218,55.0
219,55.0
220,50.0
221,54.0
222,46.0
223,47.0
224,47.0
225,51.0
226,54.0
227,52.0
228,57.0
229,53.0
230,57.0
231,56.0
232,53.0
233,56.0
234,55.0
235,57.0
236,52.0
237,54.0
238,56.0
239,56.0
240,52.0
241,54.0
242,52.0
243,53.0
244,58.0
245,56.0
246,56.0
247,56.0
248,56.0
249,57.0
250,54.0
251,57.0
252,53.0
253,58.0
254,57.0
255,59.0
256,55.0
257,56.0
258,56.0
259,55.0
260,56.0
261,55.0
262,50.0
263,55.0
264,56.0
265,56.0
266,54.0
267,55.0
268,58.0
269,59.0
270,57.0
271,50.0
272,56.0
273,57.0
274,58.0
275,58.0
276,56.0
277,57.0
278,55.0
279,54.0
