step,policy_loss
4000,-0.08974791318178177
4001,-0.12398926913738251
4002,-0.15576057136058807
4003,-0.1893404871225357
4004,-0.22117078304290771
4005,-0.25492942333221436
4006,-0.2884756922721863
4007,-0.3257375955581665
4008,-0.362234890460968
4009,-0.4045886993408203
4010,-0.44573870301246643
4011,-0.4874710142612457
4012,-0.539494514465332
4013,-0.5886242389678955
4014,-0.6358076930046082
4015,-0.6884709000587463
4016,-0.747462809085846
4017,-0.8205126523971558
4018,-0.8974441885948181
4019,-0.9602530002593994
4020,-1.0380158424377441
4021,-1.128825068473816
4022,-1.2145452499389648
4023,-1.3198832273483276
4024,-1.4281091690063477
4025,-1.528944492340088
4026,-1.6576374769210815
4027,-1.7889115810394287
4028,-1.881701946258545
4029,-2.0497589111328125
4030,-2.217055320739746
4031,-2.367549180984497
4032,-2.5670933723449707
4033,-2.761301040649414
4034,-3.0098485946655273
4035,-3.2081849575042725
4036,-3.386425733566284
4037,-3.621206760406494
4038,-3.944154739379883
4039,-4.163345813751221
4040,-4.483758926391602
4041,-4.909379005432129
4042,-5.168430805206299
4043,-5.5065484046936035
4044,-5.798511505126953
4045,-6.273398399353027
4046,-6.681229591369629
4047,-7.041542053222656
4048,-7.391673564910889
4049,-8.063194274902344
4050,-8.418562889099121
4051,-9.08745002746582
4052,-9.498908996582031
4053,-10.188943862915039
4054,-10.75607967376709
4055,-11.404565811157227
4056,-12.135823249816895
4057,-12.83200454711914
4058,-13.26767349243164
4059,-14.35858154296875
4060,-14.858373641967773
4061,-15.765556335449219
4062,-16.873458862304688
4063,-17.601116180419922
4064,-18.85186767578125
4065,-19.771926879882812
4066,-20.265274047851562
4067,-21.766437530517578
4068,-22.672863006591797
4069,-23.662818908691406
4070,-25.65074348449707
4071,-26.930259704589844
4072,-28.53023910522461
4073,-29.313154220581055
4074,-30.37828254699707
4075,-31.9876651763916
4076,-34.1046142578125
4077,-35.15950393676758
4078,-36.52813720703125
4079,-38.419029235839844
4080,-40.620643615722656
4081,-42.06410217285156
4082,-44.751644134521484
4083,-46.34440231323242
4084,-48.28589630126953
4085,-51.05476379394531
4086,-51.761695861816406
4087,-55.45330047607422
4088,-56.91905975341797
4089,-59.112239837646484
4090,-60.69468688964844
4091,-64.34075927734375
4092,-66.79795837402344
4093,-69.15309143066406
4094,-71.81137084960938
4095,-73.54248046875
4096,-75.76667785644531
4097,-77.58184051513672
4098,-81.60569763183594
4099,-84.95317077636719
4100,-86.70772552490234
4101,-89.48666381835938
4102,-91.31028747558594
4103,-95.26071166992188
4104,-96.85295104980469
4105,-101.69187927246094
4106,-103.66996765136719
4107,-103.98229217529297
4108,-108.48939514160156
