step,reward
0,35.0
1,30.0
2,30.0
3,41.0
4,34.0
5,48.0
6,42.0
7,34.0
8,47.0
9,56.0
10,46.0
11,50.0
12,56.0
13,57.0
14,59.0
15,46.0
16,34.0
17,46.0
18,45.0
19,52.0
20,32.0
21,50.0
22,59.0
23,52.0
24,52.0
25,46.0
26,55.0
27,60.0
28,61.0
29,55.0
30,55.0
31,50.0
32,58.0
33,58.0
34,50.0
35,58.0
36,57.0
37,53.0
38,54.0
39,54.0
40,51.0
41,61.0
42,50.0
43,50.0
44,50.0
45,58.0
46,55.0
47,56.0
48,57.0
49,50.0
50,55.0
51,49.0
52,57.0
53,55.0
54,52.0
55,54.0
56,51.0
57,53.0
58,55.0
59,55.0
60,47.0
61,53.0
62,47.0
63,58.0
64,57.0
65,56.0
66,53.0
67,56.0
68,58.0
69,57.0
70,42.0
71,51.0
72,53.0
73,46.0
74,56.0
75,55.0
76,56.0
77,51.0
78,52.0
79,43.0
80,44.0
81,48.0
82,49.0
83,56.0
84,51.0
85,49.0
86,49.0
87,53.0
88,39.0
89,49.0
90,36.0
91,38.0
92,49.0
93,58.0
94,55.0
95,56.0
96,52.0
97,51.0
98,61.0
99,63.0
100,63.0
101,56.0
102,63.0
103,57.0
104,60.0
105,56.0
106,61.0
107,51.0
108,48.0
109,49.0
110,53.0
111,50.0
112,49.0
113,61.0
114,60.0
115,59.0
116,57.0
117,57.0
118,49.0
119,45.0
120,56.0
121,61.0
122,56.0
123,58.0
124,50.0
125,56.0
126,52.0
127,50.0
128,53.0
129,38.0
130,35.0
131,39.0
132,46.0
133,33.0
134,40.0
135,40.0
136,31.0
137,39.0
138,44.0
139,36.0
140,40.0
141,43.0
142,39.0
143,28.0
144,34.0
145,38.0
146,43.0
147,48.0
148,41.0
149,44.0
150,31.0
151,36.0
152,45.0
153,34.0
154,32.0
155,46.0
156,38.0
157,42.0
158,41.0
159,40.0
160,53.0
161,49.0
162,43.0
163,47.0
164,51.0
165,24.0
166,33.0
167,39.0
168,43.0
169,48.0
170,22.0
171,30.0
172,33.0
173,45.0
174,36.0
175,48.0
176,43.0
177,44.0
178,41.0
179,42.0
180,41.0
181,43.0
182,44.0
183,52.0
184,51.0
185,53.0
186,49.0
187,29.0
188,33.0
189,27.0
190,33.0
191,38.0
192,43.0
193,36.0
194,32.0
195,29.0
196,31.0
197,39.0
198,32.0
199,35.0
200,47.0
201,53.0
202,42.0
203,49.0
204,50.0
205,58.0
206,48.0
207,54.0
208,53.0
209,54.0
210,56.0
211,57.0
212,57.0
213,54.0
214,56.0
215,64.0
