step,policy_loss
267,-0.4823120851069689
268,-2.583968589703242
269,-8.861162066459656
270,-23.837787866592407
271,-50.58297856648763
272,-61.77049255371094
273,-52.962876637776695
274,-56.561225255330406
275,-59.77238464355469
276,-59.117140769958496
277,-62.42414124806722
278,-63.504995346069336
279,-66.83476829528809
280,-69.0356019337972
281,-71.45968437194824
282,-73.75363222757976
283,-78.18144543965657
284,-80.77691141764323
285,-83.04791577657063
286,-85.11327044169109
287,-89.30194664001465
288,-92.25732612609863
289,-95.14203516642253
290,-97.73377482096355
291,-100.40002886454265
292,-104.25495274861653
293,-106.04170036315918
294,-107.95335896809895
295,-112.45172182718913
296,-114.8090337117513
297,-116.6969617207845
298,-120.56354077657063
299,-122.86415417989095
300,-123.82609303792317
301,-127.9138952891032
302,-129.19134648640951
303,-131.11313184102377
304,-133.9794044494629
305,-136.02499135335287
306,-137.29188283284506
307,-139.2809270222982
308,-140.84017181396484
309,-141.8568344116211
310,-146.03975677490234
311,-155.0082778930664
312,-165.32231012980142
313,-170.31188583374023
314,-173.21166229248047
315,-177.94104639689127
316,-184.47309366861978
317,-190.1463483174642
318,-196.8019053141276
319,-197.6653734842936
320,-203.1000722249349
321,-207.9040069580078
322,-208.53850555419922
323,-214.90654500325522
324,-218.89841334025064
325,-222.72748438517252
326,-224.63120778401694
327,-229.43990325927734
328,-231.35625457763672
329,-235.9161605834961
330,-237.3918825785319
331,-241.887570699056
332,-242.62719853719076
333,-248.19627888997397
334,-251.8453598022461
335,-252.77506637573242
336,-255.95224380493164
337,-258.8698018391927
338,-260.7988141377767
339,-262.9787203470866
340,-265.38544209798175
341,-272.75067138671875
342,-272.2419687906901
343,-275.43079376220703
344,-277.7593053181966
345,-279.67554728190106
346,-281.21476491292316
347,-283.61278279622394
348,-283.2976430257161
349,-287.6670430501302
350,-290.6451416015625
351,-291.7225163777669
352,-289.97383880615234
353,-292.2845052083333
354,-295.51262919108075
355,-294.77176666259766
356,-299.8989079793294
357,-299.76387278238934
358,-300.91408284505206
359,-303.8987782796224
360,-303.58680216471356
361,-305.47315470377606
362,-301.71249135335285
363,-306.86248270670575
364,-310.5365982055664
365,-309.44713338216144
366,-310.9407221476237
367,-308.6404317220052
368,-311.19690704345703
369,-312.3038838704427
370,-314.9850260416667
371,-313.3745524088542
372,-314.0338439941406
373,-318.72671763102215
374,-316.612065633138
375,-313.35552978515625
376,-318.6844431559245
377,-316.77366892496747
378,-317.19222768147785
379,-316.53308359781903
380,-320.1125233968099
381,-318.5143737792969
382,-316.4746907552083
383,-317.8733723958333
384,-317.81510670979816
385,-316.93817138671875
386,-313.80093638102215
387,-315.43885548909503
388,-315.40819549560547
389,-317.5204264322917
390,-314.2925109863281
391,-313.05872344970703
392,-314.2587305704753
393,-316.02542877197266
394,-316.26331837972003
395,-311.65731048583984
396,-314.4912923177083
397,-315.2265446980794
398,-310.86898040771484
399,-311.25843556722003
400,-311.9247105916341
401,-311.7037989298503
402,-311.0399449666341
403,-309.36133829752606
404,-307.21847279866535
405,-308.7169469197591
406,-304.41544342041016
407,-306.68920135498047
408,-305.91061147054035
409,-304.0112787882487
410,-304.9911117553711
411,-302.7447153727214
412,-300.5920639038086
413,-299.87002817789715
414,-301.41166432698566
415,-299.8443959554036
416,-298.1418940226237
417,-296.9378356933594
418,-294.2921371459961
419,-292.88608805338544
420,-292.2990468343099
421,-290.89459737141925
422,-291.0547154744466
423,-290.450190226237
424,-289.16163635253906
425,-287.9654006958008
426,-285.7873051961263
427,-283.5758361816406
428,-284.2823257446289
429,-281.66407521565753
430,-281.19244893391925
431,-277.0134811401367
432,-277.92284393310547
433,-276.8697509765625
434,-273.87817128499347
435,-274.2155507405599
436,-272.9437204996745
437,-273.75254821777344
438,-272.35182189941406
439,-269.8598378499349
440,-267.05100504557294
441,-267.06793721516925
442,-266.0146128336589
443,-267.2943293253581
444,-263.30849202473956
445,-265.35120646158856
446,-292.2710444132487
447,-294.2999267578125
448,-293.10386912027997
449,-293.6882680257161
450,-291.84716542561847
451,-288.6291097005208
452,-290.19332122802734
453,-289.1009470621745
454,-289.08345794677734
455,-294.25770060221356
456,-290.8787129720052
457,-293.96980539957684
458,-293.8827540079753
459,-296.4637934366862
460,-300.6366831461589
461,-303.62829844156903
462,-304.03951263427734
463,-307.01323954264325
