step,policy_loss
334,-0.21910469016681114
335,-0.7163373902440071
336,-1.8470173875490825
337,-4.3414033850034075
338,-9.249440511067709
339,-18.06089472770691
340,-32.34863996505737
341,-50.722872734069824
342,-63.16834417978922
343,-62.89290269215902
344,-60.68523756663004
345,-61.91103140513102
346,-65.7410265604655
347,-68.55869928995769
348,-71.04129854838054
349,-74.752747853597
350,-76.41777038574219
351,-79.71265411376953
352,-83.18305269877116
353,-85.80837758382161
354,-88.4960257212321
355,-91.95091120402019
356,-95.40743319193523
357,-99.1582857767741
358,-101.35887463887532
359,-105.76903661092122
360,-108.84573109944661
361,-113.45528030395508
362,-113.74113909403484
363,-119.60321998596191
364,-122.30883534749348
365,-124.88869539896648
366,-124.52046012878418
367,-129.61270586649576
368,-135.3687973022461
369,-135.13610712687174
370,-140.79585138956705
371,-139.15814208984375
372,-146.4839299519857
373,-147.57411575317383
374,-151.05609258015951
375,-151.6175282796224
376,-155.9476089477539
377,-157.42978159586588
378,-162.92807642618814
379,-160.90069071451822
380,-165.2613894144694
381,-166.26987075805664
382,-168.2017733256022
383,-170.605099995931
384,-173.18404261271158
385,-173.28687032063803
386,-175.652951558431
387,-181.84617360432944
388,-193.38632837931314
389,-197.13982772827148
390,-201.2496795654297
391,-204.4693489074707
392,-205.06899134318033
393,-209.86695861816406
394,-216.68799336751303
395,-222.21287409464517
396,-224.85496775309244
397,-229.80680211385092
398,-235.20204289754233
399,-238.11650848388672
400,-241.81644566853842
401,-245.2623519897461
402,-248.89712778727213
403,-249.7930793762207
404,-257.1294695536296
405,-260.4328867594401
406,-262.5279935201009
407,-264.8270314534505
408,-268.5001169840495
409,-271.7057698567708
410,-275.17845153808594
411,-276.77432505289715
412,-278.11058807373047
413,-283.1947962443034
414,-283.68819427490234
415,-287.7637685139974
416,-290.1547546386719
417,-290.65657806396484
418,-294.0580113728841
419,-295.00355021158856
420,-300.03152720133465
421,-300.1630096435547
422,-301.76597086588544
423,-303.67484792073566
424,-303.3627573649089
425,-305.42313893636066
426,-309.39139556884766
427,-310.95348358154297
428,-309.4032948811849
429,-312.0586115519206
430,-313.7760492960612
431,-315.2317479451497
432,-312.67100524902344
433,-315.1078516642253
434,-316.92821248372394
435,-318.79871622721356
436,-318.0113983154297
437,-317.68255615234375
438,-317.9297790527344
439,-319.7193323771159
440,-317.75570424397785
441,-321.0845133463542
442,-319.1728032430013
443,-319.0443471272786
444,-319.68687693277997
445,-319.77077229817706
446,-321.5920918782552
447,-319.05926005045575
448,-320.68678029378253
449,-320.3697331746419
450,-321.6798833211263
451,-319.62615458170575
452,-320.525873819987
453,-320.6242497762044
454,-318.78734588623047
455,-317.87122853597003
456,-318.9103291829427
457,-317.81432851155597
458,-316.8028208414714
459,-313.7916081746419
460,-316.0387776692708
461,-314.06545003255206
462,-312.82979583740234
463,-314.2769063313802
464,-313.1200637817383
465,-310.7509765625
466,-311.34425099690753
467,-312.80785878499347
468,-330.4715754191081
469,-332.7419713338216
470,-331.68526967366535
471,-331.8848139444987
472,-333.1940333048503
473,-336.8412729899089
474,-338.7679977416992
475,-343.80101776123047
476,-346.4676818847656
477,-348.1305440266927
478,-351.72167714436847
479,-353.18478139241535
480,-356.06920623779297
481,-356.9610595703125
482,-361.846435546875
483,-361.3909657796224
484,-365.1837209065755
485,-364.7432556152344
486,-368.1968739827474
487,-370.70465087890625
488,-372.7214838663737
489,-373.12106068929035
490,-373.01803334554035
491,-377.73283131917316
492,-379.06580352783203
493,-380.2571970621745
494,-379.7205403645833
495,-381.9476064046224
496,-383.7876434326172
497,-386.4407908121745
498,-386.19688924153644
499,-388.4781443277995
500,-392.0377248128255
501,-392.4881998697917
502,-393.87017822265625
503,-395.3572311401367
504,-394.45660909016925
505,-398.6709340413411
506,-398.69571177164715
507,-399.82279713948566
508,-403.04664611816406
509,-402.56822713216144
510,-406.0047658284505
511,-406.4475911458333
512,-406.6829147338867
513,-409.24364471435547
514,-409.9637807210286
515,-410.4208679199219
516,-412.9167785644531
517,-412.28460693359375
518,-414.34458923339844
519,-415.5400975545247
520,-415.78894805908203
521,-417.04261016845703
522,-418.92632548014325
523,-419.44061787923175
524,-420.5457941691081
525,-421.4775136311849
526,-422.2980194091797
527,-422.0749257405599
528,-425.1149597167969
529,-426.96702067057294
530,-426.88514709472656
531,-428.7250213623047
532,-428.3078130086263
533,-430.43127695719403
534,-430.2758280436198
535,-432.9123001098633
536,-436.29504140218097
537,-434.4020741780599
538,-434.7835108439128
539,-435.8833363850911
540,-437.98294830322266
541,-438.2366587320964
542,-438.6011962890625
543,-439.2886377970378
544,-441.25790150960285
545,-443.2594935099284
546,-443.65399678548175
547,-443.3376871744792
548,-444.40868123372394
549,-446.92033131917316
550,-447.1676712036133
551,-445.1732177734375
552,-448.2209218343099
553,-448.2262547810872
554,-447.2898661295573
555,-449.4852650960286
556,-448.5309702555339
557,-448.25662994384766
