step,policy_loss
572,-0.01774359866976738
573,-0.04829151928424835
574,-0.07723335921764374
575,-0.1084749698638916
576,-0.14234527945518494
577,-0.16844049096107483
578,-0.200912743806839
579,-0.2415274679660797
580,-0.2751137912273407
581,-0.316804975271225
582,-0.360585480928421
583,-0.40351495146751404
584,-0.4341758191585541
585,-0.4902879595756531
586,-0.5427438616752625
587,-0.598736047744751
588,-0.6637409329414368
589,-0.7400019764900208
590,-0.8008177876472473
591,-0.8767739534378052
592,-0.9493387937545776
593,-1.0536396503448486
594,-1.1645145416259766
595,-1.2723660469055176
596,-1.372138500213623
597,-1.4765980243682861
598,-1.6072840690612793
599,-1.7212289571762085
600,-1.8785269260406494
601,-2.066525936126709
602,-2.2561819553375244
603,-2.4353418350219727
604,-2.5883307456970215
605,-2.7593932151794434
606,-3.0348141193389893
607,-3.265444278717041
608,-3.5478906631469727
609,-3.7740800380706787
610,-4.02556848526001
611,-4.322493553161621
612,-4.618900299072266
613,-4.8802690505981445
614,-5.398884296417236
615,-5.622026443481445
616,-6.045743465423584
617,-6.4883713722229
618,-7.001874923706055
619,-7.407777309417725
620,-7.827363967895508
621,-8.328795433044434
622,-8.808393478393555
623,-9.36469554901123
624,-10.194513320922852
625,-10.420026779174805
626,-11.353047370910645
627,-11.882223129272461
628,-12.489166259765625
629,-13.467220306396484
630,-14.829526901245117
631,-15.38255500793457
632,-15.728933334350586
633,-16.840057373046875
634,-17.652145385742188
635,-19.007606506347656
636,-19.760196685791016
637,-21.134197235107422
638,-22.040756225585938
639,-23.574947357177734
640,-24.457897186279297
641,-25.35251235961914
642,-27.333898544311523
643,-28.228214263916016
644,-29.881351470947266
645,-31.265457153320312
646,-33.45336151123047
647,-34.1510009765625
648,-36.539268493652344
649,-37.363224029541016
650,-39.36989212036133
651,-40.453826904296875
652,-42.73515319824219
653,-44.38151550292969
654,-47.300941467285156
655,-48.82151794433594
656,-51.4867057800293
657,-51.362281799316406
658,-55.307334899902344
659,-57.891334533691406
660,-59.574859619140625
661,-60.631309509277344
662,-63.445247650146484
663,-67.0412368774414
664,-69.22224426269531
665,-71.49185943603516
666,-72.30984497070312
667,-77.66261291503906
668,-79.39082336425781
669,-80.85929870605469
670,-85.12643432617188
671,-86.12257385253906
672,-90.61700439453125
673,-92.09906005859375
674,-94.75962829589844
675,-99.44334411621094
676,-101.33479309082031
677,-101.14396667480469
678,-105.40967559814453
679,-109.14945220947266
680,-107.34158325195312
681,-114.15542602539062
682,-113.04182434082031
683,-115.03433227539062
684,-117.37394714355469
685,-119.31837463378906
686,-121.51251220703125
687,-121.94860076904297
688,-127.43077087402344
689,-128.68594360351562
690,-130.7535400390625
691,-136.470947265625
692,-136.08294677734375
693,-137.04324340820312
694,-141.35836791992188
695,-145.27943420410156
696,-146.36407470703125
697,-148.28872680664062
698,-150.72857666015625
699,-151.18783569335938
700,-155.6653594970703
701,-154.32723999023438
702,-154.88922119140625
703,-158.32191467285156
704,-156.24880981445312
705,-160.9400634765625
706,-164.88414001464844
707,-166.8074493408203
708,-169.57203674316406
709,-174.9541015625
710,-177.35598754882812
711,-175.76019287109375
712,-173.8973388671875
713,-183.35858154296875
714,-180.9239501953125
715,-185.59848022460938
716,-184.4159698486328
717,-187.43759155273438
718,-188.47723388671875
719,-186.7702178955078
720,-188.80517578125
721,-194.98309326171875
722,-200.1392822265625
723,-203.26092529296875
724,-200.45782470703125
725,-201.88619995117188
726,-205.07254028320312
727,-206.1851806640625
728,-208.86965942382812
729,-206.07009887695312
730,-213.61187744140625
