step,policy_loss
1000,-0.476210355758667
1001,-0.9997661709785461
1002,-1.568246603012085
1003,-2.178802490234375
1004,-2.8335952758789062
1005,-3.5882973670959473
1006,-4.649347305297852
1007,-5.7099385261535645
1008,-6.8449602127075195
1009,-8.465238571166992
1010,-10.088187217712402
1011,-12.084400177001953
1012,-14.204777717590332
1013,-16.63764190673828
1014,-19.32162857055664
1015,-22.230491638183594
1016,-24.993335723876953
1017,-28.507164001464844
1018,-32.1049690246582
1019,-36.69479751586914
1020,-41.50082015991211
1021,-46.09600830078125
1022,-50.77476119995117
1023,-57.07468032836914
1024,-62.91729736328125
1025,-70.16706848144531
1026,-77.21630096435547
1027,-84.166259765625
1028,-91.6295394897461
1029,-99.91423034667969
1030,-108.51771545410156
1031,-117.60494995117188
1032,-124.77439880371094
1033,-133.97055053710938
1034,-140.92974853515625
1035,-146.47079467773438
1036,-153.96096801757812
1037,-158.8746337890625
1038,-166.79080200195312
1039,-168.24371337890625
1040,-175.47415161132812
1041,-176.68734741210938
1042,-183.1993408203125
1043,-191.19557189941406
1044,-195.11605834960938
1045,-203.2664794921875
1046,-212.74609375
1047,-220.60577392578125
1048,-222.94174194335938
1049,-228.10267639160156
1050,-236.8336181640625
1051,-242.91517639160156
1052,-246.4182891845703
1053,-257.50177001953125
1054,-267.4964294433594
1055,-273.5628662109375
1056,-285.228759765625
1057,-292.83648681640625
1058,-300.468994140625
1059,-305.32861328125
1060,-306.6624755859375
1061,-311.8475341796875
1062,-315.5570068359375
1063,-322.9342041015625
1064,-327.2729797363281
1065,-339.7021484375
1066,-354.270751953125
1067,-361.29266357421875
1068,-365.5808410644531
1069,-377.0550231933594
1070,-378.50836181640625
1071,-387.44110107421875
1072,-398.8304443359375
1073,-401.231689453125
1074,-399.0472412109375
1075,-403.51025390625
1076,-424.85321044921875
1077,-437.03680419921875
1078,-434.27337646484375
1079,-444.594970703125
1080,-426.13018798828125
1081,-437.43621826171875
1082,-445.36309814453125
1083,-446.4823913574219
1084,-463.29376220703125
1085,-478.51336669921875
1086,-483.15069580078125
1087,-491.9185791015625
1088,-476.40484619140625
1089,-484.1728210449219
1090,-492.603759765625
1091,-504.2647705078125
1092,-511.65936279296875
1093,-509.8182678222656
1094,-519.1589965820312
1095,-497.79412841796875
1096,-508.10052490234375
1097,-529.558349609375
1098,-516.3560180664062
1099,-535.2506103515625
1100,-548.134033203125
1101,-543.45166015625
1102,-540.9803466796875
1103,-536.332763671875
1104,-539.5673828125
1105,-534.2776489257812
1106,-542.4624633789062
1107,-532.1566162109375
1108,-529.9358520507812
1109,-548.426513671875
1110,-560.5242919921875
1111,-572.3551025390625
1112,-567.921142578125
1113,-578.030029296875
1114,-560.7916259765625
1115,-569.7651977539062
1116,-566.5173950195312
1117,-562.043701171875
1118,-553.9212646484375
1119,-557.2160034179688
1120,-583.647216796875
1121,-578.342041015625
1122,-573.090087890625
1123,-568.5146484375
1124,-584.121826171875
1125,-575.65966796875
1126,-572.14013671875
1127,-566.1239013671875
1128,-558.6424560546875
1129,-567.4266357421875
1130,-562.2147216796875
1131,-563.5343017578125
1132,-563.1680297851562
1133,-554.033447265625
1134,-558.0851440429688
1135,-564.06982421875
1136,-549.1482543945312
1137,-561.2163696289062
1138,-555.1431884765625
1139,-553.0325927734375
1140,-545.0384521484375
1141,-550.68212890625
1142,-541.4957275390625
1143,-532.0557250976562
1144,-521.9310302734375
1145,-523.9522705078125
1146,-532.2872314453125
1147,-533.2052001953125
1148,-530.470458984375
1149,-524.009765625
1150,-512.4749755859375
1151,-519.6483154296875
1152,-499.849365234375
1153,-498.3467712402344
1154,-504.77587890625
1155,-512.6466064453125
1156,-507.77252197265625
1157,-491.7039794921875
1158,-496.54840087890625
1159,-480.5150146484375
1160,-482.6717529296875
1161,-465.7196044921875
1162,-469.6253662109375
1163,-467.8589782714844
1164,-479.56597900390625
1165,-475.765380859375
1166,-460.5214538574219
1167,-452.5205993652344
1168,-447.625732421875
1169,-454.32958984375
1170,-446.864990234375
1171,-434.8299255371094
1172,-431.2084655761719
1173,-426.4737854003906
1174,-422.9790954589844
1175,-425.95220947265625
1176,-417.2288513183594
1177,-417.17138671875
1178,-403.0622863769531
1179,-420.0244445800781
1180,-402.6756591796875
1181,-412.67401123046875
1182,-392.3758544921875
1183,-384.80328369140625
1184,-391.48089599609375
1185,-382.68267822265625
1186,-383.28790283203125
1187,-363.46063232421875
1188,-365.4130859375
1189,-365.7571105957031
1190,-369.0538635253906
1191,-364.59185791015625
1192,-359.50958251953125
1193,-345.994384765625
1194,-361.7833251953125
1195,-344.3003845214844
1196,-342.9950256347656
1197,-347.2872009277344
1198,-332.07147216796875
1199,-326.74273681640625
1200,-327.4551086425781
1201,-328.6861572265625
1202,-328.7472839355469
1203,-321.403076171875
1204,-316.33221435546875
1205,-319.49212646484375
1206,-318.72369384765625
1207,-316.2306823730469
1208,-303.1678466796875
1209,-301.9388427734375
1210,-300.4884033203125
1211,-303.70745849609375
1212,-305.6918640136719
1213,-290.92578125
1214,-291.87078857421875
1215,-289.19647216796875
1216,-281.5364990234375
1217,-282.0999450683594
1218,-271.8108215332031
1219,-277.82763671875
1220,-275.23052978515625
1221,-279.0463562011719
1222,-266.2291259765625
1223,-263.01336669921875
1224,-259.33184814453125
1225,-258.90350341796875
1226,-260.38043212890625
1227,-253.0851287841797
1228,-251.70147705078125
1229,-243.02720642089844
1230,-247.0262451171875
1231,-238.19400024414062
1232,-240.63436889648438
1233,-242.18487548828125
1234,-232.549072265625
1235,-234.57528686523438
1236,-237.21319580078125
1237,-234.91949462890625
1238,-227.76699829101562
1239,-227.7767333984375
1240,-217.74032592773438
1241,-222.75494384765625
1242,-223.5836639404297
1243,-219.44168090820312
1244,-222.65127563476562
1245,-217.57272338867188
1246,-210.96038818359375
1247,-207.66232299804688
1248,-210.6826629638672
1249,-209.5171661376953
1250,-209.66497802734375
1251,-197.00265502929688
1252,-208.108642578125
1253,-203.2886962890625
1254,-200.1787109375
1255,-193.4036865234375
1256,-191.35440063476562
1257,-199.18276977539062
1258,-191.38339233398438
1259,-192.3598175048828
1260,-189.15481567382812
1261,-188.05712890625
1262,-187.991455078125
1263,-186.00860595703125
1264,-188.810791015625
1265,-185.46331787109375
1266,-186.53536987304688
1267,-183.44467163085938
1268,-180.5568084716797
1269,-176.72093200683594
1270,-175.927001953125
1271,-173.01878356933594
1272,-171.84353637695312
1273,-169.64309692382812
1274,-172.40884399414062
1275,-166.92950439453125
1276,-166.11614990234375
1277,-166.1343994140625
1278,-165.83721923828125
1279,-171.07708740234375
1280,-153.82029724121094
1281,-165.63116455078125
1282,-156.10147094726562
1283,-158.28961181640625
