step,reward
0,60.0
1,33.0
2,37.0
3,49.0
4,54.0
5,52.0
6,45.0
7,51.0
8,46.0
9,37.0
10,52.0
11,50.0
12,58.0
13,60.0
14,47.0
15,46.0
16,50.0
17,53.0
18,44.0
19,50.0
20,41.0
21,33.0
22,45.0
23,54.0
24,51.0
25,47.0
26,42.0
27,41.0
28,32.0
29,40.0
30,43.0
31,46.0
32,50.0
33,50.0
34,36.0
35,43.0
36,36.0
37,35.0
38,45.0
39,56.0
40,55.0
41,53.0
42,42.0
43,49.0
44,53.0
45,59.0
46,47.0
47,52.0
48,56.0
49,55.0
50,48.0
51,54.0
52,60.0
53,52.0
54,45.0
55,51.0
56,47.0
57,57.0
58,56.0
59,53.0
60,56.0
61,40.0
62,50.0
63,55.0
64,57.0
65,45.0
66,47.0
67,54.0
68,42.0
69,43.0
70,48.0
71,41.0
72,53.0
73,42.0
74,52.0
75,53.0
76,50.0
77,55.0
78,55.0
79,43.0
80,53.0
81,56.0
82,60.0
83,64.0
84,57.0
85,53.0
86,53.0
87,59.0
88,62.0
89,50.0
90,54.0
91,56.0
92,54.0
93,54.0
94,48.0
95,63.0
96,50.0
97,49.0
98,56.0
99,63.0
100,58.0
101,57.0
102,48.0
103,56.0
104,47.0
105,54.0
106,49.0
107,55.0
108,48.0
109,48.0
110,41.0
111,50.0
112,50.0
113,53.0
114,56.0
115,53.0
116,61.0
117,61.0
118,57.0
119,55.0
120,56.0
121,56.0
122,58.0
123,45.0
124,47.0
125,53.0
126,57.0
127,47.0
128,54.0
129,55.0
130,51.0
131,46.0
132,44.0
133,49.0
134,51.0
135,44.0
136,46.0
137,54.0
138,50.0
139,56.0
140,56.0
141,47.0
142,46.0
143,41.0
144,45.0
145,34.0
146,41.0
147,43.0
148,51.0
149,49.0
150,39.0
151,42.0
152,49.0
153,38.0
154,37.0
155,26.0
156,37.0
157,52.0
158,45.0
159,34.0
160,50.0
161,51.0
162,53.0
163,57.0
164,55.0
165,60.0
166,45.0
167,56.0
168,50.0
169,56.0
170,56.0
171,52.0
172,48.0
173,49.0
174,58.0
175,60.0
176,53.0
177,58.0
178,58.0
179,47.0
180,52.0
181,54.0
182,46.0
183,57.0
184,61.0
