step,reward
0,30.0
1,34.0
2,39.0
3,43.0
4,32.0
5,44.0
6,60.0
7,57.0
8,56.0
9,60.0
10,62.0
11,60.0
12,57.0
13,56.0
14,55.0
15,52.0
16,61.0
17,57.0
18,55.0
19,51.0
20,56.0
21,57.0
22,59.0
23,56.0
24,55.0
25,60.0
26,60.0
27,68.0
28,66.0
29,65.0
30,61.0
31,61.0
32,66.0
33,69.0
34,69.0
35,69.0
36,69.0
37,70.0
38,68.0
39,69.0
40,70.0
41,68.0
42,69.0
43,70.0
44,64.0
45,60.0
46,61.0
47,54.0
48,59.0
49,57.0
50,47.0
51,57.0
52,56.0
53,57.0
54,56.0
55,50.0
56,56.0
57,55.0
58,53.0
59,57.0
60,51.0
61,54.0
62,63.0
63,57.0
64,62.0
65,59.0
66,58.0
67,57.0
68,63.0
69,58.0
70,63.0
71,63.0
72,60.0
73,65.0
74,65.0
75,66.0
76,69.0
77,65.0
78,68.0
79,70.0
80,65.0
81,64.0
82,60.0
83,60.0
84,59.0
85,53.0
86,56.0
87,50.0
88,49.0
89,54.0
90,56.0
91,47.0
92,46.0
93,52.0
94,47.0
95,41.0
96,35.0
97,38.0
98,30.0
99,43.0
100,47.0
101,48.0
102,40.0
103,39.0
104,42.0
105,40.0
106,44.0
107,40.0
108,40.0
109,38.0
110,42.0
111,50.0
112,37.0
113,46.0
114,48.0
115,45.0
116,47.0
117,55.0
118,53.0
119,58.0
120,57.0
121,54.0
122,54.0
123,54.0
124,63.0
125,63.0
126,62.0
127,58.0
128,55.0
129,56.0
130,51.0
131,54.0
132,52.0
133,57.0
134,52.0
135,43.0
136,52.0
137,53.0
138,50.0
139,53.0
140,53.0
141,44.0
142,51.0
143,56.0
144,57.0
145,50.0
146,57.0
147,53.0
148,57.0
149,61.0
150,57.0
151,54.0
152,57.0
153,58.0
154,56.0
155,63.0
156,58.0
157,58.0
158,61.0
159,58.0
160,58.0
161,61.0
162,55.0
163,58.0
164,58.0
165,56.0
166,57.0
167,51.0
168,54.0
169,53.0
170,59.0
171,53.0
172,57.0
173,56.0
174,53.0
175,56.0
176,54.0
177,51.0
178,51.0
179,52.0
180,54.0
181,55.0
182,51.0
183,51.0
184,53.0
185,57.0
186,57.0
187,48.0
188,52.0
189,49.0
190,51.0
191,56.0
192,45.0
193,51.0
194,48.0
195,48.0
196,48.0
197,43.0
198,49.0
199,46.0
200,46.0
201,49.0
202,44.0
203,46.0
204,39.0
205,48.0
206,43.0
207,51.0
208,44.0
209,38.0
210,46.0
211,43.0
212,41.0
213,45.0
214,56.0
215,57.0
216,56.0
217,65.0
218,63.0
219,58.0
220,61.0
221,65.0
222,69.0
223,69.0
224,70.0
225,65.0
226,64.0
227,67.0
228,75.0
229,70.0
230,70.0
231,70.0
232,70.0
233,69.0
234,69.0
235,65.0
236,59.0
237,61.0
238,63.0
239,64.0
240,56.0
241,61.0
242,57.0
243,55.0
244,49.0
245,48.0
246,47.0
247,48.0
248,52.0
249,45.0
250,43.0
251,42.0
252,42.0
253,45.0
254,42.0
255,38.0
256,46.0
257,42.0
258,47.0
259,48.0
260,48.0
261,47.0
262,41.0
263,45.0
264,49.0
265,47.0
266,43.0
267,50.0
268,49.0
269,48.0
270,46.0
271,56.0
272,57.0
273,49.0
274,51.0
275,54.0
276,59.0
277,50.0
278,58.0
279,61.0
280,62.0
281,59.0
282,46.0
283,51.0
284,57.0
285,53.0
286,48.0
287,41.0
288,49.0
289,39.0
290,37.0
291,40.0
292,49.0
293,46.0
294,27.0
295,32.0
296,27.0
297,30.0
298,46.0
299,27.0
300,34.0
301,46.0
302,51.0
303,49.0
304,44.0
305,33.0
306,42.0
307,37.0
308,44.0
309,45.0
310,50.0
311,54.0
312,55.0
313,61.0
314,61.0
315,59.0
316,67.0
317,62.0
318,59.0
319,61.0
320,60.0
321,63.0
322,67.0
323,70.0
324,69.0
325,70.0
326,70.0
327,68.0
328,64.0
329,66.0
330,58.0
331,55.0
332,57.0
333,59.0
334,58.0
335,63.0
336,64.0
337,63.0
338,56.0
339,53.0
340,58.0
341,53.0
342,55.0
343,52.0
344,55.0
345,62.0
346,63.0
347,60.0
348,59.0
349,56.0
350,55.0
351,59.0
352,59.0
353,59.0
354,63.0
355,65.0
356,66.0
357,64.0
358,65.0
359,69.0
360,65.0
361,69.0
362,65.0
363,69.0
364,60.0
365,65.0
366,64.0
367,67.0
368,64.0
369,63.0
370,70.0
371,64.0
372,63.0
373,68.0
374,63.0
375,66.0
376,59.0
377,67.0
378,69.0
379,70.0
380,69.0
381,70.0
382,70.0
383,69.0
384,70.0
385,69.0
386,70.0
387,60.0
388,62.0
389,66.0
390,57.0
391,58.0
392,61.0
393,52.0
394,57.0
395,55.0
396,62.0
397,58.0
398,57.0
399,51.0
400,56.0
401,58.0
402,55.0
403,58.0
404,53.0
405,60.0
406,53.0
407,55.0
408,61.0
409,63.0
410,57.0
411,52.0
412,45.0
413,53.0
414,45.0
415,40.0
416,42.0
417,44.0
418,42.0
419,46.0
420,47.0
421,46.0
422,52.0
423,48.0
424,49.0
425,47.0
426,53.0
427,42.0
428,37.0
429,46.0
430,38.0
431,49.0
432,53.0
433,58.0
434,51.0
435,51.0
436,44.0
437,53.0
438,44.0
439,49.0
440,49.0
441,46.0
442,56.0
443,45.0
444,48.0
445,50.0
446,57.0
447,54.0
448,48.0
449,50.0
450,52.0
451,51.0
452,48.0
453,49.0
454,54.0
455,54.0
456,55.0
457,61.0
458,63.0
459,55.0
460,58.0
461,55.0
462,60.0
463,42.0
464,56.0
465,56.0
466,63.0
467,60.0
468,58.0
469,54.0
470,56.0
471,55.0
472,55.0
473,62.0
474,56.0
475,57.0
476,51.0
477,46.0
478,45.0
479,51.0
480,53.0
481,54.0
482,50.0
483,53.0
484,54.0
485,42.0
486,51.0
487,58.0
488,60.0
489,48.0
490,48.0
491,53.0
492,55.0
493,51.0
494,49.0
495,57.0
496,56.0
497,58.0
498,57.0
499,54.0
500,60.0
501,56.0
502,53.0
503,54.0
504,55.0
505,54.0
506,53.0
507,54.0
508,60.0
509,57.0
510,50.0
511,53.0
512,61.0
513,65.0
514,62.0
515,60.0
516,55.0
517,55.0
518,56.0
519,52.0
520,54.0
521,53.0
522,56.0
523,51.0
524,52.0
525,52.0
526,53.0
527,56.0
528,55.0
529,57.0
530,58.0
531,50.0
532,51.0
533,51.0
534,50.0
535,51.0
536,50.0
537,52.0
538,52.0
539,55.0
540,54.0
541,54.0
542,50.0
543,52.0
544,59.0
545,59.0
546,56.0
547,54.0
548,58.0
549,56.0
550,56.0
551,54.0
552,51.0
553,51.0
554,45.0
555,49.0
556,51.0
557,43.0
558,54.0
559,50.0
560,54.0
561,53.0
562,56.0
563,55.0
564,63.0
565,56.0
566,58.0
567,60.0
568,69.0
569,66.0
570,69.0
571,70.0
572,65.0
573,64.0
574,64.0
575,55.0
576,49.0
577,54.0
578,54.0
579,54.0
580,58.0
581,57.0
582,60.0
583,53.0
584,53.0
585,52.0
586,43.0
587,51.0
588,50.0
589,54.0
590,56.0
591,52.0
592,52.0
593,49.0
594,48.0
595,46.0
596,48.0
597,49.0
598,52.0
599,48.0
600,48.0
601,45.0
602,43.0
603,45.0
604,41.0
605,41.0
606,41.0
607,40.0
608,47.0
609,40.0
610,42.0
611,42.0
612,36.0
613,32.0
614,34.0
615,45.0
616,40.0
617,41.0
618,42.0
619,43.0
620,54.0
621,50.0
622,54.0
623,46.0
624,49.0
625,49.0
626,61.0
627,57.0
628,61.0
629,65.0
630,52.0
631,61.0
632,63.0
633,63.0
634,64.0
635,69.0
636,64.0
637,65.0
638,59.0
639,64.0
640,63.0
641,66.0
642,65.0
643,70.0
644,65.0
645,67.0
646,69.0
647,70.0
648,69.0
649,69.0
650,69.0
651,70.0
652,70.0
653,69.0
654,69.0
655,69.0
656,70.0
657,61.0
658,63.0
659,58.0
660,57.0
661,61.0
662,63.0
663,64.0
664,63.0
665,58.0
666,54.0
667,61.0
668,53.0
669,55.0
670,56.0
671,61.0
672,57.0
673,62.0
674,62.0
675,58.0
676,60.0
677,67.0
678,64.0
679,64.0
680,69.0
681,62.0
682,62.0
683,61.0
684,65.0
685,60.0
686,58.0
687,60.0
688,56.0
689,55.0
690,57.0
691,52.0
692,60.0
693,61.0
694,63.0
695,57.0
696,59.0
697,56.0
698,56.0
699,62.0
700,57.0
701,55.0
702,60.0
703,56.0
704,56.0
705,55.0
706,58.0
707,60.0
708,58.0
709,60.0
710,62.0
711,63.0
712,58.0
713,48.0
714,51.0
715,56.0
716,58.0
717,56.0
718,56.0
719,57.0
720,58.0
721,58.0
722,62.0
723,63.0
724,63.0
725,62.0
726,62.0
727,61.0
728,64.0
729,59.0
730,52.0
731,59.0
732,63.0
733,55.0
734,49.0
735,56.0
736,52.0
737,51.0
738,53.0
739,61.0
740,63.0
741,61.0
742,65.0
743,63.0
744,63.0
745,63.0
746,66.0
747,67.0
748,62.0
749,62.0
750,60.0
751,62.0
752,59.0
753,64.0
754,60.0
755,62.0
756,63.0
757,63.0
758,68.0
759,63.0
760,57.0
761,61.0
762,57.0
763,58.0
764,57.0
765,56.0
766,60.0
767,58.0
768,62.0
769,51.0
770,62.0
771,60.0
772,59.0
773,52.0
774,54.0
775,59.0
776,57.0
777,54.0
778,54.0
779,49.0
780,48.0
781,60.0
782,49.0
783,51.0
784,43.0
785,40.0
786,48.0
787,50.0
788,47.0
789,55.0
790,54.0
791,49.0
792,52.0
793,54.0
794,51.0
795,51.0
796,60.0
797,53.0
798,51.0
799,51.0
800,52.0
801,54.0
802,53.0
803,55.0
804,52.0
805,42.0
806,45.0
807,48.0
808,43.0
809,44.0
810,34.0
811,33.0
812,35.0
813,45.0
814,45.0
815,46.0
816,46.0
817,47.0
818,48.0
819,48.0
820,50.0
821,50.0
822,52.0
823,51.0
824,49.0
825,58.0
826,52.0
827,57.0
828,56.0
829,50.0
830,57.0
831,51.0
832,47.0
833,55.0
834,53.0
835,46.0
836,43.0
837,43.0
838,41.0
839,39.0
840,44.0
841,39.0
842,40.0
843,42.0
844,45.0
845,54.0
846,47.0
847,47.0
848,51.0
849,54.0
850,54.0
851,61.0
852,56.0
853,55.0
854,61.0
855,56.0
856,62.0
857,57.0
858,61.0
859,68.0
860,64.0
861,69.0
862,63.0
863,68.0
864,65.0
865,70.0
866,62.0
867,67.0
868,70.0
869,68.0
870,70.0
871,68.0
872,70.0
873,68.0
874,70.0
875,69.0
876,64.0
877,60.0
878,59.0
879,60.0
880,62.0
881,52.0
882,58.0
883,53.0
884,55.0
885,50.0
886,58.0
887,51.0
888,59.0
889,55.0
890,62.0
891,63.0
892,62.0
893,63.0
894,62.0
895,53.0
896,58.0
897,62.0
898,65.0
899,64.0
900,58.0
901,61.0
902,63.0
903,64.0
904,60.0
905,62.0
906,61.0
907,58.0
908,62.0
909,63.0
910,57.0
911,56.0
912,56.0
913,58.0
914,55.0
915,56.0
916,61.0
917,57.0
918,53.0
919,54.0
920,58.0
921,58.0
922,52.0
923,54.0
924,51.0
925,55.0
926,48.0
927,53.0
928,58.0
929,58.0
930,65.0
931,56.0
932,53.0
933,50.0
934,46.0
935,51.0
936,55.0
937,58.0
938,61.0
939,63.0
940,62.0
941,62.0
942,61.0
943,55.0
944,57.0
945,52.0
946,55.0
947,55.0
948,55.0
949,57.0
950,59.0
951,53.0
952,44.0
953,50.0
954,55.0
955,54.0
956,58.0
957,57.0
958,55.0
959,52.0
960,54.0
961,57.0
962,58.0
963,55.0
964,58.0
965,55.0
966,52.0
967,56.0
968,57.0
969,50.0
970,55.0
971,54.0
972,58.0
973,57.0
974,57.0
975,58.0
976,56.0
977,51.0
978,57.0
979,59.0
980,59.0
981,59.0
982,59.0
983,58.0
984,65.0
985,60.0
986,60.0
987,65.0
988,67.0
989,70.0
990,65.0
991,69.0
992,65.0
993,68.0
994,69.0
995,70.0
996,69.0
997,65.0
998,64.0
999,61.0
1000,60.0
1001,53.0
1002,47.0
1003,54.0
1004,51.0
1005,42.0
1006,42.0
1007,27.0
1008,42.0
1009,41.0
1010,42.0
1011,49.0
1012,58.0
1013,41.0
1014,56.0
1015,59.0
1016,52.0
1017,53.0
1018,45.0
1019,55.0
1020,50.0
1021,51.0
1022,51.0
1023,45.0
1024,39.0
1025,48.0
1026,34.0
1027,38.0
1028,41.0
1029,45.0
1030,41.0
1031,43.0
1032,42.0
1033,42.0
1034,30.0
1035,37.0
1036,37.0
1037,43.0
1038,43.0
1039,38.0
1040,34.0
1041,42.0
1042,41.0
1043,45.0
1044,51.0
1045,54.0
1046,52.0
1047,49.0
1048,56.0
1049,56.0
1050,60.0
1051,63.0
1052,57.0
1053,61.0
1054,63.0
1055,59.0
1056,63.0
1057,57.0
1058,56.0
1059,59.0
1060,56.0
1061,47.0
1062,45.0
1063,60.0
1064,51.0
1065,53.0
1066,41.0
1067,48.0
1068,48.0
1069,47.0
1070,57.0
1071,56.0
1072,50.0
1073,53.0
1074,53.0
1075,53.0
1076,56.0
1077,49.0
1078,44.0
1079,44.0
1080,46.0
1081,53.0
1082,58.0
1083,53.0
1084,55.0
1085,60.0
1086,58.0
1087,52.0
1088,52.0
1089,49.0
1090,55.0
1091,60.0
1092,56.0
1093,58.0
1094,54.0
1095,57.0
1096,49.0
1097,49.0
1098,59.0
1099,54.0
1100,57.0
1101,55.0
1102,59.0
1103,54.0
1104,42.0
1105,49.0
1106,54.0
1107,51.0
1108,53.0
1109,59.0
1110,63.0
1111,59.0
1112,56.0
1113,61.0
1114,57.0
1115,60.0
1116,61.0
1117,59.0
1118,57.0
1119,56.0
1120,60.0
1121,58.0
1122,56.0
1123,51.0
1124,59.0
1125,63.0
1126,68.0
1127,65.0
1128,62.0
1129,61.0
1130,65.0
1131,69.0
1132,70.0
1133,66.0
1134,65.0
1135,70.0
1136,70.0
1137,70.0
1138,69.0
1139,69.0
1140,69.0
1141,64.0
1142,68.0
1143,69.0
1144,69.0
1145,66.0
1146,63.0
1147,65.0
1148,62.0
1149,57.0
1150,61.0
1151,63.0
1152,63.0
1153,59.0
1154,62.0
1155,62.0
1156,61.0
1157,61.0
1158,64.0
1159,60.0
1160,60.0
1161,65.0
1162,63.0
1163,60.0
1164,58.0
1165,64.0
1166,59.0
1167,61.0
1168,65.0
1169,63.0
1170,62.0
1171,58.0
1172,58.0
1173,61.0
1174,64.0
1175,49.0
1176,51.0
1177,51.0
1178,53.0
1179,51.0
1180,53.0
1181,44.0
1182,50.0
1183,44.0
1184,50.0
1185,46.0
1186,40.0
1187,43.0
1188,41.0
1189,45.0
1190,41.0
1191,38.0
1192,38.0
1193,33.0
1194,38.0
1195,41.0
1196,42.0
1197,46.0
1198,37.0
1199,41.0
1200,27.0
1201,44.0
1202,37.0
1203,39.0
1204,41.0
1205,32.0
1206,36.0
1207,30.0
1208,35.0
1209,44.0
1210,43.0
1211,41.0
1212,45.0
1213,48.0
1214,43.0
1215,41.0
1216,44.0
1217,43.0
1218,46.0
1219,48.0
1220,59.0
1221,48.0
1222,51.0
1223,47.0
1224,51.0
1225,57.0
1226,48.0
1227,54.0
1228,55.0
1229,53.0
1230,51.0
1231,56.0
1232,60.0
1233,58.0
1234,62.0
1235,59.0
1236,60.0
1237,59.0
1238,56.0
1239,57.0
1240,59.0
1241,57.0
1242,54.0
1243,51.0
1244,47.0
1245,47.0
1246,48.0
1247,52.0
1248,50.0
1249,47.0
1250,51.0
1251,56.0
1252,58.0
1253,59.0
1254,60.0
1255,57.0
1256,60.0
1257,48.0
1258,49.0
1259,51.0
1260,51.0
1261,53.0
1262,56.0
1263,61.0
1264,65.0
1265,62.0
1266,62.0
1267,64.0
1268,55.0
1269,57.0
1270,64.0
1271,55.0
1272,58.0
1273,58.0
1274,58.0
1275,53.0
1276,55.0
1277,55.0
1278,54.0
1279,61.0
1280,61.0
1281,63.0
1282,58.0
1283,58.0
1284,61.0
1285,58.0
1286,56.0
1287,61.0
1288,63.0
1289,60.0
1290,62.0
1291,63.0
1292,63.0
1293,60.0
1294,64.0
1295,57.0
1296,56.0
1297,56.0
1298,57.0
1299,55.0
1300,49.0
1301,55.0
1302,56.0
1303,54.0
1304,54.0
1305,54.0
1306,56.0
1307,52.0
1308,57.0
1309,56.0
1310,52.0
1311,56.0
1312,57.0
1313,56.0
1314,51.0
1315,52.0
1316,52.0
1317,56.0
1318,55.0
1319,56.0
1320,53.0
1321,58.0
1322,55.0
1323,52.0
1324,63.0
1325,57.0
1326,61.0
1327,54.0
1328,54.0
1329,46.0
1330,54.0
1331,57.0
1332,51.0
1333,48.0
1334,49.0
1335,57.0
1336,52.0
1337,48.0
1338,58.0
1339,58.0
1340,58.0
1341,55.0
1342,59.0
1343,52.0
1344,59.0
1345,59.0
1346,53.0
1347,60.0
1348,57.0
1349,62.0
1350,57.0
1351,54.0
1352,63.0
1353,62.0
1354,64.0
1355,64.0
1356,61.0
1357,53.0
1358,60.0
1359,54.0
1360,58.0
1361,53.0
1362,66.0
1363,65.0
1364,62.0
1365,63.0
1366,68.0
1367,65.0
1368,64.0
1369,63.0
1370,63.0
1371,59.0
1372,56.0
1373,64.0
1374,57.0
1375,56.0
1376,61.0
1377,56.0
1378,53.0
1379,63.0
1380,55.0
1381,60.0
1382,61.0
1383,60.0
1384,58.0
1385,62.0
1386,62.0
1387,58.0
1388,58.0
1389,58.0
1390,58.0
1391,58.0
1392,47.0
1393,47.0
1394,49.0
1395,46.0
1396,51.0
1397,47.0
1398,50.0
1399,55.0
1400,45.0
1401,48.0
1402,51.0
1403,49.0
1404,56.0
1405,53.0
1406,48.0
1407,52.0
1408,58.0
1409,60.0
1410,62.0
1411,68.0
1412,62.0
1413,63.0
1414,68.0
1415,59.0
1416,61.0
1417,60.0
1418,63.0
1419,62.0
1420,52.0
1421,49.0
1422,47.0
1423,46.0
1424,46.0
1425,46.0
1426,36.0
1427,42.0
1428,38.0
1429,39.0
1430,40.0
1431,44.0
1432,48.0
1433,48.0
1434,43.0
1435,49.0
1436,55.0
1437,48.0
1438,53.0
1439,57.0
1440,57.0
1441,56.0
1442,53.0
1443,58.0
1444,62.0
1445,63.0
1446,52.0
1447,59.0
1448,56.0
1449,55.0
1450,54.0
1451,52.0
1452,57.0
1453,48.0
1454,47.0
1455,51.0
1456,50.0
1457,52.0
1458,51.0
1459,55.0
1460,50.0
1461,50.0
1462,54.0
1463,53.0
1464,54.0
1465,57.0
1466,57.0
1467,58.0
1468,51.0
1469,62.0
1470,54.0
1471,52.0
1472,54.0
1473,55.0
1474,60.0
1475,60.0
1476,59.0
1477,69.0
1478,68.0
1479,69.0
1480,69.0
1481,69.0
1482,64.0
1483,64.0
1484,64.0
1485,62.0
1486,63.0
1487,68.0
1488,70.0
1489,65.0
1490,67.0
1491,70.0
1492,64.0
1493,66.0
1494,60.0
1495,60.0
1496,64.0
1497,68.0
1498,63.0
1499,58.0
1500,57.0
1501,56.0
1502,58.0
1503,51.0
1504,55.0
1505,51.0
1506,50.0
1507,52.0
1508,50.0
1509,55.0
1510,56.0
1511,54.0
1512,59.0
1513,58.0
1514,47.0
1515,51.0
1516,57.0
1517,49.0
1518,51.0
1519,57.0
1520,56.0
1521,51.0
1522,56.0
1523,58.0
1524,62.0
1525,69.0
1526,70.0
1527,61.0
1528,67.0
1529,64.0
1530,62.0
1531,62.0
1532,69.0
1533,64.0
1534,68.0
1535,65.0
1536,61.0
1537,63.0
1538,60.0
1539,61.0
1540,60.0
1541,66.0
1542,66.0
1543,69.0
1544,70.0
1545,68.0
1546,70.0
1547,69.0
1548,69.0
1549,65.0
1550,66.0
1551,68.0
1552,69.0
1553,68.0
1554,69.0
1555,70.0
1556,69.0
1557,69.0
1558,61.0
1559,61.0
1560,59.0
1561,56.0
1562,61.0
1563,56.0
1564,48.0
1565,54.0
1566,57.0
1567,46.0
1568,46.0
1569,46.0
1570,43.0
1571,49.0
1572,55.0
1573,54.0
1574,49.0
1575,56.0
1576,58.0
1577,46.0
1578,54.0
1579,58.0
1580,54.0
1581,47.0
1582,49.0
1583,47.0
1584,49.0
1585,36.0
1586,48.0
1587,42.0
1588,44.0
1589,50.0
1590,36.0
1591,44.0
1592,45.0
1593,41.0
1594,47.0
1595,44.0
1596,25.0
1597,38.0
1598,33.0
1599,29.0
1600,39.0
1601,48.0
1602,49.0
1603,57.0
1604,55.0
1605,52.0
1606,59.0
1607,63.0
1608,63.0
1609,63.0
1610,59.0
1611,63.0
1612,59.0
1613,58.0
1614,63.0
1615,63.0
1616,59.0
1617,60.0
1618,57.0
1619,52.0
1620,49.0
1621,59.0
1622,55.0
1623,50.0
1624,56.0
1625,56.0
1626,59.0
1627,61.0
1628,65.0
1629,63.0
1630,68.0
1631,69.0
1632,69.0
1633,69.0
1634,69.0
1635,69.0
1636,70.0
1637,70.0
1638,69.0
1639,70.0
1640,70.0
1641,69.0
1642,68.0
1643,69.0
1644,70.0
1645,70.0
1646,69.0
1647,69.0
1648,64.0
1649,63.0
1650,63.0
1651,64.0
1652,68.0
1653,65.0
1654,65.0
1655,63.0
1656,66.0
1657,62.0
1658,61.0
1659,64.0
1660,57.0
1661,59.0
1662,59.0
1663,61.0
1664,55.0
1665,58.0
1666,46.0
1667,53.0
1668,56.0
1669,56.0
1670,58.0
1671,64.0
1672,56.0
1673,55.0
1674,52.0
1675,53.0
1676,55.0
1677,49.0
1678,52.0
1679,49.0
1680,58.0
1681,55.0
1682,52.0
1683,61.0
1684,57.0
1685,60.0
1686,64.0
1687,63.0
1688,63.0
1689,65.0
1690,60.0
1691,57.0
1692,57.0
1693,57.0
1694,56.0
1695,58.0
1696,64.0
1697,57.0
1698,56.0
1699,62.0
1700,56.0
1701,63.0
1702,64.0
1703,58.0
1704,56.0
1705,54.0
1706,54.0
1707,61.0
1708,54.0
1709,51.0
1710,50.0
1711,43.0
1712,49.0
