step,policy_loss
4000,-0.05870189517736435
4001,-0.12739956378936768
4002,-0.191717267036438
4003,-0.26112741231918335
4004,-0.3286202549934387
4005,-0.40733176469802856
4006,-0.4875789284706116
4007,-0.5667161345481873
4008,-0.6770636439323425
4009,-0.7865923047065735
4010,-0.9044750928878784
4011,-1.0667226314544678
4012,-1.2166328430175781
4013,-1.3847503662109375
4014,-1.5937600135803223
4015,-1.7803142070770264
4016,-2.0002388954162598
4017,-2.284733772277832
4018,-2.624479293823242
4019,-2.9084343910217285
4020,-3.226008415222168
4021,-3.641906261444092
4022,-4.0852556228637695
4023,-4.479211807250977
4024,-4.952588081359863
4025,-5.602628707885742
4026,-6.260319709777832
4027,-6.8132100105285645
4028,-7.434560775756836
4029,-8.17181396484375
4030,-9.188873291015625
4031,-9.845930099487305
4032,-10.55601692199707
4033,-11.94052505493164
4034,-12.712857246398926
4035,-13.729564666748047
4036,-14.821992874145508
4037,-16.599716186523438
4038,-17.84478759765625
4039,-19.224395751953125
4040,-21.114065170288086
4041,-22.251937866210938
4042,-24.059221267700195
4043,-26.36020278930664
4044,-28.092487335205078
4045,-30.847537994384766
4046,-33.56056213378906
4047,-35.15929412841797
4048,-37.67427444458008
4049,-40.21843338012695
4050,-43.19731903076172
4051,-46.995460510253906
4052,-48.70562744140625
4053,-51.9871940612793
4054,-54.78209686279297
4055,-58.75193405151367
4056,-63.34730529785156
4057,-65.85589599609375
4058,-69.08212280273438
4059,-72.32368469238281
4060,-75.23170471191406
4061,-77.23699188232422
4062,-82.92147827148438
4063,-86.48419189453125
4064,-90.31352996826172
4065,-89.38731384277344
4066,-95.83036804199219
4067,-97.16374969482422
4068,-101.18782806396484
4069,-101.81340026855469
4070,-101.76612854003906
4071,-108.60956573486328
4072,-110.3053207397461
4073,-112.48284912109375
4074,-114.38371276855469
4075,-118.04502868652344
4076,-120.247314453125
4077,-123.44744873046875
4078,-122.50114440917969
4079,-128.74856567382812
4080,-124.81013488769531
4081,-129.4757080078125
4082,-133.57583618164062
4083,-136.0245361328125
4084,-142.51522827148438
4085,-144.90377807617188
4086,-147.76483154296875
4087,-151.65679931640625
4088,-152.40309143066406
4089,-154.44593811035156
4090,-158.16970825195312
4091,-157.89630126953125
4092,-163.44541931152344
4093,-163.58023071289062
4094,-170.2927703857422
4095,-177.22509765625
4096,-173.32516479492188
4097,-176.9947052001953
4098,-182.0445098876953
4099,-177.77713012695312
4100,-183.0592803955078
4101,-185.46054077148438
4102,-186.5627899169922
4103,-185.80564880371094
4104,-185.5536651611328
4105,-188.2042694091797
4106,-197.02032470703125
4107,-201.72610473632812
4108,-201.45028686523438
4109,-207.25057983398438
4110,-210.30929565429688
4111,-215.15036010742188
4112,-211.42898559570312
4113,-216.81643676757812
4114,-218.3467254638672
4115,-217.1909942626953
4116,-220.52450561523438
4117,-223.83328247070312
4118,-221.2359619140625
4119,-218.42913818359375
4120,-231.12525939941406
4121,-231.75369262695312
4122,-236.64788818359375
4123,-232.36178588867188
4124,-241.49952697753906
4125,-236.51705932617188
4126,-237.3015594482422
4127,-236.12210083007812
4128,-241.13388061523438
4129,-244.55697631835938
4130,-251.0883026123047
4131,-252.63809204101562
4132,-254.63299560546875
4133,-252.6443328857422
4134,-254.85617065429688
4135,-260.57952880859375
4136,-258.025390625
4137,-257.46435546875
4138,-261.0908508300781
4139,-271.41650390625
4140,-270.7089538574219
4141,-276.05267333984375
4142,-276.50897216796875
4143,-279.70513916015625
4144,-270.661865234375
4145,-278.43194580078125
4146,-280.184326171875
4147,-275.29974365234375
4148,-284.47357177734375
4149,-282.2877197265625
4150,-292.9328918457031
4151,-287.76544189453125
4152,-290.239990234375
4153,-288.3566589355469
4154,-286.42242431640625
4155,-288.82843017578125
4156,-291.7851867675781
4157,-296.9667663574219
4158,-298.48724365234375
4159,-301.10675048828125
4160,-299.3951110839844
4161,-309.0758056640625
4162,-304.63836669921875
4163,-294.3489990234375
4164,-310.6092834472656
4165,-298.7983703613281
4166,-310.7813720703125
4167,-311.56243896484375
4168,-318.69708251953125
4169,-318.7535095214844
4170,-323.11273193359375
4171,-321.255126953125
4172,-318.76055908203125
4173,-315.0371398925781
4174,-322.5682678222656
4175,-322.9519958496094
4176,-327.482177734375
4177,-326.08868408203125
4178,-336.73809814453125
4179,-331.7667236328125
4180,-335.96368408203125
4181,-332.250244140625
4182,-326.32647705078125
4183,-326.7843017578125
4184,-334.14447021484375
4185,-328.46466064453125
4186,-335.53814697265625
4187,-337.4247741699219
4188,-335.7298889160156
4189,-335.95794677734375
4190,-349.51763916015625
4191,-347.1698303222656
4192,-345.94805908203125
4193,-343.2210998535156
4194,-342.8450927734375
4195,-336.0892028808594
4196,-344.65301513671875
4197,-343.1946716308594
4198,-346.89349365234375
4199,-351.3755187988281
4200,-350.8908996582031
4201,-353.086669921875
4202,-354.38092041015625
4203,-363.3035888671875
4204,-352.02325439453125
4205,-352.8816833496094
4206,-354.35321044921875
4207,-354.8673095703125
4208,-354.867431640625
4209,-354.9100341796875
4210,-360.78875732421875
4211,-367.2576904296875
4212,-362.9644470214844
4213,-360.46307373046875
4214,-357.89434814453125
4215,-362.0118408203125
4216,-364.6815185546875
4217,-364.764404296875
4218,-354.12579345703125
4219,-356.92633056640625
4220,-359.6703186035156
4221,-362.3622131347656
4222,-362.4131164550781
4223,-369.2912292480469
4224,-365.8746337890625
4225,-364.233154296875
4226,-376.6302490234375
4227,-376.753173828125
4228,-370.04791259765625
4229,-367.53228759765625
4230,-379.7672119140625
4231,-372.3816223144531
4232,-372.82672119140625
4233,-369.98974609375
4234,-373.04327392578125
4235,-373.4205322265625
4236,-377.6935729980469
4237,-367.6744384765625
4238,-365.7691955566406
4239,-371.54718017578125
4240,-376.8583068847656
4241,-375.9833984375
4242,-375.18572998046875
4243,-382.36322021484375
4244,-376.14013671875
4245,-383.6407775878906
4246,-371.2998962402344
4247,-376.0737609863281
4248,-370.71649169921875
4249,-367.5059814453125
4250,-379.13726806640625
4251,-385.716552734375
4252,-393.8016357421875
4253,-383.4417724609375
4254,-384.888427734375
4255,-382.7709655761719
4256,-371.1910400390625
4257,-379.0364074707031
4258,-374.0098571777344
4259,-381.706787109375
4260,-371.24395751953125
4261,-376.2770080566406
4262,-382.3969421386719
4263,-382.0068359375
4264,-381.00579833984375
4265,-384.5895080566406
4266,-374.5726318359375
4267,-389.71783447265625
4268,-376.00140380859375
4269,-395.97979736328125
4270,-372.71221923828125
4271,-381.7376708984375
4272,-377.229248046875
4273,-387.572998046875
4274,-376.7476501464844
4275,-387.99163818359375
4276,-388.70318603515625
4277,-383.9648742675781
4278,-380.9662780761719
4279,-381.0009460449219
4280,-380.17132568359375
4281,-381.60491943359375
4282,-381.1733093261719
4283,-383.1982727050781
4284,-387.9365234375
4285,-385.17999267578125
4286,-376.26251220703125
4287,-385.19097900390625
4288,-385.81109619140625
4289,-395.384521484375
4290,-382.2069091796875
4291,-381.5542297363281
4292,-371.0058898925781
4293,-375.3500671386719
4294,-380.55206298828125
4295,-380.524658203125
4296,-377.5818786621094
4297,-379.325439453125
4298,-379.23687744140625
4299,-380.4203796386719
4300,-383.09661865234375
4301,-381.2264404296875
4302,-373.07696533203125
4303,-380.4603576660156
4304,-362.92132568359375
4305,-368.9911193847656
4306,-376.1363525390625
4307,-385.29449462890625
4308,-382.2840270996094
4309,-377.8423767089844
4310,-372.01361083984375
4311,-380.93511962890625
4312,-370.0824279785156
4313,-375.0050048828125
4314,-386.5478210449219
4315,-375.9699401855469
4316,-380.51031494140625
4317,-389.37225341796875
4318,-372.406494140625
4319,-373.87982177734375
4320,-379.5732727050781
4321,-385.5147705078125
4322,-374.34490966796875
4323,-376.20709228515625
4324,-373.26312255859375
4325,-375.27520751953125
4326,-385.783447265625
4327,-384.22479248046875
4328,-376.0014953613281
4329,-380.42340087890625
4330,-378.339111328125
4331,-375.51983642578125
4332,-376.9548034667969
4333,-369.9541015625
4334,-377.693603515625
4335,-376.3516845703125
4336,-360.45574951171875
4337,-373.7457275390625
4338,-373.9461975097656
4339,-377.52734375
4340,-373.60791015625
4341,-363.41851806640625
4342,-361.6737976074219
4343,-363.843505859375
4344,-372.62396240234375
4345,-356.3088684082031
4346,-373.0391845703125
4347,-363.4849548339844
4348,-360.19110107421875
4349,-370.1678466796875
4350,-368.81292724609375
4351,-371.70849609375
4352,-365.3210144042969
4353,-364.2761535644531
4354,-368.90057373046875
4355,-346.44793701171875
4356,-351.85736083984375
4357,-356.718505859375
4358,-348.926513671875
4359,-360.7589111328125
4360,-356.5201110839844
4361,-362.6588439941406
4362,-367.2313232421875
4363,-367.822265625
4364,-357.12261962890625
4365,-360.32568359375
4366,-361.7017517089844
4367,-358.65887451171875
4368,-357.75347900390625
4369,-363.19256591796875
4370,-353.5326843261719
4371,-366.2788391113281
4372,-371.15533447265625
4373,-358.4925537109375
4374,-354.893798828125
4375,-360.55926513671875
4376,-352.7093505859375
4377,-352.67364501953125
4378,-356.39617919921875
4379,-351.79876708984375
4380,-360.51800537109375
4381,-368.0357666015625
4382,-370.2481994628906
4383,-362.0286865234375
4384,-350.91156005859375
4385,-357.42669677734375
4386,-344.0633544921875
4387,-341.9607849121094
4388,-356.42840576171875
4389,-354.2869873046875
4390,-356.31036376953125
4391,-352.5611572265625
4392,-358.1066589355469
4393,-347.9091491699219
4394,-354.07232666015625
4395,-357.2726135253906
4396,-340.6936340332031
4397,-337.602783203125
4398,-348.3992919921875
4399,-342.58453369140625
4400,-342.6667175292969
4401,-356.1885070800781
