step,reward
0,29.766762883937005
1,24.0
2,28.0
3,19.0
4,22.0
5,18.0
6,18.0
7,19.0
8,26.0
9,10.0
10,31.0
11,32.0
12,30.0
13,23.0
14,22.0
15,32.0
16,30.0
17,28.0
18,32.0
19,28.0
20,29.0
21,27.0
22,29.0
23,32.0
24,28.0
25,32.0
26,34.0
27,25.0
28,33.0
29,33.0
30,23.0
31,33.0
32,27.0
33,33.0
34,32.0
35,34.0
36,34.0
37,22.0
38,32.0
39,33.0
40,30.0
41,32.0
42,28.0
43,26.0
44,34.0
45,36.0
46,29.0
47,33.0
48,23.0
49,27.0
50,19.0
51,27.0
52,27.0
53,23.0
54,23.0
55,23.0
56,19.0
57,13.0
58,18.0
59,28.0
60,19.0
61,18.0
62,18.0
63,28.0
64,21.0
65,25.0
66,27.0
67,18.0
68,27.0
69,24.0
70,13.0
71,23.0
72,28.0
73,27.0
74,25.0
75,29.0
76,28.0
77,29.0
78,26.0
79,28.0
80,27.0
81,29.0
82,26.0
83,28.0
84,29.0
85,29.0
86,28.0
87,27.0
88,19.0
89,27.0
90,28.0
91,18.0
92,36.0
93,35.0
94,28.0
95,29.0
96,29.0
97,23.0
98,29.0
99,31.0
100,30.0
101,37.0
102,32.0
103,28.0
104,32.0
105,33.0
106,35.0
107,37.0
108,28.0
109,29.0
110,28.0
111,35.0
112,32.0
113,28.0
114,32.0
115,34.0
116,32.0
117,32.0
118,25.0
119,33.0
120,27.0
121,37.0
122,36.0
123,33.0
124,28.0
125,10.0
126,29.0
127,32.0
128,31.0
129,28.0
130,30.0
131,22.0
132,28.0
133,31.0
134,32.0
135,28.0
136,19.0
137,14.0
138,25.0
139,23.0
140,26.0
141,30.0
142,29.0
143,28.0
144,31.0
145,35.0
146,35.0
147,29.0
148,29.0
149,34.0
150,28.0
151,24.0
152,15.0
153,30.0
154,23.0
155,27.0
156,32.0
157,10.0
158,22.0
159,23.0
160,23.0
161,28.0
162,28.0
163,30.0
164,37.0
165,29.0
166,31.0
167,30.0
168,32.0
169,33.0
170,33.0
171,28.0
172,34.0
173,37.0
174,34.0
175,38.0
176,28.0
177,30.0
178,24.0
179,33.0
180,23.0
181,33.0
182,34.0
183,27.0
184,41.0
185,22.0
186,27.0
187,32.0
188,38.0
189,33.0
190,34.0
191,29.0
192,30.0
193,29.0
194,42.0
195,30.0
196,30.0
197,27.0
198,32.0
199,29.0
200,28.0
201,27.0
202,26.0
203,27.0
204,36.0
205,32.0
206,13.0
207,28.0
208,27.0
209,23.0
210,21.0
211,18.0
212,25.0
213,29.0
214,28.0
215,31.0
216,29.0
217,36.0
218,28.0
219,34.0
220,28.0
221,32.0
222,24.0
223,28.0
224,36.0
225,24.0
226,27.0
227,32.0
228,30.0
229,31.0
230,34.0
231,29.0
232,31.0
233,34.0
234,33.0
235,41.0
