step,policy_loss
334,-0.4931277325376868
335,-2.6850547889868417
336,-9.198602437973022
337,-24.016193151474
338,-36.20900789896647
339,-30.415528138478596
340,-30.596622467041016
341,-33.17041556040446
342,-34.58677291870117
343,-35.01713784535726
344,-37.52154858907064
345,-38.57392597198486
346,-39.3742888768514
347,-41.7099806467692
348,-42.61771742502848
349,-45.06969483693441
350,-45.06823412577311
351,-48.7414608001709
352,-49.686019579569496
353,-51.13980515797933
354,-53.40224043528239
355,-54.88143793741862
356,-56.80113887786865
357,-58.4560874303182
358,-59.53520711263021
359,-61.314023653666176
360,-62.04237143198649
361,-63.3957633972168
362,-64.79508368174235
363,-67.0686715443929
364,-67.2573054631551
365,-68.56086158752441
366,-69.85854593912761
367,-71.3004207611084
368,-72.00029945373535
369,-73.25807571411133
370,-73.6231861114502
371,-74.64979108174641
372,-75.77235730489095
373,-76.8190549214681
374,-78.1864865620931
375,-79.2254269917806
376,-79.69006411234538
377,-78.94921048482259
378,-80.24805132548015
379,-79.85828463236491
380,-80.38180923461914
381,-80.45414861043294
382,-81.08688990275066
383,-81.77264658610027
384,-94.68852551778157
385,-102.77875137329102
386,-104.09694608052571
387,-105.4179630279541
388,-107.48914019266765
389,-114.37300554911296
390,-119.74397722880046
391,-123.69418780008952
392,-124.90579986572266
393,-126.56331316630046
394,-128.07945124308267
395,-130.1852060953776
396,-133.2798283894857
397,-133.71756490071616
398,-135.86157608032227
399,-137.7756093343099
400,-139.26999791463217
401,-140.8433469136556
402,-142.52378845214844
403,-144.25350443522134
404,-144.04920450846353
405,-146.18301645914713
406,-146.65728759765625
407,-147.42306518554688
408,-148.28010050455728
409,-148.73304748535156
410,-149.99433135986328
411,-151.34252293904623
412,-151.7711970011393
413,-152.07407251993814
414,-154.15041732788086
415,-154.37216822306314
416,-154.7516632080078
417,-156.2511838277181
418,-155.38672892252603
419,-156.42260360717773
420,-156.35833740234375
421,-156.9767189025879
422,-156.80141830444336
423,-156.81487782796225
424,-156.1974016825358
425,-155.82069524129233
426,-156.03042348225912
427,-156.24372482299805
428,-155.92772165934244
429,-154.63611348470053
430,-154.36983362833658
431,-154.65867233276367
432,-155.02479680379233
433,-152.35363260904947
434,-152.48803838094076
435,-151.9982821146647
436,-151.13783009847006
437,-152.01285552978516
438,-151.16713587443033
439,-150.33409372965494
440,-150.46063741048178
441,-149.5235684712728
442,-148.49032084147134
443,-147.50235748291016
444,-147.00229008992514
445,-146.9865608215332
446,-147.41262817382812
447,-145.11307271321616
448,-144.08927408854166
449,-144.38158543904623
