step,reward
0,29.467869605149513
1,23.0
2,17.0
3,35.0
4,31.0
5,24.0
6,27.0
7,30.0
8,28.0
9,35.0
10,31.0
11,25.0
12,32.0
13,22.0
14,28.0
15,25.0
16,28.0
17,26.0
18,28.0
19,30.0
20,32.0
21,31.0
22,24.0
23,26.0
24,31.0
25,34.0
26,28.0
27,21.0
28,32.0
29,30.0
30,29.0
31,23.0
32,31.0
33,27.0
34,20.0
35,28.0
36,37.0
37,27.0
38,23.0
39,27.0
40,25.0
41,28.0
42,31.0
43,26.0
44,25.0
45,32.0
46,23.0
47,26.0
48,24.0
49,22.0
50,23.0
51,23.0
52,28.0
53,19.0
54,24.0
55,26.0
56,22.0
57,25.0
58,22.0
59,27.0
60,31.0
61,23.0
62,28.0
63,37.0
64,30.0
65,29.0
66,31.0
67,29.0
68,35.0
69,32.0
70,32.0
71,33.0
72,32.0
73,28.0
74,24.0
75,25.0
76,28.0
77,27.0
78,33.0
79,28.0
80,26.0
81,25.0
82,29.0
83,32.0
84,27.0
85,28.0
86,27.0
87,34.0
88,27.0
89,32.0
90,28.0
91,36.0
92,23.0
93,27.0
94,33.0
95,32.0
96,37.0
97,27.0
98,33.0
99,32.0
100,28.0
101,35.0
102,27.0
103,29.0
104,32.0
105,23.0
106,27.0
107,27.0
108,36.0
109,32.0
110,25.0
111,30.0
112,27.0
113,27.0
114,27.0
115,30.0
116,28.0
117,27.0
118,31.0
119,29.0
120,23.0
121,25.0
122,20.0
123,22.0
124,26.0
125,28.0
126,26.0
127,32.0
128,18.0
129,30.0
130,27.0
131,28.0
132,22.0
133,23.0
134,25.0
135,27.0
136,27.0
137,26.0
138,27.0
139,34.0
140,27.0
141,34.0
142,27.0
143,33.0
144,19.0
145,29.0
146,30.0
147,26.0
148,27.0
149,31.0
150,30.0
151,32.0
152,27.0
153,24.0
154,27.0
155,26.0
156,24.0
157,26.0
158,25.0
159,23.0
160,24.0
161,30.0
162,22.0
163,28.0
164,31.0
165,28.0
166,26.0
167,23.0
168,31.0
169,28.0
170,30.0
171,26.0
172,27.0
173,32.0
174,27.0
175,19.0
176,22.0
177,27.0
178,32.0
179,20.0
180,22.0
181,21.0
182,25.0
183,22.0
184,27.0
185,30.0
186,31.0
187,9.0
188,26.0
189,26.0
190,20.0
191,27.0
192,26.0
193,24.0
194,26.0
195,25.0
196,21.0
197,31.0
198,10.0
199,27.0
200,31.0
201,22.0
202,28.0
203,32.0
204,27.0
205,33.0
206,28.0
207,28.0
208,34.0
209,22.0
210,25.0
211,28.0
212,29.0
213,32.0
214,22.0
215,30.0
216,24.0
217,33.0
218,29.0
219,32.0
220,27.0
221,31.0
222,33.0
223,31.0
224,25.0
225,33.0
226,31.0
227,32.0
228,30.0
229,31.0
230,32.0
231,27.0
232,28.0
233,34.0
234,32.0
235,32.0
236,21.0
237,32.0
238,33.0
239,32.0
240,32.0
241,28.0
242,26.0
243,32.0
244,25.0
245,33.0
246,29.0
247,29.0
248,33.0
249,27.0
250,35.0
251,32.0
252,25.0
253,32.0
254,29.0
255,29.0
256,22.0
257,21.0
258,27.0
259,32.0
260,29.0
261,32.0
262,28.0
263,29.0
264,38.0
265,28.0
266,18.0
267,27.0
268,33.0
269,14.0
270,10.0
271,9.0
272,9.0
273,9.0
274,8.0
275,9.0
276,10.0
277,12.0
278,9.0
279,10.0
280,9.0
281,9.0
282,10.0
283,12.0
284,9.0
285,10.0
286,9.0
287,5.0
288,10.0
289,9.0
290,10.0
291,10.0
292,9.0
293,13.0
294,9.0
295,9.0
296,9.0
297,9.0
298,9.0
299,9.0
300,9.0
301,9.0
302,10.0
303,9.0
304,9.0
305,10.0
306,10.0
307,10.0
308,10.0
309,5.0
310,5.0
311,5.0
312,5.0
313,5.0
314,5.0
315,5.0
316,5.0
317,5.0
318,5.0
319,5.0
320,8.0
321,5.0
322,5.0
323,5.0
324,5.0
325,5.0
326,5.0
327,5.0
328,5.0
329,5.0
330,5.0
331,5.0
332,5.0
333,5.0
334,5.0
335,5.0
336,5.0
337,5.0
338,5.0
339,5.0
340,5.0
341,5.0
342,5.0
343,5.0
344,5.0
345,5.0
346,5.0
347,5.0
348,5.0
349,5.0
350,5.0
351,5.0
352,5.0
353,5.0
354,5.0
355,5.0
356,5.0
357,5.0
358,5.0
359,5.0
360,5.0
361,5.0
362,5.0
363,5.0
364,5.0
365,5.0
366,5.0
367,28.0
368,32.0
369,33.0
370,33.0
371,28.0
372,27.0
373,31.0
374,35.0
375,25.0
376,32.0
377,27.0
378,37.0
379,29.0
380,21.0
381,28.0
382,29.0
383,28.0
384,26.0
385,20.0
386,27.0
387,27.0
388,24.0
389,17.0
390,15.0
391,22.0
392,26.0
393,21.0
394,27.0
395,9.0
396,31.0
397,28.0
398,24.0
399,18.0
400,24.0
401,23.0
402,15.0
403,27.0
404,27.0
405,28.0
406,25.0
407,27.0
408,23.0
409,15.0
410,10.0
411,5.0
412,8.0
413,8.0
414,7.0
415,15.0
416,6.0
417,11.0
418,8.0
419,12.0
420,13.0
421,23.0
422,36.0
423,25.0
424,14.0
425,5.0
426,5.0
427,5.0
428,5.0
429,5.0
430,5.0
431,5.0
432,5.0
433,5.0
434,5.0
435,5.0
436,5.0
437,5.0
438,5.0
439,5.0
440,5.0
441,5.0
442,5.0
443,5.0
444,5.0
445,5.0
446,5.0
447,5.0
448,4.0
449,5.0
450,5.0
451,5.0
452,5.0
453,5.0
454,5.0
455,10.0
456,10.0
457,5.0
458,5.0
459,10.0
460,14.0
461,14.0
462,21.0
463,4.0
464,22.0
465,16.0
466,8.0
467,18.0
468,12.0
469,12.0
470,14.0
471,4.0
472,10.0
473,15.0
474,22.0
475,12.0
476,9.0
477,8.0
478,16.0
479,17.0
480,20.0
481,14.0
482,24.0
483,27.0
484,30.0
485,30.0
486,35.0
487,31.0
488,34.0
489,28.0
490,32.0
491,22.0
492,33.0
493,29.0
494,27.0
495,33.0
496,28.0
497,32.0
498,27.0
499,38.0
500,33.0
501,27.0
502,32.0
503,36.0
504,37.0
505,34.0
506,33.0
507,33.0
508,32.0
509,34.0
510,24.0
511,28.0
512,31.0
513,28.0
514,27.0
515,29.0
516,32.0
517,30.0
518,29.0
519,32.0
520,33.0
521,32.0
522,31.0
523,34.0
524,31.0
525,32.0
526,33.0
527,30.0
528,31.0
529,23.0
530,21.0
531,27.0
532,31.0
533,24.0
534,38.0
535,24.0
536,30.0
537,32.0
538,27.0
539,34.0
540,27.0
541,18.0
542,32.0
543,33.0
544,32.0
545,31.0
546,37.0
547,40.0
548,40.0
549,38.0
550,38.0
551,34.0
552,41.0
553,40.0
554,36.0
555,31.0
556,43.0
557,43.0
558,43.0
559,39.0
560,18.0
561,40.0
562,24.0
563,27.0
564,32.0
565,32.0
566,29.0
567,37.0
568,27.0
569,18.0
570,27.0
571,16.0
572,14.0
573,26.0
574,14.0
575,26.0
576,23.0
577,19.0
578,18.0
579,27.0
580,28.0
581,26.0
582,21.0
583,31.0
584,28.0
585,36.0
586,19.0
587,22.0
588,20.0
589,20.0
590,28.0
591,25.0
592,26.0
593,28.0
594,31.0
595,24.0
596,23.0
597,31.0
598,33.0
599,18.0
600,21.0
601,24.0
602,27.0
603,37.0
604,36.0
605,37.0
606,36.0
607,23.0
608,25.0
609,33.0
610,26.0
611,28.0
612,23.0
613,25.0
614,32.0
615,32.0
616,36.0
617,42.0
618,34.0
619,34.0
620,30.0
621,32.0
622,28.0
623,22.0
624,31.0
625,29.0
626,30.0
627,26.0
628,17.0
629,32.0
630,36.0
631,35.0
632,29.0
633,31.0
634,40.0
635,28.0
636,17.0
637,39.0
638,31.0
639,27.0
640,42.0
641,32.0
642,31.0
643,35.0
644,43.0
645,28.0
646,24.0
647,27.0
648,36.0
649,29.0
650,26.0
651,32.0
652,44.0
653,32.0
654,35.0
655,28.0
656,37.0
657,23.0
658,29.0
659,36.0
660,33.0
661,24.0
662,28.0
663,35.0
664,28.0
665,25.0
666,32.0
667,26.0
668,20.0
669,31.0
670,20.0
671,28.0
672,21.0
673,15.0
674,10.0
675,18.0
676,22.0
677,22.0
678,11.0
679,17.0
680,31.0
681,19.0
682,17.0
683,27.0
684,22.0
685,25.0
686,27.0
687,39.0
688,38.0
689,18.0
690,38.0
691,37.0
692,30.0
693,43.0
694,53.0
695,50.0
696,43.0
697,47.0
698,49.0
699,32.0
700,41.0
701,42.0
702,42.0
703,38.0
704,22.0
705,44.0
706,35.0
707,44.0
708,33.0
709,44.0
710,48.0
711,45.0
712,53.0
713,46.0
714,47.0
715,46.0
716,44.0
717,43.0
718,46.0
719,43.0
720,36.0
721,29.0
722,36.0
723,28.0
724,40.0
725,28.0
726,26.0
727,39.0
728,43.0
729,29.0
730,35.0
731,44.0
732,41.0
733,41.0
734,36.0
735,27.0
736,37.0
737,32.0
738,39.0
739,37.0
740,31.0
741,41.0
742,35.0
743,31.0
744,38.0
745,37.0
746,29.0
747,36.0
748,23.0
749,25.0
750,15.0
751,25.0
752,9.0
753,25.0
754,13.0
755,14.0
756,22.0
757,18.0
758,21.0
759,18.0
760,23.0
761,27.0
762,26.0
763,27.0
764,22.0
765,32.0
766,22.0
767,15.0
768,17.0
769,30.0
770,17.0
771,20.0
772,10.0
773,23.0
774,29.0
775,22.0
776,10.0
777,10.0
778,21.0
779,19.0
780,22.0
781,19.0
782,14.0
783,18.0
784,27.0
785,21.0
786,18.0
787,18.0
788,13.0
789,22.0
790,25.0
791,18.0
792,12.0
793,21.0
794,15.0
795,17.0
796,23.0
797,25.0
798,31.0
799,36.0
800,23.0
801,27.0
802,26.0
803,23.0
804,23.0
805,27.0
806,21.0
807,35.0
808,36.0
809,32.0
810,40.0
811,45.0
812,42.0
813,33.0
814,42.0
815,37.0
816,45.0
817,38.0
818,30.0
819,39.0
820,30.0
821,41.0
822,30.0
823,27.0
824,35.0
825,22.0
826,35.0
827,42.0
828,14.0
829,26.0
830,29.0
831,23.0
832,14.0
833,22.0
834,22.0
835,27.0
836,21.0
837,29.0
838,23.0
839,26.0
840,18.0
841,31.0
842,34.0
843,31.0
844,21.0
845,31.0
846,23.0
847,28.0
848,35.0
849,34.0
850,34.0
851,35.0
852,31.0
853,32.0
854,31.0
855,32.0
856,41.0
857,38.0
858,30.0
859,27.0
860,22.0
861,25.0
862,33.0
863,37.0
864,38.0
865,29.0
866,32.0
867,35.0
868,40.0
869,39.0
870,36.0
871,36.0
872,33.0
873,31.0
874,49.0
875,40.0
876,41.0
877,39.0
878,41.0
879,47.0
880,38.0
881,49.0
882,39.0
883,41.0
884,33.0
885,34.0
886,42.0
887,44.0
888,51.0
889,49.0
890,48.0
891,51.0
892,47.0
893,44.0
894,36.0
895,37.0
896,32.0
897,25.0
898,29.0
899,24.0
900,31.0
901,26.0
902,31.0
903,24.0
904,25.0
905,28.0
906,29.0
907,32.0
908,26.0
909,26.0
910,22.0
911,22.0
912,28.0
913,24.0
914,17.0
915,31.0
916,20.0
917,22.0
918,19.0
919,30.0
920,25.0
921,23.0
922,21.0
923,32.0
924,24.0
925,27.0
926,23.0
927,33.0
928,32.0
929,32.0
930,26.0
931,31.0
932,31.0
933,30.0
934,39.0
935,33.0
936,30.0
937,42.0
938,30.0
939,43.0
940,34.0
941,44.0
942,47.0
943,58.0
944,58.0
945,55.0
946,61.0
947,49.0
948,52.0
949,57.0
950,59.0
951,61.0
952,69.0
953,65.0
954,63.0
955,62.0
956,61.0
957,63.0
958,65.0
959,50.0
960,60.0
961,48.0
962,46.0
963,50.0
964,39.0
965,39.0
966,32.0
967,26.0
968,34.0
969,27.0
970,31.0
971,42.0
972,20.0
973,25.0
974,13.0
975,23.0
976,23.0
977,17.0
978,21.0
979,27.0
980,30.0
981,31.0
982,37.0
983,21.0
984,21.0
985,19.0
986,17.0
987,18.0
988,26.0
989,23.0
990,23.0
991,14.0
992,14.0
993,25.0
994,18.0
995,18.0
996,17.0
997,29.0
998,19.0
999,35.0
1000,17.0
1001,28.0
1002,32.0
1003,21.0
1004,34.0
1005,36.0
1006,35.0
1007,24.0
1008,43.0
1009,37.0
1010,44.0
1011,44.0
1012,38.0
1013,51.0
1014,51.0
1015,48.0
1016,46.0
1017,40.0
1018,40.0
1019,40.0
1020,40.0
1021,37.0
1022,45.0
1023,41.0
1024,50.0
1025,46.0
1026,39.0
1027,52.0
1028,42.0
1029,48.0
1030,56.0
1031,48.0
1032,52.0
1033,52.0
1034,54.0
1035,47.0
1036,33.0
1037,41.0
1038,41.0
1039,42.0
1040,43.0
1041,33.0
1042,31.0
1043,40.0
1044,31.0
1045,22.0
1046,23.0
1047,32.0
1048,31.0
1049,18.0
1050,26.0
1051,21.0
1052,25.0
1053,21.0
1054,19.0
1055,24.0
1056,26.0
1057,32.0
1058,33.0
1059,29.0
1060,37.0
1061,47.0
1062,34.0
1063,19.0
1064,31.0
1065,27.0
1066,18.0
1067,24.0
1068,32.0
1069,33.0
1070,34.0
1071,45.0
1072,47.0
1073,43.0
1074,44.0
1075,41.0
1076,54.0
1077,60.0
1078,43.0
1079,48.0
1080,47.0
1081,34.0
1082,39.0
1083,42.0
1084,35.0
1085,36.0
1086,37.0
1087,39.0
1088,33.0
1089,34.0
1090,31.0
1091,26.0
1092,35.0
1093,31.0
1094,27.0
1095,25.0
1096,28.0
1097,18.0
1098,24.0
1099,33.0
1100,34.0
1101,32.0
1102,25.0
1103,36.0
1104,33.0
1105,30.0
1106,35.0
1107,31.0
1108,31.0
1109,31.0
1110,38.0
1111,40.0
1112,42.0
1113,26.0
1114,35.0
1115,26.0
1116,28.0
1117,36.0
1118,23.0
1119,31.0
1120,26.0
1121,26.0
1122,31.0
1123,22.0
1124,28.0
1125,23.0
1126,22.0
1127,22.0
1128,17.0
1129,30.0
1130,17.0
1131,27.0
1132,13.0
1133,25.0
1134,23.0
1135,27.0
1136,35.0
1137,28.0
1138,24.0
1139,34.0
1140,44.0
1141,44.0
1142,40.0
1143,39.0
1144,39.0
1145,52.0
1146,45.0
1147,48.0
1148,51.0
1149,46.0
1150,27.0
1151,45.0
1152,51.0
1153,43.0
1154,40.0
1155,43.0
1156,33.0
1157,41.0
1158,43.0
1159,43.0
1160,31.0
1161,30.0
1162,24.0
1163,36.0
1164,43.0
1165,44.0
1166,38.0
1167,27.0
1168,32.0
1169,33.0
1170,31.0
1171,18.0
1172,20.0
1173,18.0
1174,22.0
1175,24.0
1176,25.0
1177,25.0
1178,29.0
1179,22.0
1180,18.0
1181,22.0
1182,22.0
1183,22.0
1184,26.0
1185,39.0
1186,38.0
1187,42.0
1188,47.0
1189,45.0
1190,50.0
1191,45.0
1192,49.0
1193,52.0
1194,46.0
1195,48.0
1196,46.0
1197,51.0
1198,47.0
1199,46.0
1200,48.0
1201,37.0
1202,43.0
1203,50.0
1204,51.0
1205,38.0
1206,39.0
1207,46.0
1208,37.0
1209,40.0
1210,55.0
1211,45.0
1212,36.0
1213,46.0
1214,48.0
1215,49.0
1216,56.0
1217,48.0
1218,59.0
1219,60.0
1220,47.0
1221,48.0
1222,47.0
1223,56.0
1224,51.0
1225,43.0
1226,46.0
1227,45.0
1228,47.0
1229,48.0
1230,40.0
1231,29.0
1232,31.0
1233,35.0
1234,18.0
1235,31.0
1236,28.0
1237,41.0
1238,29.0
1239,26.0
1240,40.0
1241,40.0
1242,43.0
1243,42.0
1244,33.0
1245,31.0
1246,39.0
1247,27.0
1248,38.0
1249,32.0
1250,36.0
1251,47.0
1252,46.0
1253,45.0
1254,38.0
1255,28.0
1256,34.0
1257,22.0
1258,34.0
1259,29.0
1260,45.0
1261,45.0
1262,29.0
1263,43.0
1264,42.0
1265,42.0
1266,35.0
1267,47.0
1268,54.0
1269,43.0
1270,50.0
1271,48.0
1272,56.0
1273,42.0
1274,50.0
1275,47.0
1276,53.0
1277,60.0
1278,50.0
1279,49.0
1280,58.0
1281,52.0
1282,56.0
1283,46.0
1284,48.0
1285,51.0
1286,57.0
1287,42.0
1288,43.0
1289,51.0
1290,48.0
1291,37.0
1292,53.0
1293,43.0
