step,policy_loss
267,-0.6231626806159815
268,-3.268248111009598
269,-10.95973535378774
270,-26.98075071970622
271,-34.3532600402832
272,-28.40239365895589
273,-30.788004557291668
274,-33.0063730875651
275,-33.28256861368815
276,-34.601186752319336
277,-35.81201044718424
278,-36.359158515930176
279,-38.38364442189535
280,-39.09218692779541
281,-41.45197582244873
282,-42.72206338246664
283,-44.07050450642904
284,-45.87237675984701
285,-47.05902989705404
286,-48.279415130615234
287,-49.71193917592367
288,-50.617733001708984
289,-53.258890787760414
290,-53.58796914418539
291,-56.29123783111572
292,-56.89406712849935
293,-57.38177903493246
294,-59.47522703806559
295,-61.880043029785156
296,-62.18524328867594
297,-62.7671807607015
298,-64.52525170644124
299,-64.60211245218913
300,-66.55205949147542
301,-67.65568415323894
302,-68.29791831970215
303,-67.99269358317058
304,-69.01579475402832
305,-70.08908716837566
306,-70.0788459777832
307,-71.39278984069824
308,-72.07581520080566
309,-72.8426513671875
310,-71.6296329498291
311,-72.91509246826172
312,-78.61307334899902
313,-89.39650535583496
314,-93.2855167388916
315,-95.45436922709148
316,-97.80449676513672
317,-101.7755839029948
318,-107.84453010559082
319,-111.5447629292806
320,-114.38623746236165
321,-116.57318623860677
322,-118.62644322713216
323,-120.94821548461914
324,-122.56618118286133
325,-123.29465611775716
326,-126.07323900858562
327,-126.66455078125
328,-128.0720583597819
329,-129.45001602172852
330,-130.7315362294515
331,-130.93517557779947
332,-133.58190218607584
333,-132.52820777893066
334,-134.76567459106445
335,-135.67098490397134
336,-135.64161173502603
337,-135.67132695515951
338,-137.46334584554037
339,-137.55915959676108
340,-136.17693710327148
341,-137.75178019205728
342,-138.73162587483725
343,-139.8680852254232
344,-138.53016153971353
345,-139.0463892618815
346,-139.09208297729492
347,-138.62330627441406
348,-138.20607630411783
349,-137.8667755126953
350,-136.5070457458496
351,-138.25650024414062
352,-137.53728485107422
353,-138.0973383585612
354,-137.6722297668457
355,-135.28913370768228
356,-134.48126347859701
357,-134.67803319295248
358,-133.27259826660156
359,-132.2712631225586
360,-130.47803751627603
361,-131.22455024719238
362,-129.38885434468588
363,-129.65437761942545
364,-127.10653114318848
365,-127.45842043558757
366,-126.84273719787598
367,-125.34495290120442
368,-124.4774595896403
369,-124.61516380310059
370,-122.99894523620605
371,-123.12158521016438
372,-122.31182479858398
373,-122.59234046936035
374,-120.96651903788249
375,-120.69527626037598
376,-119.35590235392253
377,-124.39661280314128
378,-139.0542132059733
379,-139.03188832600912
380,-139.65648142496744
381,-138.75609842936197
382,-138.74839401245117
383,-139.06111907958984
384,-136.40263239542642
385,-136.8568318684896
386,-137.3481928507487
387,-137.42772928873697
388,-136.62555694580078
389,-137.54251861572266
390,-137.54748662312826
391,-138.47100702921549
392,-141.70848337809244
393,-144.37436040242514
394,-148.72541681925455
395,-148.85894266764322
396,-150.9952049255371
397,-152.51880645751953
398,-154.1803181966146
399,-155.1695238749186
400,-157.83010609944662
401,-157.78527069091797
402,-156.77255503336588
