step,policy_loss
572,-448.3587875366211
573,-348.89986419677734
574,-274.48404184977215
575,-216.7707722981771
576,-173.24198277791342
577,-137.3857046763102
578,-111.14766629536946
579,-86.68866602579753
580,-74.83425585428874
581,-72.81945482889812
582,-74.90089416503906
583,-82.81637763977051
584,-86.50236638387044
585,-90.27720769246419
586,-94.44735399881999
587,-98.90866788228352
588,-102.43219947814941
589,-108.14408620198567
590,-110.29634602864583
591,-114.64558029174805
592,-118.79378255208333
593,-121.91411145528157
594,-125.97854042053223
595,-131.79818852742514
596,-134.23911794026694
597,-137.76030985514322
598,-139.33783976236978
599,-144.24310048421225
600,-148.36207962036133
601,-150.25842666625977
602,-152.92551040649414
603,-156.92916870117188
604,-159.47731145222983
605,-161.50299072265625
606,-165.0392951965332
607,-167.35733540852866
608,-170.29696146647134
609,-173.27708943684897
610,-176.80615361531576
611,-178.67005157470703
612,-181.3697827657064
613,-183.23029454549155
614,-185.90900421142578
615,-192.27716954549155
616,-193.16558965047201
617,-196.6301587422689
618,-198.62801233927408
619,-201.04695002237955
620,-203.7866439819336
621,-207.8723462422689
622,-208.03892135620117
623,-210.79355112711588
624,-213.30223083496094
625,-217.39818064371744
626,-218.07251612345377
627,-221.25542449951172
628,-223.0685068766276
629,-226.9961191813151
630,-229.16941579182944
631,-232.2913614908854
632,-234.00171661376953
633,-238.55552419026694
634,-239.6221605936686
635,-241.8342768351237
636,-244.5253423055013
637,-245.09396107991537
638,-249.01222483317056
639,-252.44732793172201
640,-252.31259536743164
641,-257.30640920003253
642,-257.5880076090495
643,-260.34353892008465
644,-261.33421579996747
645,-264.0830993652344
646,-265.8177439371745
647,-269.68614705403644
648,-271.1721878051758
649,-271.7129720052083
650,-275.59947204589844
651,-276.01675669352215
652,-278.3393859863281
653,-280.8414815266927
654,-283.7240956624349
655,-285.46009572347003
656,-287.5801747639974
657,-287.4999465942383
658,-290.41725667317706
659,-293.6178512573242
660,-296.1232655843099
661,-297.5787811279297
662,-299.46619923909503
663,-299.84148661295575
664,-303.29665120442706
665,-304.0393295288086
666,-305.8837356567383
667,-306.3229726155599
668,-310.8393809000651
669,-309.2443161010742
670,-313.88364664713544
671,-314.35699462890625
672,-313.3610254923503
673,-318.47615305582684
674,-317.8393961588542
675,-320.3109995524089
676,-320.4392801920573
677,-322.13309478759766
678,-324.77671305338544
679,-328.2494125366211
680,-326.75428263346356
681,-330.68367767333984
682,-330.4393717447917
683,-330.8092219034831
684,-335.4090627034505
685,-334.60631306966144
686,-337.05696360270184
687,-336.8867492675781
688,-339.744867960612
689,-340.0636952718099
690,-344.5176773071289
691,-344.2556660970052
692,-345.84373474121094
693,-346.4338633219401
694,-346.5304768880208
695,-348.2989985148112
696,-348.5332387288411
697,-353.1739959716797
698,-351.04881795247394
699,-356.2438379923503
700,-356.81349690755206
701,-358.04844919840497
702,-356.0233434041341
703,-360.06028238932294
704,-359.2864761352539
705,-363.95005289713544
706,-362.1127649943034
707,-362.1041005452474
708,-363.27381896972656
709,-367.3418706258138
710,-367.39031473795575
711,-367.56890869140625
712,-369.79649353027344
713,-371.8133850097656
714,-372.43202718098956
715,-373.16637420654297
716,-374.4054667154948
717,-373.41763559977215
718,-374.82688395182294
719,-374.8989944458008
720,-376.1433919270833
721,-381.0151875813802
722,-381.50626881917316
723,-383.71779378255206
724,-382.1321156819661
725,-382.8907521565755
726,-382.7688471476237
727,-382.8534164428711
728,-387.44869232177734
729,-386.8648096720378
730,-389.0760142008464
731,-388.0964533487956
732,-389.9126281738281
733,-391.73741404215497
734,-389.3376185099284
735,-392.5324478149414
736,-389.9999287923177
737,-397.4142888387044
738,-394.43056233723956
739,-394.2255681355794
740,-396.091552734375
741,-398.3480860392253
742,-399.30224863688153
743,-401.8917744954427
744,-399.0437978108724
745,-400.5307083129883
746,-401.98597717285156
747,-400.8506113688151
748,-404.02163950602215
