step,policy_loss
1000,-0.6001757383346558
1001,-1.2325127124786377
1002,-1.9011744260787964
1003,-2.6171727180480957
1004,-3.432656764984131
1005,-4.386872291564941
1006,-5.604866981506348
1007,-7.122390270233154
1008,-8.623095512390137
1009,-10.507173538208008
1010,-12.744341850280762
1011,-14.789087295532227
1012,-17.738731384277344
1013,-20.56863784790039
1014,-23.954364776611328
1015,-27.384361267089844
1016,-31.2192325592041
1017,-35.665374755859375
1018,-39.52696990966797
1019,-44.51287078857422
1020,-49.7542839050293
1021,-55.11201477050781
1022,-59.925758361816406
1023,-66.44309997558594
1024,-71.69326782226562
1025,-77.41619873046875
1026,-82.95431518554688
1027,-86.56310272216797
1028,-90.06692504882812
1029,-93.34361267089844
1030,-96.04559326171875
1031,-98.607421875
1032,-102.11841583251953
1033,-105.17868041992188
1034,-108.86234283447266
1035,-113.78797912597656
1036,-119.34977722167969
1037,-125.05509948730469
1038,-131.42239379882812
1039,-139.57534790039062
1040,-145.04763793945312
1041,-151.86221313476562
1042,-159.4826202392578
1043,-164.5057373046875
1044,-169.00509643554688
1045,-170.96621704101562
1046,-177.6141357421875
1047,-183.34490966796875
1048,-190.52279663085938
1049,-190.60386657714844
1050,-199.64642333984375
1051,-207.5897979736328
1052,-210.54595947265625
1053,-216.67196655273438
1054,-226.16348266601562
1055,-232.01101684570312
1056,-241.0999298095703
1057,-246.60540771484375
1058,-252.4893341064453
1059,-260.61724853515625
1060,-266.921630859375
1061,-270.48651123046875
1062,-277.0271301269531
1063,-283.67669677734375
1064,-291.1541748046875
1065,-297.83282470703125
1066,-306.3158874511719
1067,-311.69842529296875
1068,-311.7637634277344
1069,-317.7170104980469
1070,-326.42254638671875
1071,-337.37103271484375
1072,-352.5174865722656
1073,-346.9825439453125
1074,-346.6790466308594
1075,-343.356201171875
1076,-348.4255065917969
1077,-361.9245910644531
1078,-368.2939147949219
1079,-389.2132568359375
1080,-387.1731872558594
1081,-399.7421569824219
1082,-405.5591735839844
1083,-400.4573059082031
1084,-401.1868896484375
1085,-409.0115661621094
1086,-413.999267578125
1087,-423.03125
1088,-421.27227783203125
1089,-432.64080810546875
1090,-432.124755859375
1091,-442.0177917480469
1092,-447.1928405761719
1093,-448.2372741699219
1094,-454.50701904296875
1095,-451.59271240234375
1096,-461.3581237792969
1097,-466.6399230957031
1098,-475.0813293457031
1099,-486.11700439453125
1100,-480.55596923828125
1101,-475.948486328125
1102,-473.09161376953125
1103,-469.3553466796875
1104,-479.098876953125
1105,-485.9910888671875
1106,-487.639892578125
1107,-499.37762451171875
1108,-487.4234924316406
1109,-485.962158203125
1110,-487.39117431640625
1111,-489.2125244140625
1112,-504.7285461425781
1113,-499.4713134765625
1114,-501.0121154785156
1115,-506.3656921386719
1116,-491.7147216796875
1117,-490.82989501953125
1118,-487.2348327636719
1119,-489.8709411621094
1120,-496.0347900390625
1121,-501.255859375
1122,-493.75555419921875
1123,-500.2259521484375
1124,-501.178466796875
1125,-500.39056396484375
1126,-485.1328430175781
1127,-475.5993347167969
1128,-488.3469543457031
1129,-500.1677551269531
1130,-499.767333984375
1131,-490.63873291015625
1132,-480.17633056640625
1133,-482.25946044921875
1134,-457.9792175292969
1135,-477.64495849609375
1136,-465.40325927734375
1137,-469.06732177734375
1138,-462.36163330078125
1139,-449.868408203125
1140,-448.7078857421875
1141,-456.37335205078125
1142,-454.7540283203125
1143,-446.8232421875
1144,-435.6752014160156
1145,-437.3570556640625
1146,-427.4864196777344
1147,-428.1167907714844
1148,-423.8350830078125
1149,-422.308349609375
1150,-427.788330078125
1151,-425.045654296875
1152,-414.4664306640625
1153,-395.301513671875
1154,-402.3358154296875
1155,-394.39935302734375
1156,-402.177001953125
1157,-395.34521484375
1158,-394.0275573730469
1159,-377.4660339355469
1160,-367.041015625
1161,-371.6199645996094
1162,-360.7130126953125
1163,-356.66650390625
1164,-362.9874267578125
1165,-360.41497802734375
1166,-354.8180236816406
1167,-358.3324279785156
1168,-349.980224609375
1169,-344.7672119140625
1170,-333.2058410644531
1171,-339.2655334472656
1172,-328.7371826171875
1173,-329.13128662109375
1174,-320.58453369140625
1175,-322.4350280761719
1176,-321.25140380859375
1177,-317.71978759765625
1178,-307.73046875
1179,-312.69671630859375
1180,-305.08380126953125
1181,-302.1839904785156
1182,-307.5184020996094
1183,-296.97149658203125
1184,-298.59698486328125
1185,-297.11932373046875
1186,-296.18975830078125
1187,-277.333984375
1188,-280.0777587890625
1189,-278.78411865234375
1190,-279.6373291015625
1191,-274.88226318359375
1192,-263.1202392578125
1193,-269.99554443359375
1194,-266.1424560546875
1195,-265.05877685546875
1196,-260.98016357421875
1197,-254.08306884765625
1198,-259.83660888671875
1199,-249.9205780029297
1200,-242.43411254882812
1201,-240.21983337402344
1202,-242.2942352294922
1203,-247.5419921875
1204,-242.11268615722656
1205,-244.68736267089844
1206,-235.3605194091797
1207,-240.7194366455078
1208,-239.5279998779297
1209,-227.15443420410156
1210,-233.1580352783203
1211,-229.03311157226562
1212,-225.1197052001953
1213,-223.76036071777344
1214,-222.8915252685547
1215,-217.55035400390625
1216,-217.36767578125
1217,-216.99974060058594
1218,-218.55807495117188
1219,-209.82598876953125
1220,-208.03945922851562
1221,-212.09335327148438
1222,-202.98477172851562
1223,-204.3240203857422
1224,-194.96432495117188
1225,-201.25546264648438
1226,-197.0313720703125
1227,-201.68832397460938
1228,-194.73297119140625
1229,-198.25991821289062
1230,-192.07745361328125
1231,-194.583984375
1232,-193.57923889160156
1233,-189.69268798828125
1234,-183.22718811035156
1235,-184.66676330566406
1236,-184.53897094726562
1237,-186.62210083007812
1238,-182.51287841796875
1239,-173.46719360351562
1240,-176.03591918945312
1241,-176.20700073242188
1242,-171.06326293945312
1243,-178.58961486816406
1244,-172.72183227539062
1245,-169.48480224609375
1246,-169.94281005859375
1247,-169.07260131835938
1248,-171.44256591796875
1249,-169.72825622558594
1250,-171.70755004882812
1251,-164.55825805664062
1252,-164.62734985351562
1253,-163.6856689453125
1254,-166.6294708251953
1255,-160.84036254882812
1256,-157.7913818359375
1257,-155.31521606445312
1258,-158.0093994140625
1259,-156.59088134765625
1260,-160.29653930664062
1261,-156.69781494140625
1262,-156.47210693359375
1263,-151.72201538085938
1264,-153.28135681152344
1265,-153.3582763671875
1266,-151.1470489501953
1267,-150.41607666015625
1268,-153.4422149658203
1269,-145.165771484375
1270,-144.38485717773438
1271,-143.56893920898438
1272,-140.05398559570312
1273,-144.56980895996094
1274,-140.41900634765625
1275,-137.46365356445312
1276,-143.2621307373047
1277,-138.84909057617188
1278,-140.12884521484375
1279,-143.77423095703125
1280,-140.227783203125
1281,-141.10015869140625
1282,-135.77163696289062
1283,-134.58094787597656
1284,-137.61331176757812
1285,-136.23513793945312
1286,-133.53482055664062
1287,-134.5544891357422
1288,-126.56108093261719
1289,-135.637451171875
1290,-133.95700073242188
1291,-132.44227600097656
1292,-134.69662475585938
1293,-125.3736343383789
1294,-130.82492065429688
1295,-127.3929443359375
1296,-127.1788330078125
1297,-126.54036712646484
1298,-129.69456481933594
1299,-124.8671646118164
1300,-126.48736572265625
1301,-123.58186340332031
1302,-125.42420196533203
1303,-127.83377838134766
1304,-122.13430786132812
1305,-125.01288604736328
1306,-122.9310302734375
1307,-123.54049682617188
1308,-122.75404357910156
1309,-122.73673248291016
1310,-120.64520263671875
1311,-118.20039367675781
1312,-118.10350799560547
1313,-118.96209716796875
1314,-118.45723724365234
1315,-119.1574935913086
1316,-118.2900619506836
